0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21653 22135	10	 * 	298.21	DCR|3VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78aVULN|8BPWR|9RCR
2	21663 22135	10	   	287.20	DCR|3VULN|3DMG|2DUR	138DMG|28DUR|4ZMB|5AART|6LIT|78aVULN|8BPWR|9RCR
3	21312 33263	7	 * 	286.98	DCR|2VULN|3DUR|2DMG|3ASPD|1TLV	19DMG|269DUR|3TLV|4LHND|567ASPD|69BPWR|89VULN|aRCR
4	21312 33563	8	   	286.98	DCR|2VULN|3DUR|2DMG|3ASPD|1TLV	19DMG|269DUR|3TLV|4LHND|567ASPD|69BPWR|89VULN|aRCR
5	11653 22135	10	 * 	284.70	DCR|3VULN|3ASPD|2DUR|1DMG	148ASPD|28DUR|3DMG|5AART|6LIT|78aVULN|8BPWR|9RCR
6	21653 22132	10	 * 	284.53	DCR|2VULN|3DMG|3DUR|1ASPD	138DMG|28aDUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR
7	21663 22132	10	   	273.52	DCR|2VULN|3DMG|3DUR	138DMG|28aDUR|4ZMB|5AART|6LIT|78VULN|8BPWR|9RCR
8	21245 21341	5	 * 	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	18DMG|234DUR|58TLV|6DMSP|78VULN|8BPWR|9CDMG|aRCR
9	21363 26234	9	   	273.02	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2DUR|3TLV|458VULN|7AART|9LIT|aRCR
10	11316 52235	8	   	272.58	DCR|3VULN|3ASPD|2DUR|1TLV	189ASPD|29DUR|3TLV|4LHND|5AART|679VULN|9BPWR|aRCR
11	21245 22124	10	   	271.60	DCR|2VULN|3DMG|3DUR|1TLV	169DMG|234DUR|5TLV|7aVULN|8RCR
12	21123 22264	9	   	271.55	DCR|3VULN|2DMG|2DUR	19DMG|29DUR|34CGEN|5AART|6LIT|789VULN|9BPWR|aRCR
13	22233 22264	9	   	271.55	DCR|3VULN|2DMG|2DUR	19DMG|2DMSP|39DUR|4CGEN|5AART|6LIT|789VULN|9BPWR|aRCR
14	11363 22264	9	   	271.36	DCR|3VULN|2DUR|2ASPD|1TLV	19ASPD|29DUR|3TLV|4DMSP|5AART|6LIT|789VULN|9BPWR|aRCR
15	21653 22131	9	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aCGEN
16	21653 22131	10	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aFEWX
17	21653 22132	9	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aLWND
18	21653 22133	9	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aBEXP
19	21653 22133	10	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aCGEN
20	21653 22134	10	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aRPLT
21	21653 22135	9	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9RCR|aZMB
22	21513 35314	8	 * 	271.20	DCR|4VULN|2DMG|1DUR	16DMG|2DUR|3LWND|4RMIN|568aVULN|6BPWR|7AART|9RCR
23	21363 32133	9	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1DMG|2DUR|3TLV|4578VULN|6CGEN|9ASPD|aRCR
24	11653 22132	10	   	271.01	DCR|2VULN|3DUR|3ASPD|1DMG	148ASPD|28aDUR|3DMG|5AART|6LIT|78VULN|8BPWR|9RCR
25	21363 12133	9	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1DMG|2DUR|3TLV|4578VULN|6ERES|9ASPD|aRCR
