0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44411 41213	3	 * 	290.38	DCR|3VULN|3DMG|3DUR|2SELL	179DMG|2MBVNT|3LIT|479VULN|58SELL|679DUR|79BPWR|aRCR
2	42141 62211	2	 * 	289.20	DCR|3VULN|3DMG|2DUR|3LIT	138DMG|23DUR|38BPWR|468VULN|578LIT|9CGEN|aRCR
3	22652 12422	6	 * 	287.81	DCR|5VULN|3ASPD|1DUR|1CDMG	12678VULN|278BPWR|3DUR|478ASPD|578ERES|9CDMG|aRCR
4	22625 33623	9	 * 	286.77	DCR|3VULN|3DUR|2DMG|2TLV	12aVULN|2aBPWR|369DUR|4BEXP|5aTLV|7aDMG|8RCR
5	42142 13341	2	 * 	286.53	DCR|2VULN|3DMG|3DUR|2ASPD|1AART	139DMG|235DUR|39BPWR|49VULN|6RCR|7RMIN|89ASPD|aAART
6	24132 11164	1	 * 	285.53	DCR|3VULN|3DMG|2ASPD|1TLV|1AART	159VULN|29aDMG|3LWND|4AART|6RCR|7TLV|89ASPD|9BPWR
7	24332 11164	1	   	285.53	DCR|3VULN|3DMG|2ASPD|1TLV|1AART	159VULN|29aDMG|3LHND|4AART|6RCR|7TLV|89ASPD|9BPWR
8	43132 11164	1	   	285.53	DCR|3VULN|3DMG|2ASPD|1TLV|1AART	19aDMG|259VULN|3LWND|4AART|6RCR|7TLV|89ASPD|9BPWR
9	43332 11164	1	   	285.53	DCR|3VULN|3DMG|2ASPD|1TLV|1AART	19aDMG|259VULN|3LHND|4AART|6RCR|7TLV|89ASPD|9BPWR
10	31132 63542	10	 * 	284.87	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1AART	18CDMG|238VULN|4LWND|5AART|6TLV|78DMG|8BPWR|9DUR|aRCR
11	31126 21442	5	 * 	284.39	DCR|5VULN|3CDMG|1DUR|2LIT	159CDMG|23459VULN|59BPWR|6BBNT|79LIT|8RCR|aDUR
12	22662 33512	10	 * 	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	128VULN|28BPWR|38DUR|4AART|5CGEN|69CDMG|78DMG|aRCR
13	22111 62263	2	 * 	281.50	DCR|4VULN|2DMG|3LIT|1TLV	1268VULN|28BPWR|3LWND|48DMG|578LIT|9TLV|aRCR
14	22611 62213	3	   	281.50	DCR|4VULN|2DMG|3LIT|1DUR	1268VULN|28BPWR|3DUR|48DMG|578LIT|9CGEN|aRCR
