0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21136 43421	9	 * 	291.87	DCR|5VULN|3DUR|2TLV	12458VULN|389DUR|6RPLT|78TLV|8BPWR|aRCR
2	31121 64363	2	   	288.41	DCR|5VULN|2TLV|2DUR|1AART	19TLV|24DUR|34689VULN|49BPWR|59CGEN|7RCR|aAART
3	23621 14252	5	   	283.69	DCR|5VULN|3DUR|1TLV	15789VULN|2BELT|379DUR|4LEGI|6RCR|79BPWR|aTLV
4	23623 12252	5	   	283.69	DCR|5VULN|3DUR|1TLV	15789VULN|2BELT|359DUR|4LEGI|59BPWR|6RCR|aTLV
5	21131 26336	10	   	280.73	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	1247VULN|37DUR|57LIT|6RPLT|7BPWR|8TLV|9CDMG|aRCR
6	31126 24361	2	 * 	280.47	DCR|4VULN|2TLV|2DUR|1DMG	19TLV|24DUR|3489VULN|49BPWR|5DMSP|69CGEN|7RCR|aDMG
7	21331 64361	3	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1289VULN|35CGEN|49DUR|69TLV|7RCR|9BPWR|aDMG
8	36133 12536	7	 * 	279.22	DCR|3VULN|3DUR|1TLV|1DMG|2LIT	1TLV|24LIT|348DUR|4BPWR|569VULN|7DMG|aRCR
9	31121 64321	2	   	278.77	DCR|5VULN|2DUR|1TLV	1TLV|24DUR|3468aVULN|4BPWR|5CGEN|7RCR|9LIT
10	31121 64362	2	   	278.75	DCR|5VULN|2TLV|2DUR	19TLV|24DUR|34689VULN|49BPWR|59aCGEN|7RCR
11	21133 35363	5	   	278.65	DCR|5VULN|2TLV|2DUR	12489VULN|39DUR|5CGEN|6BEXP|79TLV|9BPWR|aRCR
12	31143 52363	2	   	278.65	DCR|5VULN|2TLV|2DUR	19TLV|25DUR|35789VULN|4LEGI|59BPWR|69CGEN|aRCR
13	31153 52363	3	   	278.65	DCR|5VULN|2TLV|2DUR	19TLV|25DUR|3LEGI|45789VULN|59BPWR|69CGEN|aRCR
14	31121 64361	2	   	278.65	DCR|5VULN|2TLV|2DUR	19TLV|24DUR|34689VULN|49BPWR|59CGEN|7RCR|aDUST
15	21112 45363	3	   	278.55	DCR|5VULN|2TLV|2DUR	12689VULN|39DUR|4ERES|5BEXP|79TLV|9BPWR|aRCR
16	21134 25363	4	   	278.55	DCR|5VULN|2TLV|2DUR	12489VULN|39DUR|5BEXP|6ERES|79TLV|9BPWR|aRCR
17	21212 45363	2	   	278.55	DCR|5VULN|2TLV|2DUR	12689VULN|39DUR|4ERES|5BEXP|79TLV|9BPWR|aRCR
18	22212 45363	1	   	278.55	DCR|5VULN|2TLV|2DUR	12689VULN|39DUR|4ERES|5BEXP|79TLV|9BPWR|aRCR
19	31143 42363	2	   	278.45	DCR|5VULN|2TLV|2DUR	19TLV|25DUR|35689VULN|4LEGI|59BPWR|79ERES|aRCR
20	31153 42363	3	   	278.45	DCR|5VULN|2TLV|2DUR	19TLV|25DUR|3LEGI|45689VULN|59BPWR|79ERES|aRCR
21	21142 14251	3	 * 	277.85	DCR|5VULN|3DUR|1DMG	12789VULN|379DUR|479LHND|5BELT|6RCR|79BPWR|aDMG
22	21242 14251	2	   	277.85	DCR|5VULN|3DUR|1DMG	12789VULN|379DUR|479LHND|5BELT|6RCR|79BPWR|aDMG
23	22242 14251	1	   	277.85	DCR|5VULN|3DUR|1DMG	12789VULN|379DUR|479LHND|5BELT|6RCR|79BPWR|aDMG
24	23611 14251	5	   	277.85	DCR|5VULN|3DUR|1DMG	15789VULN|2BELT|379DUR|479LHND|6RCR|79BPWR|aDMG
25	21533 35333	3	 * 	277.56	DCR|5VULN|1TLV|1DMG|1AART	12368VULN|3BPWR|4LIT|5AART|7TLV|9RCR|aDMG
26	21122 33251	10	 * 	276.65	DCR|4VULN|3DUR|2DMG|1SELL	126aVULN|39aDUR|4RPLT|5aDMG|7SELL|8RCR|aBPWR
27	21122 33431	10	 * 	276.65	DCR|4VULN|3DUR|2DMG|1SELL	126aVULN|38aDUR|4RPLT|5aDMG|7SELL|9RCR|aBPWR
28	21133 35522	4	   	275.01	DCR|4VULN|3DUR|1TLV|1AART	1245VULN|356DUR|5BPWR|7TLV|8AART|9LWND|aRCR
29	21133 35551	4	   	275.01	DCR|4VULN|3DUR|1TLV|1AART	1245VULN|356DUR|5BPWR|7TLV|8AART|9CGEN|aRCR
30	21133 35562	4	   	275.01	DCR|4VULN|3DUR|1TLV|1AART	1245VULN|356DUR|5BPWR|7TLV|8AART|9BEXP|aRCR
31	21133 35532	4	   	274.91	DCR|4VULN|3DUR|1TLV|1AART	1245VULN|356DUR|5BPWR|7TLV|8AART|9DUST|aRCR
32	26131 52413	4	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	1489VULN|28DUR|3CDMG|5LWND|68LIT|7RCR|8BPWR|aDMG
33	26131 52413	5	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	1489VULN|28DUR|3CDMG|5FEWX|68LIT|7RCR|8BPWR|aDMG
34	26132 52413	5	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	1489VULN|28DUR|3CDMG|5LWND|68LIT|7RCR|8BPWR|aDMG
35	26133 52413	4	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	1489VULN|28DUR|3CDMG|5BEXP|68LIT|7RCR|8BPWR|aDMG
36	26112 22413	3	   	274.49	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	1689VULN|28DUR|3CDMG|4DUST|58LIT|7RCR|8BPWR|aDMG
37	21122 33515	5	 * 	274.35	DCR|4VULN|2DUR|2CDMG|1DMG	128aVULN|38DUR|4RPLT|5DMG|6LIT|78CDMG|8BPWR|9RCR
38	31126 24362	2	   	274.05	DCR|4VULN|2TLV|2DUR|1CDMG	19TLV|24DUR|3489VULN|49BPWR|5DMSP|69CGEN|7RCR|aCDMG
39	36323 12411	2	 * 	273.99	DCR|4VULN|2TLV|2CDMG|1DUR	18TLV|2LIT|38CDMG|4ZMB|5DUR|689aVULN|7RCR|8BPWR
40	21331 64362	3	   	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	1289VULN|35CGEN|49DUR|69TLV|7RCR|9BPWR|aCDMG
41	21533 35331	3	   	273.75	DCR|5VULN|1TLV|1DUR|1AART	12368VULN|3BPWR|4LIT|5AART|7TLV|9RCR|aDUR
42	21136 32521	5	   	273.74	DCR|5VULN|3DUR|2ASPD	12458VULN|368DUR|78ASPD|8BPWR|9RPLT|aRCR
43	21136 32551	5	   	273.74	DCR|5VULN|3DUR|2ASPD	12458VULN|368DUR|78ASPD|8BPWR|9BELT|aRCR
44	21133 64363	5	   	273.72	DCR|5VULN|2TLV|1DUR|1AART	12489VULN|3DUR|59CGEN|69TLV|7RCR|9BPWR|aAART
45	31121 61463	2	   	273.63	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|3468VULN|49BPWR|5CGEN|79LHND|aRCR
46	31121 64161	2	   	273.63	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|346aVULN|49BPWR|5CGEN|7RCR|89LHND
47	31122 52363	2	   	273.63	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|3478VULN|49BPWR|5BEXP|69CGEN|aRCR
48	31123 52463	2	   	273.63	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|3478VULN|49BPWR|5LHND|69CGEN|aRCR
49	31421 62363	4	   	273.63	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|34BEXP|49BPWR|5CGEN|6789VULN|aRCR
50	31122 42363	2	   	273.43	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|3468VULN|49BPWR|5BEXP|79ERES|aRCR
51	31123 42463	2	   	273.43	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|3468VULN|49BPWR|5LHND|79ERES|aRCR
52	31321 62463	4	   	273.43	DCR|4VULN|3DUR|2TLV	19TLV|249DUR|34DUST|49BPWR|5CGEN|6789VULN|aRCR
53	36323 12413	2	 * 	273.00	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	18TLV|2LIT|38CDMG|4ZMB|5DUR|689VULN|7RCR|8BPWR|aDMG
54	26131 52411	5	   	272.87	DCR|5VULN|2DUR|2LIT|1CDMG	1489aVULN|28DUR|3CDMG|5FEWX|68LIT|7RCR|8BPWR
55	26131 52411	4	   	272.87	DCR|5VULN|2DUR|2LIT|1CDMG	1489aVULN|28DUR|3CDMG|5LWND|68LIT|7RCR|8BPWR
56	26132 52411	5	   	272.87	DCR|5VULN|2DUR|2LIT|1CDMG	1489aVULN|28DUR|3CDMG|5LWND|68LIT|7RCR|8BPWR
57	26133 52411	4	   	272.87	DCR|5VULN|2DUR|2LIT|1CDMG	1489aVULN|28DUR|3CDMG|5BEXP|68LIT|7RCR|8BPWR
