0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15111 62533	2	 * 	291.79	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2aDUR|3FEWX|4CDMG|5aDMG|6RCR|7LIT|89aVULN|aBPWR
2	11223 31631	1	 * 	289.21	DCR|4VULN|3DMG|2TLV|1NUKE	17TLV|2LIT|3478VULN|5NUKE|67aDMG|7BPWR|9RCR
3	66323 31631	2	   	289.21	DCR|4VULN|3DMG|2TLV|1NUKE	1478VULN|2LIT|37TLV|5NUKE|67aDMG|7BPWR|9RCR
4	15316 21322	7	 * 	285.41	DCR|4VULN|3DUR|2TLV|1CDMG	17TLV|237DUR|4CDMG|5CGEN|6789VULN|7BPWR|aRCR
5	65322 44534	6	 * 	282.56	DCR|3VULN|3DMG|3DUR	18aVULN|267DUR|38aLWND|48aDMG|5MBVNT|8aBPWR|9RCR
6	11223 31635	1	   	280.11	DCR|4VULN|2DMG|2TLV|2LIT|1NUKE	17TLV|2aLIT|3478VULN|5NUKE|67DMG|7BPWR|9RCR
7	12512 56313	2	 * 	278.50	DCR|4VULN|2DUR|3TLV|2CDMG	129TLV|35CDMG|459aVULN|59BPWR|6RCR|79DUR|8RCVC
8	63523 31631	2	   	275.80	DCR|4VULN|3DMG|2LIT|1NUKE	1478VULN|2MLV|37LIT|5NUKE|67aDMG|7BPWR|9RCR
9	35111 62533	2	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	1CGEN|2aDUR|3FEWX|4CDMG|5aDMG|6RCR|7LIT|89aVULN|aBPWR
10	63652 23121	3	 * 	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	158VULN|2MLV|38DMG|4TLV|6BEXP|78CDMG|8BPWR|9DUR|aRCR
11	11223 31633	1	   	273.56	DCR|4VULN|2DMG|2TLV|1NUKE	17TLV|2LIT|3478VULN|5NUKE|67DMG|7BPWR|9RCR|aCGEN
12	66323 31633	2	   	273.56	DCR|4VULN|2DMG|2TLV|1NUKE	1478VULN|2LIT|37TLV|5NUKE|67DMG|7BPWR|9RCR|aCGEN
