0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32223 56512	9	 * 	277.71	DCR|5VULN|2TLV|1DUR|1CDMG	17LWND|2DUR|34578VULN|67TLV|7BPWR|9RCR|aCDMG
2	42134 27254	10	 * 	273.53	DCR|4VULN|3DUR|3TLV	17aTLV|2aFEWX|3MBVNT|467DUR|578aVULN|7aBPWR|9RCR
3	46134 11822	9	   	273.33	DCR|4VULN|3DUR|3TLV	158TLV|248DUR|3MBVNT|6RCR|789aVULN|8BPWR
4	46134 11823	10	   	273.33	DCR|4VULN|3DUR|3TLV	158TLV|248DUR|3MBVNT|6RCR|789aVULN|8BPWR
5	32223 56513	10	   	272.37	DCR|5VULN|2TLV|1DUR	17LWND|2DUR|34578VULN|67TLV|7BPWR|9RCR|aASPD
6	41163 33521	7	 * 	271.38	DCR|3VULN|3DMG|2TLV|1AART	1aTLV|2RPLT|3AART|46aDMG|59aVULN|7RCR|8RMIN|aBPWR
7	53353 43321	1	   	270.77	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	1ASPD|236VULN|46TLV|5AART|6BPWR|7aDUR|8RCR|9CDMG
8	32223 52512	9	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	1LWND|2DUR|34578VULN|6TLV|9RCR|aCDMG
9	42134 27254	9	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|2FEWX|3MBVNT|467DUR|578VULN|7BPWR|9RCR|aCDMG
10	32223 52513	10	   	264.09	DCR|5VULN|1TLV|1DUR	1LWND|2DUR|34578VULN|6TLV|9RCR|aASPD
11	32223 56511	10	   	264.06	DCR|5VULN|2TLV|1DUR	17LWND|2DUR|34578VULN|67TLV|7BPWR|9RCR|aMLV
12	32223 56512	10	   	264.06	DCR|5VULN|2TLV|1DUR	17LWND|2DUR|34578VULN|67TLV|7BPWR|9RCR|aBEXP
13	32223 56513	9	   	264.06	DCR|5VULN|2TLV|1DUR	17LWND|2DUR|34578VULN|67TLV|7BPWR|9RCR|aBEXP
14	53353 43331	1	   	263.59	DCR|4VULN|2TLV|1DUR|1AART	1ASPD|2369VULN|46TLV|5AART|6BPWR|7DUR|8RCR|aLHND
15	53353 43332	1	   	263.59	DCR|4VULN|2TLV|1DUR|1AART	1ASPD|2369VULN|46TLV|5AART|6BPWR|7DUR|8RCR|aDMSP
16	53353 43333	1	   	263.59	DCR|4VULN|2TLV|1DUR|1AART	1ASPD|2369VULN|46TLV|5AART|6BPWR|7DUR|8RCR|aZMB
17	51252 32621	3	 * 	262.96	DCR|2VULN|3DMG|3DUR|2ASPD	17ASPD|2RPLT|378DUR|457DMG|6RCR|7BPWR|9aVULN
18	13653 43321	1	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	1ERES|236VULN|46TLV|5AART|6BPWR|7aDUR|8RCR|9CDMG
19	42134 27251	9	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	17TLV|2FEWX|3MBVNT|467DUR|578VULN|7BPWR|9RCR|aAART
20	46134 11821	10	   	261.94	DCR|3VULN|3DUR|3TLV|1AART	158TLV|248DUR|3MBVNT|6RCR|789VULN|8BPWR|aAART
21	46134 11811	10	 * 	261.30	DCR|2VULN|3DUR|3TLV|1DMG|1CDMG	158TLV|248DUR|3MBVNT|6RCR|78VULN|8BPWR|9CDMG|aDMG
22	43313 34234	9	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT|1NUKE	1aTLV|29LIT|3NUKE|4RCVC|56aVULN|7RCR|8aDMG|aBPWR
23	42134 27215	9	   	260.69	DCR|3VULN|3DUR|2TLV	17TLV|2FEWX|3MBVNT|467DUR|578VULN|7BPWR|9LIT|aRCR
24	46134 11132	7	   	260.00	DCR|4VULN|2TLV|2DUR	15TLV|24DUR|3MBVNT|6RCR|789aVULN
25	46134 11132	8	   	260.00	DCR|4VULN|2TLV|2DUR	15TLV|24DUR|3MBVNT|6RCR|789aVULN
26	46134 14132	6	   	260.00	DCR|4VULN|2TLV|2DUR	15TLV|24DUR|3MBVNT|6RCR|789aVULN
27	32223 56212	10	   	259.37	DCR|4VULN|2TLV|1DUR|1CDMG	17LWND|2DUR|3457VULN|67TLV|7BPWR|8CDMG|9LHND|aRCR
28	32223 56222	10	   	259.37	DCR|4VULN|2TLV|1DUR|1CDMG	17LWND|2DUR|3457VULN|67TLV|7BPWR|8CDMG|9BEXP|aRCR
29	32223 56432	10	   	259.37	DCR|4VULN|2TLV|1DUR|1CDMG	17LWND|2DUR|3457VULN|67TLV|7BPWR|8BEXP|9CDMG|aRCR
30	43124 22332	2	 * 	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|2LIT|35aVULN|4DMG|68DUR|7RCR|9DUST
31	43625 22332	1	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|23aVULN|4LIT|5DMG|68DUR|7RCR|9DUST
32	46114 11833	10	 * 	259.12	DCR|3VULN|3TLV|2DUR|1DMG	158TLV|28DUR|3MBVNT|4DMSP|6RCR|789VULN|8BPWR|aDMG
33	46114 11834	9	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	158TLV|28DUR|3MBVNT|4DMSP|6RCR|789VULN|8BPWR|aDMG
34	46114 11844	8	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	158TLV|28DUR|3MBVNT|4DMSP|6RCR|789VULN|8BPWR|aDMG
35	46132 14474	4	 * 	259.12	DCR|3VULN|2TLV|2DUR|2CDMG	19TLV|24DUR|3MBVNT|59CDMG|689VULN|7RCVC|9BPWR|aRCR
36	46132 44474	4	   	259.12	DCR|3VULN|2TLV|2DUR|2CDMG	19TLV|24DUR|3MBVNT|59CDMG|6DMSP|789VULN|9BPWR|aRCR
37	43124 22623	2	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LIT|359VULN|4DMG|6DUR|7RCR|8CGEN|aCDMG
38	51213 51151	4	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|2RPLT|3DUR|468VULN|5CDMG|7DMG|9RCR|aTLV
39	45121 21321	6	   	257.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1aTLV|2AART|3LHND|4aVULN|5DMG|6CDMG|7RCR|8RPLT|9aDUR|aBPWR
40	22212 24534	3	 * 	257.26	DCR|2VULN|3DMG|2DUR|3ASPD	1DMSP|2RCVC|357ASPD|459DMG|59BPWR|69DUR|89VULN|aRCR
41	53353 43322	1	   	256.19	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	1ASPD|236VULN|46TLV|5AART|6BPWR|7DUR|8RCR|9CDMG|aRPLT
42	53353 43323	1	   	256.19	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	1ASPD|236VULN|46TLV|5AART|6BPWR|7DUR|8RCR|9CDMG|aZMB
43	32223 52511	10	   	255.78	DCR|5VULN|1TLV|1DUR	1LWND|2DUR|34578VULN|6TLV|9RCR|aMLV
44	32223 52512	10	   	255.78	DCR|5VULN|1TLV|1DUR	1LWND|2DUR|34578VULN|6TLV|9RCR|aBEXP
45	32223 52513	9	   	255.78	DCR|5VULN|1TLV|1DUR	1LWND|2DUR|34578VULN|6TLV|9RCR|aBEXP
46	32223 52514	9	   	255.78	DCR|5VULN|1TLV|1DUR	1LWND|2DUR|34578VULN|6TLV|9RCR|aFEWX
47	32223 52516	10	   	255.78	DCR|5VULN|1TLV|1DUR	1LWND|2DUR|34578VULN|6TLV|9RCR|aZMB
