0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21232 14662	1	 * 	289.75	DCR|3VULN|2DMG|2DUR|2ASPD|2LIT|1NUKE	17aVULN|27ASPD|3NUKE|4aLIT|5LWND|67DMG|7aBPWR|8aDUR|9RCR
2	22315 15342	6	 * 	289.29	DCR|5VULN|2DMG|1DUR	1345aVULN|25aDUST|5aBPWR|6RCR|7LIT|8DUR|9aDMG
3	22315 16342	7	   	289.29	DCR|5VULN|2DMG|1DUR	1345aVULN|25aDUST|5aBPWR|6RCR|7LIT|8DUR|9aDMG
4	23231 12144	1	   	287.80	DCR|3VULN|2DMG|2DUR|1TLV|1AART	129VULN|39DUR|4LIT|5AART|6CGEN|79DMG|8RCR|9BPWR|aTLV
5	23231 12143	1	 * 	287.20	DCR|3VULN|3DMG|2DUR|1AART	129VULN|39DUR|4LIT|5AART|6CGEN|79aDMG|8RCR|9BPWR
6	23232 14134	1	   	287.20	DCR|3VULN|3DMG|2DUR|1AART	127VULN|37DUR|4LIT|5LWND|679DMG|7BPWR|8AART|aRCR
7	23231 12141	1	 * 	284.78	DCR|3VULN|3DUR|2DMG|1AART	129VULN|39aDUR|4LIT|5AART|6CGEN|79DMG|8RCR|9BPWR
8	25322 15732	5	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	17aVULN|2DMSP|37LIT|4MBVNT|57aDMG|6RCR|7aBPWR|8aDUR|9LEGI
9	61613 13432	5	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	19DMG|2TLV|359DUR|489VULN|6BBNT|7RCR|9BPWR|aZMB
10	61613 13433	5	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	19DMG|2TLV|359DUR|489VULN|6BBNT|7RCR|9BPWR|aLHND
11	61613 13431	5	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	19DMG|2TLV|359DUR|489VULN|6BBNT|7RCR|9BPWR|aDUST
12	23412 16153	3	 * 	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	178aVULN|2BELT|37DMG|47CDMG|5BBNT|6RCR|7BPWR|9DUR
13	22232 13435	4	 * 	280.81	DCR|4VULN|3DMG|3TLV	189aVULN|2aDUST|359DMG|49aTLV|6BBNT|7RCR|9aBPWR
14	22235 13433	4	   	280.81	DCR|4VULN|3DMG|2TLV	1589VULN|2DUST|39aDMG|49TLV|6BBNT|7RCR|9BPWR
15	22242 13435	3	   	280.81	DCR|4VULN|3DMG|3TLV	189aVULN|2aDUST|359DMG|49aTLV|6BBNT|7RCR|9aBPWR
16	22245 13433	3	   	280.81	DCR|4VULN|3DMG|2TLV	1589VULN|2DUST|39aDMG|49TLV|6BBNT|7RCR|9BPWR
17	22366 13433	3	   	280.81	DCR|4VULN|3DMG|2TLV	1389VULN|2DUST|4BBNT|59TLV|69aDMG|7RCR|9BPWR
18	22426 13433	2	   	280.81	DCR|4VULN|3DMG|2TLV	1489VULN|2DUST|3BBNT|59TLV|69aDMG|7RCR|9BPWR
19	22263 61432	3	 * 	279.65	DCR|4VULN|2DUR|2ASPD|1DMG	1689VULN|29DUST|3DMG|46DUR|5BBNT|69BPWR|79ASPD|aRCR
20	23252 21432	1	   	279.65	DCR|4VULN|2DUR|2ASPD|1DMG	1289VULN|39DUR|4DUST|5DMG|6BBNT|79ASPD|9BPWR|aRCR
21	23231 12142	1	   	279.32	DCR|3VULN|2DMG|2DUR|2AART	129VULN|39DUR|4LIT|5aAART|6CGEN|79DMG|8RCR|9BPWR
