0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12421 15361	2	 * 	291.58	DCR|4VULN|3DUR|3LIT|2TLV|1SELL	19aLIT|2SELL|35TLV|459aVULN|59aBPWR|69aDUR|7RCR|8TBNT
2	11134 15361	5	 * 	285.31	DCR|4VULN|3DUR|3LIT|1CDMG	19aLIT|269aVULN|3ERES|4CDMG|59aDUR|7RCR|8TBNT|9aBPWR
3	11115 15361	3	   	285.31	DCR|4VULN|3DUR|3LIT|1CDMG	19aLIT|249aVULN|3ERES|5CDMG|69aDUR|7RCR|8TBNT|9aBPWR
4	15331 23116	9	   	281.52	DCR|4VULN|3DUR|3LIT|1AART	19aLIT|269DUR|3BELT|4AART|569aVULN|69aBPWR|7RCR|8RPLT
5	53332 11534	4	 * 	276.27	DCR|3VULN|3DUR|2DMG|1AART	18ERES|2AART|357DUR|48DMG|689VULN|8BPWR|aRCR
6	43621 12326	7	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	19DUR|239VULN|4BEXP|5ASPD|69DMG|7LEGI|8AART|9BPWR|aRCR
7	43252 12331	9	 * 	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1aDUR|258VULN|3RPLT|4aCDMG|6aDMG|7LEGI|9RCR|aBPWR
8	12421 15363	2	 * 	273.15	DCR|4VULN|2DUR|2TLV|2LIT|1SELL	19LIT|2SELL|35TLV|459aVULN|59BPWR|69DUR|7RCR|8TBNT
9	11312 12526	4	 * 	272.97	DCR|5VULN|2DUR|2LIT	18LIT|24578VULN|3BELT|68DUR|8BPWR|9LHND|aRCR
10	43252 11331	9	 * 	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUR|258aVULN|3RPLT|4CDMG|6DMG|7aFEWX|9RCR|aBPWR
11	43252 14331	9	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUR|258aVULN|3RPLT|4CDMG|6DMG|7aBEXP|9RCR|aBPWR
12	11312 12112	3	   	271.93	DCR|5VULN|1DUR|2LIT|1CDMG	14LIT|24579VULN|3BELT|4BPWR|6DUR|8RCR|aCDMG
13	11314 12112	4	   	271.93	DCR|5VULN|1DUR|2LIT|1CDMG	15LIT|24579VULN|3BELT|5BPWR|6DUR|8RCR|aCDMG
14	42112 21423	1	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	19DUR|2567VULN|3SELL|4DMG|8CDMG|aRCR
15	42112 21663	1	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	18DUR|2567VULN|3SELL|4DMG|9CDMG|aRCR
16	43112 21423	2	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	19DUR|2567VULN|3SELL|4DMG|8CDMG|aRCR
17	43112 21663	2	   	271.84	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	18DUR|2567VULN|3SELL|4DMG|9CDMG|aRCR
18	12315 33661	3	   	271.52	DCR|4VULN|3DUR|3LIT|1SELL	19aLIT|2SELL|3CGEN|49aDUR|5TBNT|689aVULN|7RCR|9aBPWR
19	12121 15361	2	   	271.42	DCR|4VULN|3DUR|3LIT|1SELL	19aLIT|2SELL|35ERES|459aVULN|59aBPWR|69aDUR|7RCR|8TBNT
20	12115 33661	2	   	271.42	DCR|4VULN|3DUR|3LIT|1SELL	19aLIT|2SELL|3ERES|49aDUR|5TBNT|689aVULN|7RCR|9aBPWR
21	15331 23223	10	   	269.93	DCR|3VULN|3DUR|1TLV|2LIT|1AART	19LIT|268DUR|3BELT|4AART|569VULN|69BPWR|7RCR|aTLV
22	42221 25226	1	   	269.93	DCR|3VULN|3DUR|1TLV|2LIT|1AART	158DUR|289VULN|3CGEN|4TLV|6AART|78LIT|8BPWR|aRCR
23	43221 25226	2	   	269.93	DCR|3VULN|3DUR|1TLV|2LIT|1AART	158DUR|289VULN|3CGEN|4TLV|6AART|78LIT|8BPWR|aRCR
24	11153 13226	5	   	269.83	DCR|3VULN|3DUR|1TLV|2LIT|1AART	18LIT|289VULN|3ERES|4TLV|5AART|678DUR|8BPWR|aRCR
25	42321 25226	1	   	269.83	DCR|3VULN|3DUR|1TLV|2LIT|1AART	158DUR|289VULN|3ERES|4TLV|6AART|78LIT|8BPWR|aRCR
