0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31324 41326	8	 * 	292.30	DCR|5VULN|3DUR|1TLV	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aTLV
2	11344 41372	10	 * 	291.30	DCR|4VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678aVULN|78BPWR|9RCR
3	11344 41376	9	   	291.30	DCR|4VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678aVULN|78BPWR|9RCR
4	11344 41377	9	 * 	287.83	DCR|3VULN|3DUR|2DMG|3ASPD	178ASPD|278DUR|3MBVNT|4LIT|5aDMG|678VULN|78BPWR|9RCR
5	31324 41352	9	   	279.75	DCR|5VULN|3DUR|1CDMG	178BEXP|2LIT|378DUR|4578aVULN|6RCR|78BPWR|9CDMG
6	31324 41251	10	   	278.87	DCR|5VULN|2DUR|1TLV	17BEXP|2LIT|37DUR|4579aVULN|6RCR|7BPWR|8TLV
7	31324 41363	7	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	17BEXP|2LIT|37DUR|457VULN|6RCR|7BPWR|89DMG|aTLV
8	11344 41354	10	   	276.79	DCR|3VULN|3DUR|3ASPD|1DMG|2LIT	178ASPD|278DUR|3MBVNT|49LIT|5DMG|678VULN|78BPWR|aRCR
9	31324 41321	8	   	274.40	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aASPD
10	31324 41341	9	   	274.40	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aASPD
11	31324 41311	8	   	274.37	DCR|4VULN|3DUR|1DMG|2LIT	178BEXP|29LIT|378DUR|4578VULN|6RCR|78BPWR|aDMG
12	61324 41321	8	   	274.10	DCR|5VULN|3DUR	178DUST|2LIT|378DUR|45789VULN|6RCR|78BPWR|aASPD
13	61324 41311	8	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	178DUST|29LIT|378DUR|4578VULN|6RCR|78BPWR|aDMG
14	31324 41325	10	   	273.96	DCR|4VULN|3DUR|1TLV	178BEXP|2LIT|378DUR|4578VULN|6RCR|78BPWR|9RCVC|aTLV
