0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63152 23334	5	 * 	302.74	DCR|4VULN|3DMG|2DUR|1CDMG	1AART|27DUR|367aVULN|467DMG|5RPLT|67BPWR|8RCR|9CDMG
2	63152 23343	5	   	297.39	DCR|4VULN|3DMG|2DUR	1AART|27DUR|367aVULN|467DMG|5RPLT|67BPWR|8RCR|9ASPD
3	63152 23353	5	   	289.09	DCR|4VULN|3DMG|2DUR	1AART|27DUR|367aVULN|467DMG|5RPLT|67BPWR|8RCR|9MLV
4	63152 23361	5	   	289.09	DCR|4VULN|3DMG|2DUR	1AART|27DUR|3679VULN|467DMG|5RPLT|67BPWR|8RCR|aLHND
5	63152 23362	5	   	289.09	DCR|4VULN|3DMG|2DUR	1AART|27DUR|3679VULN|467DMG|5RPLT|67BPWR|8RCR|aRMIN
6	63152 23363	5	   	288.99	DCR|4VULN|3DMG|2DUR	1AART|27DUR|3679VULN|467DMG|5RPLT|67BPWR|8RCR|aBBNT
7	63152 23333	5	   	288.00	DCR|3VULN|3DMG|2DUR|2CDMG	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9aCDMG
8	63153 22113	9	   	287.90	DCR|3VULN|3DMG|2DUR|2CDMG	1AART|27DUR|38aVULN|467DMG|57CDMG|7BPWR|9RCR
9	63152 23341	5	   	284.65	DCR|3VULN|3DMG|2DUR	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9ASPD|aLIT
10	63152 23332	5	   	281.69	DCR|3VULN|3DMG|2DUR|1CDMG	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9CDMG|aZMB
11	63152 23336	5	   	281.69	DCR|3VULN|3DMG|2DUR|1CDMG	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9CDMG|aFEWX
12	63152 23331	5	   	281.59	DCR|3VULN|3DMG|2DUR|1CDMG	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9CDMG|aDUST
13	63152 23335	5	   	281.59	DCR|3VULN|3DMG|2DUR|1CDMG	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9CDMG|aERES
14	63623 34173	5	 * 	277.18	DCR|3VULN|2TLV|2DUR|2CDMG	1AART|29DUR|36CDMG|469VULN|5MBVNT|69BPWR|7RCR|89TLV|aASPD
15	66223 34173	5	   	277.18	DCR|3VULN|2TLV|2DUR|2CDMG	1AART|29CDMG|36DUR|469VULN|5MBVNT|69BPWR|7RCR|89TLV|aASPD
16	63152 23351	5	   	276.34	DCR|3VULN|3DMG|2DUR	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9MLV|aLIT
17	63152 23342	5	   	276.24	DCR|3VULN|3DMG|2DUR	1AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|8RCR|9ASPD|aERES
18	63152 23242	5	   	275.81	DCR|3VULN|3DMG|2DUR|2AART	18AART|27DUR|367VULN|467DMG|5RPLT|67BPWR|9LWND|aRCR
19	63222 34323	4	 * 	275.33	DCR|2VULN|3DUR|2DMG|1TLV	1AART|278DUR|38DMG|4LHND|5ASPD|68VULN|8BPWR|9RCR|aTLV
20	63232 34323	3	   	275.33	DCR|2VULN|3DUR|2DMG|1TLV	1AART|278DUR|38DMG|4LHND|5ASPD|68VULN|8BPWR|9RCR|aTLV
21	63152 23521	5	 * 	274.50	5VULN|3DMG|3DUR|2TLV	1AART|27aDUR|3678aVULN|467DMG|5RPLT|67aBPWR|9aTLV
22	66223 34623	5	 * 	273.92	DCR|3VULN|3DUR|1TLV|2CDMG	1AART|29CDMG|369DUR|469VULN|5MBVNT|69BPWR|7RCR|8TBNT|aTLV
23	63222 34321	4	 * 	273.81	DCR|3VULN|3DUR|2DMG	1AART|278DUR|38DMG|4LHND|5ASPD|68aVULN|8BPWR|9RCR
24	63232 34321	3	   	273.81	DCR|3VULN|3DUR|2DMG	1AART|278DUR|38DMG|4LHND|5ASPD|68aVULN|8BPWR|9RCR
