0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25623 11132	6	 * 	291.98	DCR|4VULN|3DMG|2DUR	1358VULN|25aDMG|4RPLT|58BPWR|68DUR|78ZMB|9RCR
2	26246 23313	8	 * 	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	13479VULN|24DUR|4BPWR|5DMG|6CGEN|8CDMG|aRCR
3	26242 53132	10	 * 	291.40	DCR|5VULN|3DUR|1DMG	13479VULN|245DUR|47BPWR|67CGEN|8DMG|aRCR
4	26242 23132	10	   	291.30	DCR|5VULN|3DUR|1DMG	13479VULN|245DUR|47BPWR|6RMIN|8DMG|aRCR
5	25623 11134	6	 * 	289.55	DCR|4VULN|3DUR|2DMG	1358VULN|25DMG|4RPLT|58BPWR|68aDUR|78ZMB|9RCR
6	26242 35232	10	   	289.55	DCR|4VULN|3DUR|2DMG	134aVULN|245DUR|4aBPWR|6LWND|7aLHND|8aDMG|9RCR
7	26142 26232	10	   	289.55	DCR|4VULN|3DUR|2DMG	147aVULN|234DUR|4aBPWR|5BEXP|6aFEWX|8aDMG|9RCR
8	26143 26232	10	   	289.45	DCR|4VULN|3DUR|2DMG	147aVULN|234DUR|4aBPWR|5DUST|6aFEWX|8aDMG|9RCR
9	26243 11513	6	   	287.81	DCR|5VULN|2DUR|1TLV|1CDMG	13489VULN|24DUR|4BPWR|5ERES|6TLV|7CDMG|aRCR
10	26242 53232	9	   	285.51	DCR|4VULN|3DUR|1DMG|1CDMG	1347VULN|245DUR|47BPWR|67CGEN|8CDMG|9RCR|aDMG
11	26246 23323	9	   	285.41	DCR|4VULN|3DUR|1DMG|1CDMG	1347VULN|249DUR|4BPWR|5DMG|6CGEN|8CDMG|aRCR
12	26242 53233	9	   	284.99	DCR|5VULN|3DUR|1CDMG	1347aVULN|245DUR|47BPWR|67CGEN|8CDMG|9RCR
13	26242 22252	5	   	284.79	DCR|5VULN|3DUR|1CDMG	13478VULN|245DUR|48BPWR|68ERES|9CDMG|aRCR
14	25632 15313	9	   	284.43	DCR|4VULN|2DMG|2DUR	139aVULN|2aDMG|4DUST|5BELT|6RCR|7LIT|8aDUR|aBPWR
