0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25412 22413	9	 * 	299.02	DCR|4VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|789aVULN|8BPWR
2	21532 31452	8	 * 	289.01	DCR|4VULN|3DUR|3CDMG|1ASPD	189DUR|2MLV|3589VULN|4LHND|6ASPD|789CDMG|89BPWR|aRCR
3	25412 22353	8	 * 	286.58	DCR|3VULN|3DUR|2ASPD|2CDMG|1TLV	128DUR|39CDMG|4TLV|59ASPD|6RCR|79aVULN|9BPWR
4	11531 11534	5	 * 	285.79	DCR|4VULN|2DUR|3CDMG|2ASPD	127aVULN|2aBPWR|3aASPD|4aDUR|589CDMG|6RCR
5	15233 22521	7	 * 	284.61	DCR|3VULN|3DUR|3ASPD|2LIT	19aVULN|259DUR|3BEXP|4aLIT|6AART|7RCR|89aASPD|9aBPWR
6	26233 22521	7	   	284.61	DCR|3VULN|3DUR|3ASPD|2LIT	159DUR|29aVULN|3BEXP|4aLIT|6AART|7RCR|89aASPD|9aBPWR
7	11432 22524	7	 * 	284.22	DCR|5VULN|3ASPD|3CDMG	1279aVULN|29aBPWR|39aCDMG|4RMIN|59aASPD|6RCR|8BELT
8	21631 35153	1	 * 	283.46	DCR|5VULN|2CDMG|1DMG|1DUR	1DUR|24579VULN|35CDMG|5BPWR|6DMG|8BEXP|aRCR
9	21631 35253	1	   	283.46	DCR|5VULN|1DMG|2CDMG|1DUR	1DUR|24579VULN|35CDMG|5BPWR|6DMG|8LHND|aRCR
10	21631 23653	1	   	283.36	DCR|5VULN|1DMG|2CDMG|1DUR	1DUR|24589VULN|35CDMG|5BPWR|6DUST|7DMG|aRCR
11	11432 22256	8	   	283.10	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|2aBPWR|3CDMG|4RMIN|5aASPD|6RCR|8AART|9aDUR
12	11412 22452	7	   	282.77	DCR|4VULN|3DUR|2CDMG|1ASPD	1279VULN|29BPWR|39CDMG|4MLV|5ASPD|6RCR|89aDUR
13	25412 22412	9	   	282.42	DCR|3VULN|3DUR|3CDMG|1TLV|1ASPD	128DUR|38aCDMG|4TLV|5ASPD|6RCR|789VULN|8BPWR
14	11423 23434	9	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	12aVULN|2aBPWR|3CDMG|4LEGI|57aDUR|6RPLT|8aDMG|9RCR
15	11136 36521	9	 * 	279.89	DCR|5VULN|2DMG|2LIT	12458VULN|248BPWR|34FEWX|68DMG|78LIT|9LHND|aRCR
16	11136 36531	8	   	279.79	DCR|5VULN|2DMG|2LIT	12458VULN|248BPWR|34FEWX|68DMG|78LIT|9DUST|aRCR
17	11263 46123	2	   	279.69	DCR|5VULN|2DMG|2LIT	1249aVULN|24BPWR|34LIT|5BEXP|6RCR|78DMG
18	11263 46123	1	   	279.69	DCR|5VULN|2DMG|2LIT	1249aVULN|34LIT|4BPWR|5BEXP|6RCR|78DMG
19	11261 46123	1	   	279.59	DCR|5VULN|2DMG|2LIT	1249aVULN|34LIT|4BPWR|5DUST|6RCR|78DMG
20	11261 46123	2	   	279.59	DCR|5VULN|2DMG|2LIT	1249aVULN|24BPWR|34LIT|5DUST|6RCR|78DMG
21	21636 11622	1	   	279.28	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1aDUR|2478VULN|3CDMG|5TLV|6RCR|9ASPD
22	11456 22232	8	   	279.28	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1279VULN|2BPWR|3CDMG|4ASPD|5TLV|6RCR|8aDUR
23	15121 16343	9	 * 	279.27	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	178VULN|27DUR|3AART|4BEXP|5DMG|67TLV|7BPWR|9RCR|aCDMG
24	26121 16343	9	   	279.27	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	17DUR|278VULN|3AART|4BEXP|5DMG|67TLV|7BPWR|9RCR|aCDMG
25	15121 16341	9	 * 	278.85	DCR|3VULN|3DUR|2TLV|1DMG	178VULN|27aDUR|3AART|4BEXP|5DMG|67TLV|7BPWR|9RCR
26	26121 16341	9	   	278.85	DCR|3VULN|3DUR|2TLV|1DMG	17aDUR|278VULN|3AART|4BEXP|5DMG|67TLV|7BPWR|9RCR
27	11263 46222	2	   	278.35	DCR|5VULN|1DMG|1DUR|2LIT	12489VULN|24BPWR|34LIT|5BEXP|6RCR|7DMG|aDUR
28	11263 46222	1	   	278.35	DCR|5VULN|1DMG|1DUR|2LIT	12489VULN|34LIT|4BPWR|5BEXP|6RCR|7DMG|aDUR
29	11261 46222	2	   	278.25	DCR|5VULN|1DMG|1DUR|2LIT	12489VULN|24BPWR|34LIT|5DUST|6RCR|7DMG|aDUR
30	11261 46222	1	   	278.25	DCR|5VULN|1DMG|1DUR|2LIT	12489VULN|34LIT|4BPWR|5DUST|6RCR|7DMG|aDUR
31	11412 22152	8	 * 	278.21	DCR|5VULN|2TLV|2CDMG|1ASPD	1279aVULN|2aBPWR|3aCDMG|4MLV|5ASPD|6RCR|8aTLV
32	11451 22152	8	   	278.21	DCR|5VULN|2TLV|2CDMG|1ASPD	1279aVULN|2aBPWR|3aCDMG|4ASPD|5CGEN|6RCR|8aTLV
33	11453 22152	8	   	278.11	DCR|5VULN|2TLV|2CDMG|1ASPD	1279aVULN|2aBPWR|3aCDMG|4ASPD|5ERES|6RCR|8aTLV
34	21633 33653	1	   	276.94	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|24689VULN|3CDMG|5DUST|7DMG|aRCR
35	25412 22411	9	   	276.38	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|789VULN|8BPWR|aZMB
36	25412 22411	10	   	276.38	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|789VULN|8BPWR|aRPLT
37	25412 22412	10	   	276.38	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|789VULN|8BPWR|aCGEN
38	25412 22413	10	   	276.38	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|789VULN|8BPWR|aLHND
39	25412 22423	8	   	276.38	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|78aVULN|8BPWR|9MLV
40	25412 22433	9	   	276.28	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|78aVULN|8BPWR|9ERES
41	11423 34241	6	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	12aVULN|2aBPWR|3CDMG|4LEGI|5aDUR|6LIT|7RCR|8BEXP|9aDMG
42	11443 32341	5	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1247VULN|2BPWR|3CDMG|5TLV|6aDMG|8BELT|9RCR
43	14636 11121	1	   	274.96	DCR|4VULN|2CDMG|1DUR|1TLV|2LIT	147aVULN|2DUR|3aCDMG|5TLV|6RCR|8DUST|9aLIT|aBPWR
44	15636 11121	2	   	274.96	DCR|4VULN|2CDMG|1DUR|1TLV|2LIT	147aVULN|2DUR|3aCDMG|5TLV|6RCR|8DUST|9aLIT|aBPWR
45	12151 17323	8	 * 	274.91	DCR|4VULN|2DMG|2TLV	178aVULN|2FEWX|3AART|4MBVNT|57DMG|67TLV|7BPWR|9RCR
46	11263 46121	1	   	273.80	DCR|4VULN|2DMG|2LIT|1CDMG	1249VULN|34LIT|4BPWR|5BEXP|6RCR|78DMG|aCDMG
