0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32615 13522	5	 * 	303.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG|1ASPD	1589VULN|2ASPD|38TLV|4DMG|6CDMG|78DUR|8BPWR|aRCR
2	32612 13522	5	 * 	298.20	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG|1ASPD	189VULN|2ASPD|38TLV|45DMG|6CDMG|78DUR|8BPWR|aRCR
3	32612 61522	5	 * 	290.80	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV|1SELL	189VULN|28ASPD|3TLV|45DMG|68DUR|7SELL|8BPWR|aRCR
4	35311 26522	4	 * 	290.80	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV|1SELL	189VULN|2SELL|38DMG|45DUR|6TLV|78ASPD|8BPWR|aRCR
5	35351 64121	8	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	148aVULN|2SELL|38DMG|5MBVNT|6RCR|78aDUR|8aBPWR|9aLHND
6	35351 64131	9	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	148aVULN|2SELL|38DMG|5MBVNT|6RCR|78aDUR|8aBPWR|9aLHND
7	35351 64131	8	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	148aVULN|2SELL|38DMG|5MBVNT|6RCR|78aDUR|8aBPWR|9aFEWX
8	35351 64141	9	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	148aVULN|2SELL|38DMG|5MBVNT|6RCR|78aDUR|8aBPWR|9aLWND
9	35351 64111	8	 * 	289.11	DCR|4VULN|3DUR|2DMG|1SELL	148aVULN|2SELL|38DMG|5MBVNT|6RCR|78aDUR|8aBPWR|9aDUST
10	32612 42235	10	 * 	288.69	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	1789VULN|2ASPD|3TLV|45DMG|6RCR|aDUR
11	32415 13521	5	 * 	288.52	DCR|5VULN|2ASPD|1DMG|2CDMG	1589aVULN|28ASPD|3CGEN|4DMG|68CDMG|7RCR|8BPWR
12	32513 43213	9	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	169aVULN|2ASPD|39LIT|4FEWX|5DUR|79DMG|8RCR|9BPWR
13	32513 43214	10	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	169aVULN|2ASPD|39LIT|4FEWX|5DUR|79DMG|8RCR|9BPWR
14	32533 43213	9	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	169aVULN|2ASPD|39LIT|4BEXP|5DUR|79DMG|8RCR|9BPWR
15	32533 43214	10	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	169aVULN|2ASPD|39LIT|4BEXP|5DUR|79DMG|8RCR|9BPWR
16	32516 13213	9	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	159aVULN|2ASPD|39LIT|4FEWX|6DUR|79DMG|8RCR|9BPWR
17	32516 13214	10	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	159aVULN|2ASPD|39LIT|4FEWX|6DUR|79DMG|8RCR|9BPWR
18	32536 13213	9	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	159aVULN|2ASPD|39LIT|4BEXP|6DUR|79DMG|8RCR|9BPWR
19	32536 13214	10	   	287.50	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	159aVULN|2ASPD|39LIT|4BEXP|6DUR|79DMG|8RCR|9BPWR
20	32553 43213	9	   	287.40	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	169aVULN|2ASPD|39LIT|4DUST|5DUR|79DMG|8RCR|9BPWR
21	32556 13213	9	   	287.40	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	159aVULN|2ASPD|39LIT|4DUST|6DUR|79DMG|8RCR|9BPWR
22	32566 33213	9	   	287.40	DCR|4VULN|2DMG|1DUR|2LIT|1ASPD	159aVULN|2ASPD|39LIT|4DUR|6DUST|79DMG|8RCR|9BPWR
23	32412 13521	5	 * 	286.57	DCR|4VULN|2DMG|2ASPD|2CDMG	189aVULN|28ASPD|3CGEN|45DMG|68CDMG|7RCR|8BPWR
24	32221 23541	1	 * 	286.38	DCR|5VULN|2DUR|2CDMG	12348VULN|5BEXP|68CDMG|78DUR|8BPWR|9RCR|aLIT
25	32612 42235	9	   	286.09	DCR|4VULN|2DMG|1TLV|1CDMG|1ASPD	1789VULN|2ASPD|3TLV|45DMG|6RCR|aCDMG
26	32612 42421	8	   	286.09	DCR|4VULN|2DMG|1TLV|1CDMG|1ASPD	179aVULN|2ASPD|3TLV|45DMG|6RCR|8CDMG
