0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26233 22453	6	 * 	282.24	DCR|3VULN|2DUR|1TLV|2CDMG|2ASPD|2LIT	18aVULN|28CDMG|3aLIT|4TLV|5MBVNT|68DUR|7RCR|8aBPWR|9aASPD
2	26233 22443	6	 * 	278.81	DCR|3VULN|3DUR|1TLV|3CDMG	18aVULN|28aCDMG|3LIT|4TLV|5MBVNT|68aDUR|7RCR|8aBPWR|9RMIN
3	52511 42123	2	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2LHND|368VULN|4CGEN|5LIT|78DMG|8BPWR|9RCR|aTLV
4	51511 42123	1	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2LEGI|368VULN|4CGEN|5LIT|78DMG|8BPWR|9RCR|aTLV
5	21132 52261	10	 * 	271.70	DCR|3VULN|3DMG|3DUR	18aVULN|256FEWX|3RPLT|468DUR|68aBPWR|78aDMG|9RCR
6	22331 66125	1	   	267.99	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	128VULN|3ASPD|48DUR|5BEXP|6TLV|78LIT|8BPWR|9RCR|aCDMG
7	26233 22458	6	   	267.65	DCR|3VULN|2DUR|1TLV|2CDMG	18aVULN|28CDMG|3LIT|4TLV|5MBVNT|68DUR|7RCR|8BPWR|9ASPD
8	22313 25426	1	 * 	267.16	DCR|4VULN|1TLV|1DMG|2ASPD|1AART	1257VULN|35ASPD|4RCVC|5BPWR|6AART|8RCR|9DMG|aTLV
9	26233 22413	6	   	266.09	DCR|3VULN|2DUR|1TLV|2CDMG|2LIT	18aVULN|28CDMG|3aLIT|4TLV|5MBVNT|68DUR|7RCR|8aBPWR|9aZMB
10	22438 13614	10	 * 	265.45	DCR|4VULN|3DUR|1TLV	1679VULN|2LHND|39CGEN|4MBVNT|569DUR|69BPWR|8RCR|aTLV
11	16222 22143	7	 * 	265.24	ACR|4VULN|3DUR|1TLV|3ASPD	1RCR|28aASPD|38aDUR|4LIT|5TLV|678aVULN|8aBPWR|9RPLT
12	26153 11236	7	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	168VULN|28CDMG|3FEWX|4CGEN|578DUR|8BPWR|9RCR|aTLV
13	26513 11235	7	   	264.26	DCR|3VULN|3DUR|1TLV|2CDMG	168VULN|28CDMG|3CGEN|4DUST|578DUR|8BPWR|9RCR|aTLV
14	52511 42122	2	   	264.15	DCR|3VULN|3DUR|2DMG	18aDUR|2LHND|368VULN|4CGEN|5LIT|78DMG|8BPWR|9RCR
15	51511 42122	1	   	264.05	DCR|3VULN|3DUR|2DMG	18aDUR|2LEGI|368VULN|4CGEN|5LIT|78DMG|8BPWR|9RCR
16	22451 42123	4	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	168VULN|2LHND|38CGEN|4DUR|5LIT|78DMG|8BPWR|9RCR|aTLV
