0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31541 32315	4	 * 	265.58	DCR|4VULN|3TLV|1DMG|1DUR	1RCVC|235TLV|35BPWR|4568VULN|7DUR|9RCR|aDMG
2	31541 32314	4	 * 	263.86	DCR|5VULN|3TLV|1DUR	1RCVC|235TLV|35BPWR|4568aVULN|7DUR|9RCR
3	31412 51214	8	   	262.84	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG|1AART	1RCVC|2aTLV|35aVULN|4DUR|6AART|7CDMG|8RCR|9aLIT|aBPWR
4	31311 13445	9	 * 	262.14	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|29TLV|3FEWX|459DUR|6RCR|7AART|89aVULN|9BPWR
5	12533 21551	8	   	262.04	DCR|3VULN|3DUR|2TLV|1NUKE|1AART	1NUKE|279VULN|3RPLT|469DUR|5AART|89TLV|9BPWR|aRCR
6	61422 22253	7	 * 	260.78	DCR|3VULN|3DMG|3ASPD|1AART	18aASPD|2ZMB|38aVULN|4CGEN|5DUST|68aDMG|7AART|8aBPWR|9RCR
7	61132 53253	4	   	260.68	DCR|3VULN|3DMG|3ASPD|1AART	18aASPD|2ZMB|38aDMG|4AART|5DUST|6ERES|78aVULN|8aBPWR|9RCR
8	31412 13215	10	 * 	260.20	DCR|4VULN|2TLV|2DUR	1RCVC|2aTLV|358aVULN|4aDUR|6RCR|7RMIN|9DLOT|aBPWR
9	31542 53133	7	   	260.10	DCR|4VULN|2TLV|2DUR	1RCVC|23TLV|3BPWR|4567VULN|8aDUR|9RCR
10	63133 31365	1	   	259.55	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	1aASPD|2LIT|38aVULN|4CDMG|5LHND|6AART|7aDMG|9RCR|aBPWR
11	31541 32311	4	   	259.17	DCR|4VULN|3TLV|1DUR|1CDMG	1RCVC|235TLV|35BPWR|4568VULN|7DUR|9RCR|aCDMG
12	31541 41311	4	   	259.17	DCR|4VULN|3TLV|1DUR|1CDMG	1RCVC|235TLV|35BPWR|4578VULN|6DUR|9RCR|aCDMG
13	31416 61223	8	 * 	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1RCVC|29TLV|378VULN|4aDUR|5DMG|6RCR
14	21216 22314	1	   	257.60	DCR|4VULN|1TLV|1DMG|1DUR	13BEXP|238aVULN|3BPWR|4DMG|5TLV|6MLV|7DUR|9RCR
15	12243 25124	5	   	257.16	DCR|4VULN|1TLV|1DMG|1DUR|1NUKE|1SELL	1NUKE|2458VULN|3SELL|4BPWR|6DMG|7TLV|9RCR|aDUR
16	63136 13142	1	   	256.31	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1ASPD|2LIT|379VULN|4CDMG|5AART|6DUR|8RCR|aTLV
17	61131 33155	7	 * 	255.76	DCR|3VULN|2DMG|1TLV|1AART	1ASPD|2ZMB|38DMG|4AART|5TLV|67aVULN|9RCR
18	61131 33155	6	   	255.76	DCR|3VULN|2DMG|1TLV|1AART	1ASPD|2ZMB|38DMG|4AART|5TLV|67aVULN|9RCR
19	61131 43253	8	 * 	254.66	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	1aASPD|2ZMB|36aDMG|4AART|5TLV|7DUST|8aVULN|9RCR|aBPWR
20	21216 22315	1	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	13BEXP|238VULN|3BPWR|4aDMG|5TLV|6MLV|7DUR|9RCR
21	31412 11111	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|2TLV|358VULN|4DUR|6RCR|7RPLT|9aDMG
22	31416 61221	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|2TLV|378VULN|4DUR|5aDMG|6RCR|9CGEN
23	31416 61231	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|2TLV|378VULN|4DUR|5aDMG|6RCR|9MLV
24	31541 32316	4	   	253.83	DCR|4VULN|3TLV|1DUR	1RCVC|235TLV|35BPWR|4568VULN|7DUR|9RCR|aLIT
25	12122 42136	3	 * 	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE|1AART	1NUKE|25VULN|35DMG|4AART|5BPWR|69DUR|7LWND|8TLV|aRCR
26	12122 51136	3	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE|1AART	1NUKE|25VULN|35DMG|4AART|5BPWR|6LWND|79DUR|8TLV|aRCR
