0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14525 12212	1	 * 	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	1LEGI|27aDMG|37aCDMG|4BEXP|5DUR|679aVULN|7aBPWR|8RCR
2	14522 32212	6	 * 	296.28	DCR|4VULN|3DUR|3ASPD|1CDMG	1LEGI|27aASPD|379aVULN|4CDMG|5FEWX|67aDUR|7aBPWR|8RCR
3	14614 12212	4	   	296.28	DCR|4VULN|3DUR|3ASPD|1CDMG	1LEGI|27aASPD|37aDUR|4LWND|5CDMG|679aVULN|7aBPWR|8RCR
4	14622 12212	5	   	296.28	DCR|4VULN|3DUR|3ASPD|1CDMG	1LEGI|27aASPD|37aDUR|4CDMG|5FEWX|679aVULN|7aBPWR|8RCR
5	14634 12212	4	   	296.28	DCR|4VULN|3DUR|3ASPD|1CDMG	1LEGI|27aASPD|37aDUR|4BEXP|5CDMG|679aVULN|7aBPWR|8RCR
6	14625 12212	5	   	296.18	DCR|4VULN|3DUR|3ASPD|1CDMG	1LEGI|27aASPD|37aDUR|4CDMG|5DUST|679aVULN|7aBPWR|8RCR
7	14626 12212	4	   	296.18	DCR|4VULN|3DUR|3ASPD|1CDMG	1LEGI|27aASPD|37aDUR|4CDMG|5DUST|679aVULN|7aBPWR|8RCR
8	12164 12212	3	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	1LEGI|27aDUR|37aLHND|4DMG|5CDMG|679aVULN|7aBPWR|8RCR
9	12264 22212	3	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	1LEGI|27aDUR|379aVULN|4DMG|5CDMG|67aLHND|7aBPWR|8RCR
10	12564 12212	2	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	1LEGI|27aDUR|37aLHND|4DMG|5CDMG|679aVULN|7aBPWR|8RCR
11	12564 12212	3	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	1LEGI|27aDUR|37aLWND|4DMG|5CDMG|679aVULN|7aBPWR|8RCR
12	12664 12212	2	   	285.61	DCR|4VULN|3DUR|1DMG|1CDMG	1LEGI|27aDUR|37aLWND|4DMG|5CDMG|679aVULN|7aBPWR|8RCR
13	12264 62212	3	   	285.31	DCR|4VULN|3DUR|1DMG|1CDMG	1LEGI|27aDUR|379aVULN|4DMG|5CDMG|67aDUST|7aBPWR|8RCR
14	14525 12212	2	 * 	280.83	DCR|4VULN|3ASPD|3CDMG|1DUR	1LEGI|27aASPD|37aCDMG|4BEXP|5DUR|679aVULN|7aBPWR|8RCR
15	12262 14612	8	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1LEGI|2aDUR|389aVULN|4BEXP|5DMG|6RCR|7aCDMG|aBPWR
16	65312 16313	1	 * 	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	1RMIN|27DMG|3BBNT|47aVULN|578DUR|6RCR|7BPWR|9ASPD
17	12144 12212	4	   	276.55	DCR|4VULN|3DUR|1CDMG|1ASPD	1LEGI|27aDUR|37aLHND|4ASPD|5CDMG|679aVULN|7aBPWR|8RCR
18	12544 12212	4	   	276.55	DCR|4VULN|3DUR|1CDMG|1ASPD	1LEGI|27aDUR|37aLWND|4ASPD|5CDMG|679aVULN|7aBPWR|8RCR
19	12244 22212	4	   	276.55	DCR|4VULN|3DUR|1CDMG|1ASPD	1LEGI|27aDUR|379aVULN|4ASPD|5CDMG|67aLHND|7aBPWR|8RCR
20	12261 11425	3	   	276.37	DCR|3VULN|3DUR|2DMG	1LEGI|26aDUR|38aVULN|4aDMG|5BELT|7RCR|9AART|aBPWR
21	35266 23212	7	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1aFEWX|2DUST|369aVULN|4CDMG|5DUR|7aDMG|8RCR|aBPWR
22	33263 61233	10	 * 	274.36	DCR|5VULN|2DUR|1TLV	1aFEWX|2478aVULN|3TLV|5MLV|6RCR|9aDUR|aBPWR
23	33363 61233	10	   	274.36	DCR|5VULN|2DUR|1TLV	1aFEWX|2478aVULN|3MLV|5TLV|6RCR|9aDUR|aBPWR
24	14525 12211	1	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1LEGI|27DMG|37CDMG|4BEXP|5aDUR|679VULN|7BPWR|8RCR
25	63312 14124	1	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1RMIN|29TLV|3BBNT|48aVULN|59DUR|6RCR|79DMG|9BPWR
26	12262 15212	5	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1LEGI|2aDUR|39aVULN|4BEXP|56DMG|7aCDMG|8RCR|aBPWR
