0	Index      	 *	Score 	Summary	Detail	
1	36524 32123	 * 	390.73	橙2双倍秒伤1易伤2时间1伤害	1易伤2头目34时间5基地爆炸6随机技能7核8伤害9a双倍秒伤
2	31421 31622	 * 	387.48	橙3易伤1双倍秒伤2时间	158易伤2毒气减费38矿等4激光对绿6随机技能78时间8序列升级9核a双倍秒伤
3	32421 31622	   	387.48	橙3易伤1双倍秒伤2时间	158易伤2烈焰减费38矿等4激光对绿6随机技能78时间8序列升级9核a双倍秒伤
4	35221 31622	   	387.38	橙3易伤1双倍秒伤2时间	158易伤28掉矿3立即金币4激光对绿6随机技能78时间8序列升级9核a双倍秒伤
5	36325 32123	   	378.18	橙2双倍秒伤1易伤1伤害1时间	1易伤2头目3风暴减费4基地爆炸5时间6随机技能7核8伤害9a双倍秒伤
6	31121 33153	 * 	377.31	橙2易伤1双倍秒伤1等级1伤害1时间	14易伤2毒气减费3随机技能5伤害6赏金塔7核8时间9等级a双倍秒伤
7	32121 33153	   	377.31	橙2易伤1双倍秒伤1等级1伤害1时间	14易伤2烈焰减费3随机技能5伤害6赏金塔7核8时间9等级a双倍秒伤
8	31421 62622	   	375.03	橙3易伤1双倍秒伤1时间	158易伤2毒气减费38矿等4激光对绿6时间78随机技能8序列升级9核a双倍秒伤
9	32421 62622	   	375.03	橙3易伤1双倍秒伤1时间	158易伤2烈焰减费38矿等4激光对绿6时间78随机技能8序列升级9核a双倍秒伤
10	35221 62622	   	374.93	橙3易伤1双倍秒伤1时间	158易伤28掉矿3立即金币4激光对绿6时间78随机技能8序列升级9核a双倍秒伤
11	31421 15352	   	374.83	橙3易伤1双倍秒伤1时间	156易伤2毒气减费3矿等4激光对绿7雷电8核9时间a双倍秒伤
12	31421 16352	   	374.83	橙3易伤1双倍秒伤1时间	156易伤2毒气减费3矿等4激光对绿7头目8核9时间a双倍秒伤
13	32421 15352	   	374.83	橙3易伤1双倍秒伤1时间	156易伤2烈焰减费3矿等4激光对绿7雷电8核9时间a双倍秒伤
14	32421 16352	   	374.83	橙3易伤1双倍秒伤1时间	156易伤2烈焰减费3矿等4激光对绿7头目8核9时间a双倍秒伤
15	35221 15352	   	374.83	橙3易伤1双倍秒伤1时间	156易伤2掉矿3立即金币4激光对绿7雷电8核9时间a双倍秒伤
16	35221 16352	   	374.83	橙3易伤1双倍秒伤1时间	156易伤2掉矿3立即金币4激光对绿7头目8核9时间a双倍秒伤
17	16662 11333	 * 	365.48	橙2双倍秒伤2易伤1暴击1等级1时间	1a双倍秒伤23易伤4暴击57随机技能6核8时间9等级
18	16662 13333	   	365.38	橙2双倍秒伤2易伤1暴击1等级1时间	1a双倍秒伤23易伤4暴击5随机技能6核7毒气减费8时间9等级
19	16315 12633	 * 	365.38	橙2双倍秒伤2易伤1暴击2全技能1时间	1a双倍秒伤26易伤3时间4暴击59全技能7核8额外掉落
20	16315 12334	 * 	365.28	橙2双倍秒伤2易伤1暴击2时间1全技能	1a双倍秒伤26易伤39时间4暴击5全技能7核8掉矿
21	34522 52313	   	363.76	橙2易伤1双倍秒伤2时间1伤害	18易伤2基地爆炸36时间4随机技能5雷电7核9伤害a双倍秒伤
22	36523 32163	   	363.66	橙2易伤1双倍秒伤2时间1伤害	19易伤2头目34时间5挖尘6随机技能7核8伤害a双倍秒伤
