0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26123 46113	10	 * 	290.26	DCR|3VULN|3DUR|2DMG|3CDMG	18aDUR|28aVULN|3DUST|4LIT|568CDMG|7RCR|8aBPWR|9aDMG
2	26315 32213	4	 * 	285.31	DCR|4VULN|3DUR|1TLV|1DMG	13aDUR|245aVULN|6DMG|7TLV|8aDUST|9RCR|aBPWR
3	26424 32213	3	   	285.31	DCR|4VULN|3DUR|1TLV|1DMG	16aDUR|245aVULN|3DMG|7TLV|8aDUST|9RCR|aBPWR
4	26312 62311	7	 * 	283.69	DCR|5VULN|3DUR|1TLV	137DUR|2467aVULN|5BELT|7BPWR|8RCR|9TLV
5	62216 33142	7	 * 	282.77	DCR|4VULN|3DMG|2TLV	17TLV|2BEXP|378DMG|4579VULN|6RMIN|7BPWR|aRCR
6	26313 36113	4	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	13aDUR|24aVULN|5FEWX|6RCVC|7TLV|8aDMG|9RCR|aBPWR
7	26311 36113	5	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	13aDUR|24aVULN|5DUST|6RCVC|7TLV|8aDMG|9RCR|aBPWR
8	21231 15133	8	 * 	279.66	DCR|3VULN|3DMG|3DUR|1NUKE|1SELL	189DUR|289DMG|3NUKE|4SELL|5FEWX|6LIT|789VULN|89BPWR|aRCR
9	21233 15163	8	 * 	279.66	DCR|3VULN|3DMG|3DUR|1NUKE|1SELL	189DUR|289DMG|3NUKE|4SELL|5LHND|6LIT|789VULN|89BPWR|aRCR
10	26312 62336	7	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	137DUR|2467VULN|5BELT|7BPWR|8RCR|9CDMG|aTLV
11	21116 22251	8	 * 	278.07	DCR|3VULN|3DMG|3TLV|1DUR	1DUR|29aDMG|3LWND|4MLV|59aVULN|6RCR|7ZMB|89aTLV|9aBPWR
12	25411 25222	5	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	127DUR|37LIT|4ZMB|5DMG|679aVULN|7BPWR|8RCR
13	26312 62316	7	   	273.66	DCR|4VULN|3DUR|1TLV	137DUR|2467VULN|5BELT|7BPWR|8RCR|9TLV|aASPD
