0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33323 28372	1	 * 	269.76	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356aVULN|46LIT|6BPWR|7RCR|8TLV|9DMG
2	51532 31513	3	 * 	268.50	DCR|3VULN|3DMG|3CDMG|2LIT	1RMIN|27aVULN|3aLIT|4DMSP|57aCDMG|678DMG|7aBPWR|9RCR
3	33348 43812	1	 * 	266.12	DCR|5VULN|2DUR|1CDMG	1CDMG|2MBVNT|35678VULN|45DUR|5BPWR|9LIT|aRCR
4	33348 43884	1	   	266.12	DCR|5VULN|2DUR|1CDMG	1CDMG|2MBVNT|35678VULN|45DUR|5BPWR|9ASPD|aRCR
5	33348 28425	1	 * 	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|2MBVNT|3578VULN|45DUR|5BPWR|6RPLT|9RCR|aTLV
6	33348 46425	1	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|2MBVNT|3568VULN|45DUR|5BPWR|7RPLT|9RCR|aTLV
7	23254 12213	10	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1FEWX|2DMG|345DUR|678VULN|9RCR|aTLV
8	13515 33533	8	 * 	263.85	DCR|2VULN|3DMG|2DUR|1CDMG	1LHND|24aDMG|3LIT|5ASPD|6aDUR|7CDMG|8RCR|9aVULN|aBPWR
9	33323 88372	1	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|356aVULN|4LIT|7RCR|8TLV|9DMG
10	23132 12154	10	 * 	261.82	DCR|3VULN|3DMG|2TLV	145FEWX|25aDMG|3RMIN|5aBPWR|69aVULN|7RCR|8aTLV
11	23342 12132	10	   	261.25	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	1FEWX|245DMG|35ASPD|5BPWR|6TLV|7RCR|8DUR|9aVULN
12	33323 21584	1	 * 	261.22	DCR|4VULN|1TLV|3LIT|2CDMG	17CDMG|2MBVNT|3567VULN|467LIT|67BPWR|8TLV|9RPLT|aRCR
13	33348 43212	1	 * 	261.00	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3567VULN|458DUR|5BPWR|9LIT|aRCR
14	33348 43285	1	   	261.00	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3567VULN|458DUR|5BPWR|9ASPD|aRCR
15	33348 43441	1	   	261.00	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45aDUR|5BPWR|8ASPD|9RCR
16	33348 41355	1	   	257.81	DCR|5VULN|2DUR|1CDMG	1CDMG|2MBVNT|35689VULN|45DUR|5BPWR|7CGEN|aRCR
17	32263 22114	6	   	257.77	DCR|4VULN|1TLV|2CDMG	13CDMG|2TLV|4LIT|569aVULN|7RCR|8ASPD
18	32216 63262	2	 * 	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	1aCDMG|2TLV|34aVULN|5BBNT|6RCR|7ERES|8MLV|9aDMG|aBPWR
19	23223 21455	7	 * 	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7aTLV|9RCR
20	23223 21655	8	   	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7aTLV|9RCR
21	32263 35512	5	 * 	257.02	DCR|2VULN|3DMG|1TLV|2CDMG	13CDMG|2TLV|4LIT|5aVULN|678DMG|9RCR
22	32263 35531	5	   	257.02	DCR|2VULN|3DMG|1TLV|2CDMG	13CDMG|2TLV|4LIT|59VULN|678DMG|aRCR
23	33323 28336	1	   	256.01	DCR|4VULN|1TLV|2CDMG|2LIT	1aCDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|8TLV
24	33323 28416	1	   	256.01	DCR|4VULN|1TLV|2CDMG|2LIT	18CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|aTLV
25	23162 25222	2	   	255.76	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2aDMG|389VULN|4AART|5TLV|6RCR|7LIT
26	23662 25222	3	   	255.76	DCR|3VULN|2DMG|1TLV|1AART	1FEWX|2aDMG|389VULN|4AART|5TLV|6RCR|7LIT
27	51532 31512	3	   	255.71	DCR|3VULN|3DMG|2CDMG	1RMIN|27aVULN|3LIT|4DMSP|57CDMG|678DMG|7BPWR|9RCR
28	51532 31531	3	   	255.71	DCR|3VULN|3DMG|2CDMG	1RMIN|279VULN|3LIT|4DMSP|57CDMG|678DMG|7BPWR|aRCR
29	32261 31314	4	   	255.02	DCR|3VULN|1TLV|1DMG|2CDMG|2LIT	13CDMG|2TLV|45LIT|6DMG|7RCR|89aVULN
30	32265 31314	5	   	255.02	DCR|3VULN|1TLV|1DMG|2CDMG|2LIT	13CDMG|2TLV|45LIT|6DMG|7RCR|89aVULN
31	33323 81662	1	 * 	254.98	DCR|4VULN|3LIT|1DMG|2CDMG	17CDMG|2MBVNT|3567VULN|47aLIT|7BPWR|8DMG|9RCR
32	23253 53533	8	   	254.74	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	1FEWX|2aDMG|34DUR|5ASPD|6aLIT|7CDMG|8RCR|9aVULN|aBPWR
33	33323 28332	1	   	254.70	DCR|4VULN|1TLV|3LIT|1CDMG	1CDMG|2MBVNT|3569VULN|46aLIT|6BPWR|7RCR|8TLV
34	13152 25223	2	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1LHND|2DMG|389VULN|4AART|5TLV|6RCR|7LIT|aDUR
35	33341 54764	1	 * 	254.09	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	19CDMG|2MBVNT|379VULN|4DUR|5DUST|6AART|89TLV|9BPWR|aRCR
36	33348 48411	1	 * 	254.09	DCR|4VULN|2DUR|2CDMG	18CDMG|2MBVNT|3569VULN|45DUR|5BPWR|7LIT|aRCR
37	33348 43446	1	   	254.09	DCR|4VULN|2DUR|2CDMG	1aCDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ASPD|9RCR
38	23621 24214	4	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|28DMG|345VULN|6LHND|7RCR|9DUR|aTLV
39	23222 24542	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|25DMG|3DUR|48aVULN|6BEXP|7TLV|9RCR
40	31126 43263	1	 * 	253.69	DCR|2VULN|2DMG|2DUR|3CDMG|1AART	14aCDMG|2AART|34DUR|4aBPWR|5aDMG|6RCR|7LWND|8LHND|9aVULN
41	23342 12436	7	   	253.31	DCR|2VULN|3DMG|1TLV|2ASPD	1FEWX|245DMG|35ASPD|5BPWR|6TLV|7RCR|8aVULN|9LIT
42	23252 63433	4	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1FEWX|2DMG|349DUR|5TLV|6CDMG|78VULN|aRCR
43	23254 13153	7	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1FEWX|2DMG|345DUR|68VULN|7TLV|9CDMG|aRCR
44	23223 54433	5	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1FEWX|2DMG|369DUR|48VULN|5CDMG|7TLV|aRCR
45	32263 22111	7	   	252.97	DCR|3VULN|1TLV|2CDMG|1DUR	13CDMG|2TLV|4LIT|569VULN|7DUR|8ASPD|aRCR
46	33348 48324	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|2MBVNT|356VULN|45DUR|5BPWR|7LIT|8TLV|9RPLT|aRCR
47	31213 63236	2	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|2ERES|347VULN|5TLV|6RCR|89DUR|aASPD
