0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12213 12262	1	 * 	307.71	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG|1ASPD	189DUR|2TLV|38DMG|4ASPD|5CDMG|68aVULN|7RCR|8BPWR
2	12213 12235	1	   	294.49	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38DMG|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9LWND
3	12213 12245	1	   	294.49	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38DMG|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9BEXP
4	12213 12255	1	   	294.49	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38DMG|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9FEWX
5	12213 12225	1	   	294.39	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38DMG|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9DUST
6	12341 32426	8	   	286.77	DCR|3VULN|3DUR|2DMG|2TLV	137DUR|2RPLT|37aBPWR|4aDUST|57TLV|67aVULN|8aDMG|9RCR
7	22542 31126	4	 * 	285.40	DCR|4VULN|3DMG|1TLV	1ERES|245DMG|359aVULN|5BPWR|6RCR|7LIT|8TLV
8	12213 12265	1	   	280.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1ASPD	189DUR|2TLV|38DMG|4ASPD|5CDMG|68VULN|7RCR|8BPWR|aRMIN
9	12213 12266	1	   	280.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1ASPD	189DUR|2TLV|38DMG|4ASPD|5CDMG|68VULN|7RCR|8BPWR|aLHND
10	12213 12261	1	   	280.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1ASPD	189DUR|2TLV|38DMG|4ASPD|5CDMG|68VULN|7RCR|8BPWR|aDLOT
11	12213 12263	1	   	280.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1ASPD	189DUR|2TLV|38DMG|4ASPD|5CDMG|68VULN|7RCR|8BPWR|aDUST
12	12213 12264	1	   	280.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1ASPD	189DUR|2TLV|38DMG|4ASPD|5CDMG|68VULN|7RCR|8BPWR|aERES
13	33233 52516	5	 * 	280.48	DCR|3VULN|3ASPD|2DUR|1DMG|1CDMG	1RCVC|2RMIN|358ASPD|458VULN|58BPWR|6RCR|78DUR|9CDMG|aDMG
14	33233 62516	6	   	280.48	DCR|3VULN|3ASPD|2DUR|1DMG|1CDMG	1RCVC|2RMIN|358ASPD|458VULN|58BPWR|6RCR|78DUR|9CDMG|aDMG
15	22542 36231	4	   	280.36	DCR|3VULN|3DMG|1TLV|1DUR	1ERES|245DMG|358VULN|5BPWR|6RCR|7TLV|9AART|aDUR
16	42213 12265	1	   	279.90	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	18LWND|2TLV|38DMG|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9DUR
17	22542 41122	4	   	279.01	DCR|3VULN|3DMG|1TLV|1DUR	1ERES|245DMG|359VULN|5BPWR|6DUR|7LIT|8TLV|aRCR
18	22542 61212	4	   	279.01	DCR|3VULN|3DMG|1TLV|1DUR	1ERES|245DMG|358VULN|5BPWR|6TLV|7DUR|9LIT|aRCR
