0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55334 11223	6	 * 	317.30	DCR|5VULN|3DUR|2DMG	167DUR|2LIT|37DMG|4567aVULN|67BPWR|8RCR|9ERES
2	33335 11135	9	 * 	311.69	DCR|5VULN|3DMG|1TLV|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aTLV
3	64324 11323	6	   	309.41	DCR|4VULN|3DUR|2DMG|3LIT	167LIT|258aVULN|37DMG|467DUR|67BPWR|9RCR
4	55334 11221	6	   	307.42	DCR|4VULN|3DUR|2DMG	167DUR|2LIT|37DMG|4567VULN|67BPWR|8RCR|9ERES|aAART
5	33335 11138	9	   	306.44	DCR|5VULN|3DMG|2LIT|1ASPD	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aASPD
6	33337 14263	6	   	305.10	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|356DMG|45679VULN|569BPWR|8AART|aRCR
7	55334 11233	6	   	304.31	DCR|4VULN|3DUR|2DMG|2LIT	167DUR|2aLIT|37DMG|4567VULN|67BPWR|8RCR|9DLOT
8	33237 36173	8	 * 	302.60	DCR|4VULN|3DUR|3ASPD|3LIT	1MBVNT|29aLIT|357ASPD|459aVULN|59aBPWR|69aDUR|8RCR
9	64324 11322	6	 * 	302.43	DCR|3VULN|3DMG|3DUR|3LIT	167LIT|258VULN|37aDMG|467DUR|67BPWR|9RCR
10	33335 11235	6	   	301.81	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8AART|9RCR|aDUR
11	33335 17235	7	   	301.81	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8AART|9RCR|aDUR
12	55234 11223	6	 * 	300.86	DCR|5VULN|3DUR|2ASPD	167DUR|2LIT|37ASPD|4567aVULN|67BPWR|8RCR|9ERES
13	66334 11122	6	   	300.55	DCR|5VULN|3DMG|3LIT	167LIT|2BEXP|37aDMG|45678VULN|67BPWR|9RCR
14	33335 11132	10	   	300.45	DCR|5VULN|3DMG|3LIT	1MBVNT|29aLIT|369DMG|45679VULN|69BPWR|8RCR
15	33335 11132	9	   	300.45	DCR|5VULN|3DMG|3LIT	1MBVNT|29aLIT|369DMG|45679VULN|69BPWR|8RCR
16	64335 11132	9	   	300.45	DCR|5VULN|3DMG|3LIT	19aLIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR
17	64335 11132	10	   	300.45	DCR|5VULN|3DMG|3LIT	19aLIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR
18	55334 11231	6	   	297.76	DCR|4VULN|3DUR|2DMG	167DUR|2LIT|37DMG|4567VULN|67BPWR|8RCR|9DLOT|aLHND
19	55334 11232	6	   	297.66	DCR|4VULN|3DUR|2DMG	167DUR|2LIT|37DMG|4567VULN|67BPWR|8RCR|9DLOT|aTBNT
20	55334 31223	6	   	297.66	DCR|4VULN|3DUR|2DMG	167DUR|2LIT|37DMG|457aVULN|7BPWR|8RCR|9ERES
21	33335 11231	6	   	296.56	DCR|4VULN|3DMG|2LIT|1ASPD	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8AART|9RCR|aASPD
22	33335 17231	7	   	296.56	DCR|4VULN|3DMG|2LIT|1ASPD	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8AART|9RCR|aASPD
23	64335 11231	6	   	296.56	DCR|4VULN|3DMG|2LIT|1ASPD	17LIT|2567VULN|367DMG|4MBVNT|67BPWR|8AART|9RCR|aASPD
24	33337 11183	8	   	295.54	DCR|5VULN|3DMG|2LIT	1MBVNT|2aLIT|356DMG|4569aVULN|56aBPWR|7aFEWX|8RCR
25	33335 11131	9	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aLHND
26	33335 11131	10	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aCGEN
27	33335 11133	10	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aZMB
