0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11346 12152	4	 * 	298.14	DCR|5VULN|2DUR|2TLV|2CDMG	1aCDMG|2458aVULN|35DUR|5aBPWR|6LWND|7RCR|9aTLV
2	11211 53335	3	 * 	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	17CDMG|2579VULN|3LHND|4DMG|678DUR|7BPWR|aRCR
3	11311 53335	2	   	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	17CDMG|2579VULN|3LWND|4DMG|678DUR|7BPWR|aRCR
4	11411 53335	2	   	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	17CDMG|2579VULN|3LHND|4DMG|678DUR|7BPWR|aRCR
5	23233 64336	2	 * 	289.35	DCR|4VULN|3DUR|2DMG	168DUR|2FEWX|3489VULN|58DMG|7LEGI|8BPWR|aRCR
6	11314 13335	4	 * 	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	17CDMG|279VULN|358DUR|4LHND|67DMG|7BPWR|aRCR
7	11224 13335	3	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	17CDMG|279VULN|3LHND|458DUR|67DMG|7BPWR|aRCR
8	11242 13325	5	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	17CDMG|247VULN|3LHND|589DUR|67DMG|7BPWR|aRCR
9	11324 13335	2	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	17CDMG|279VULN|3LWND|458DUR|67DMG|7BPWR|aRCR
10	11424 13335	2	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	17CDMG|279VULN|3LHND|458DUR|67DMG|7BPWR|aRCR
11	23322 64613	5	 * 	286.76	DCR|2VULN|3DMG|3DUR|1TLV|2LIT	159DUR|2FEWX|39LIT|45VULN|59BPWR|6RCR|7TLV|89aDMG
12	23322 26652	5	 * 	286.30	DCR|5VULN|3DUR|2LIT	15aDUR|2FEWX|3aLIT|4569aVULN|5aBPWR|7RCR|8DMSP
13	23322 61652	5	   	286.30	DCR|5VULN|3DUR|2LIT	15aDUR|2FEWX|3aLIT|4579aVULN|5aBPWR|6RCR|8DMSP
14	21322 26652	5	   	286.20	DCR|5VULN|3DUR|2LIT	15aDUR|2DUST|3aLIT|4569aVULN|5aBPWR|7RCR|8DMSP
15	21322 61652	5	   	286.20	DCR|5VULN|3DUR|2LIT	15aDUR|2DUST|3aLIT|4579aVULN|5aBPWR|6RCR|8DMSP
16	26221 32152	1	 * 	285.41	DCR|4VULN|3DUR|2TLV|1CDMG	15aDUR|238aVULN|4LWND|6CDMG|7RCR|9aTLV|aBPWR
17	11242 32152	6	   	283.46	DCR|5VULN|2TLV|2CDMG|1DUR	1aCDMG|2468aVULN|3LHND|5DUR|7RCR|9aTLV|aBPWR
18	11344 23326	7	   	280.39	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|249aVULN|36DUR|5LIT|7RCR|8DMG
19	11344 23326	6	   	280.39	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|249aVULN|36DUR|5LIT|7RCR|8DMG
20	21453 53233	6	 * 	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	18DUR|2DUST|38ASPD|4FEWX|5DMG|689aVULN|7RCR|8BPWR
21	41453 22233	5	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	189aVULN|2DUST|38ASPD|4FEWX|5DMG|6RCR|78DUR|8BPWR
22	14225 34321	3	 * 	279.59	DCR|3VULN|2DMG|3ASPD|3CDMG	126CDMG|38DMG|478VULN|568ASPD|68BPWR|9MLV|aRCR
23	14225 34321	4	   	279.59	DCR|3VULN|2DMG|3ASPD|3CDMG	126CDMG|38DMG|478VULN|568ASPD|68BPWR|9MLV|aRCR
24	13246 74412	1	 * 	279.49	DCR|3VULN|2DMG|2DUR|3CDMG	149CDMG|2MBVNT|34DUR|49BPWR|59DMG|69aVULN|7RCR|8BBNT
25	11356 12152	4	   	278.60	DCR|4VULN|2DUR|2TLV|2CDMG	1aCDMG|258aVULN|35DUR|4DMSP|5aBPWR|6LWND|7RCR|9aTLV
26	11346 62122	4	   	278.50	DCR|4VULN|2DUR|2CDMG|1DMG	1aCDMG|2458VULN|35DUR|5BPWR|6BEXP|7RCR|9DMG
27	11242 22152	6	   	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1aCDMG|248aVULN|3LHND|56DUR|7RCR|9aTLV|aBPWR
28	11342 12152	5	   	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1aCDMG|248aVULN|35DUR|6LWND|7RCR|9aTLV|aBPWR
29	11346 12122	4	   	277.98	DCR|5VULN|2DUR|2CDMG	1aCDMG|2458aVULN|35DUR|5aBPWR|6LWND|7RCR|9aERES
30	11346 22363	7	   	277.98	DCR|5VULN|2DUR|2CDMG	18CDMG|2489aVULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR
31	26263 14333	1	 * 	277.98	DCR|5VULN|2DUR|1DMG	18DUR|2378aVULN|4FEWX|5DMG|68DUST|8BPWR|9RCR
32	26633 14333	1	   	277.98	DCR|5VULN|2DUR|1DMG	18DUR|2478aVULN|3FEWX|5DMG|68DUST|8BPWR|9RCR
33	11346 12216	4	   	276.68	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|245aVULN|35DUR|5BPWR|6LWND|7RCR|8LIT|9TLV
