0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42561 32321	5	 * 	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1CDMG|24DUR|3478VULN|4BPWR|5DMSP|6RCR|9aTLV
2	42531 32621	2	 * 	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	13CDMG|237DUR|3BPWR|48aVULN|5LIT|6RCR|9TLV
3	42531 33621	2	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	13CDMG|238DUR|3BPWR|47aVULN|5LIT|6RCR|9TLV
4	24264 12212	6	 * 	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1BEXP|28aVULN|3ERES|4DUR|5aLIT|6TLV|7RCR|9aDMG|aBPWR
5	34264 12212	6	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1FEWX|28aVULN|3ERES|4DUR|5aLIT|6TLV|7RCR|9aDMG|aBPWR
6	42563 12214	4	 * 	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	1aCDMG|24aDUR|34VULN|4aBPWR|5FEWX|6MBVNT|79aDMG|8RCR
7	42562 13114	5	   	266.67	DCR|2VULN|3DMG|3DUR|2CDMG	1aCDMG|24aDUR|34VULN|4aBPWR|5DUST|6MBVNT|7RCR|89aDMG
8	42161 32621	5	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|257DUR|3LIT|48aVULN|6RCR|9TLV
9	42161 33621	5	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|258DUR|3LIT|47aVULN|6RCR|9TLV
10	42531 32621	3	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|247DUR|38aVULN|5LIT|6RCR|9TLV
11	42531 33621	3	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|248DUR|37aVULN|5LIT|6RCR|9TLV
12	61236 32612	4	 * 	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	129TLV|29BPWR|379VULN|4CDMG|5CGEN|6RCR|89aDUR
13	42561 32322	5	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|24DUR|3478VULN|4BPWR|5DMSP|6RCR|9TLV|aRPLT
14	42561 32323	5	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|24DUR|3478VULN|4BPWR|5DMSP|6RCR|9TLV|aCGEN
15	42561 32111	5	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|24DUR|3479VULN|4BPWR|5DMSP|6RCR|8ERES|aTLV
16	61236 32611	4	   	262.46	DCR|3VULN|3TLV|2DUR|1CDMG|1AART	129TLV|29BPWR|379VULN|4CDMG|5CGEN|6RCR|89DUR|aAART
17	64343 12212	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|2aERES|3LIT|4DUR|58aVULN|6BEXP|7RCR|9aDMG|aBPWR
18	64423 12212	4	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|2aERES|3LIT|4DUR|58aVULN|6BEXP|7RCR|9aDMG|aBPWR
19	64341 23223	1	   	261.87	DCR|4VULN|2TLV|2ASPD|1DUR	18TLV|248aVULN|3DUR|5CGEN|68ASPD|7RCR|8BPWR|9RCVC
20	15332 33246	2	 * 	261.41	DCR|2VULN|2DMG|2TLV|3ASPD|1DUR	1DMSP|28aASPD|38TLV|4aCGEN|5DUR|68VULN|7RCR|8aBPWR|9aDMG
21	61322 35363	3	 * 	261.14	DCR|3VULN|2TLV|1DMG|1DUR	12TLV|2BPWR|3DMG|4ASPD|5DUR|67aVULN|8LIT|9RCR
22	61432 33224	3	 * 	260.78	DCR|3VULN|3TLV|1DMG|2ASPD|1DUR	128TLV|28BPWR|38ASPD|4CGEN|5DUR|68aVULN|7RCR|9DMG
23	25153 22532	5	 * 	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2TLV|3aDUR|4aDMG|5MLV|6RCR|7aVULN|8LIT|9ASPD|aBPWR
24	35152 13532	5	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2TLV|3aDUR|4aDMG|5ZMB|6aVULN|7RCR|8LIT|9ASPD|aBPWR
25	35153 22532	5	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2TLV|3aDUR|4aDMG|5MLV|6RCR|7aVULN|8LIT|9ASPD|aBPWR
26	62152 13532	5	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2FEWX|3aDUR|4aDMG|5ZMB|6aVULN|7RCR|8LIT|9ASPD|aBPWR
27	62153 22532	5	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2FEWX|3aDUR|4aDMG|5MLV|6RCR|7aVULN|8LIT|9ASPD|aBPWR
28	63153 22532	5	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2BEXP|3aDUR|4aDMG|5MLV|6RCR|7aVULN|8LIT|9ASPD|aBPWR
29	35152 22532	4	   	260.64	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2TLV|3aDUR|4aDMG|5ERES|6RCR|7aVULN|8LIT|9ASPD|aBPWR
30	62152 22532	4	   	260.64	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2FEWX|3aDUR|4aDMG|5ERES|6RCR|7aVULN|8LIT|9ASPD|aBPWR
31	61312 35162	6	 * 	260.42	DCR|2VULN|2DMG|3TLV|2DUR	129TLV|29BPWR|39DMG|47VULN|5LIT|69DUR|8BELT|aRCR
32	61312 63162	6	   	260.42	DCR|2VULN|2DMG|3TLV|2DUR	129TLV|29BPWR|39DMG|46VULN|5LIT|79DUR|8BELT|aRCR
33	61322 35162	6	   	260.42	DCR|2VULN|2DMG|3TLV|2DUR	129TLV|29BPWR|39DMG|4LIT|57VULN|69DUR|8BELT|aRCR
34	61322 63162	6	   	260.42	DCR|2VULN|2DMG|3TLV|2DUR	129TLV|29BPWR|39DMG|4LIT|56VULN|79DUR|8BELT|aRCR
35	11623 15521	1	 * 	260.24	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	1DMSP|2TBNT|367DMG|47TLV|57VULN|7BPWR|8AART|9RCR|aCDMG
36	42251 33243	4	   	259.44	DCR|3VULN|2DUR|1TLV|2CDMG	19CDMG|28DUR|39CGEN|4TLV|5LIT|6RCR|79aVULN|9BPWR
37	42532 12335	2	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	13CDMG|23DUR|3BPWR|478VULN|5TLV|6CGEN|9LIT|aRCR
38	23244 12212	6	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1BEXP|2aDUR|3ERES|48VULN|5aLIT|6TLV|7RCR|9aDMG|aBPWR
39	42561 32223	4	   	257.77	DCR|2VULN|3DUR|1TLV|2LIT|1CDMG|1AART	1CDMG|247DUR|34VULN|4BPWR|5aLIT|6RCR|8AART|9TLV
40	15332 32663	2	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	1DMSP|27ASPD|37TLV|4CGEN|59DUR|67aVULN|7BPWR|8RCR
41	15332 33263	2	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	1DMSP|28ASPD|38TLV|4CGEN|59DUR|68aVULN|7RCR|8BPWR
42	64141 22314	1	   	254.95	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1TLV|29VULN|3CGEN|4CDMG|59LIT|6DMG|7MBVNT|89DUR|9BPWR|aRCR
43	11623 15522	1	   	254.90	DCR|2VULN|3DMG|2TLV|1AART	1DMSP|2TBNT|367DMG|47TLV|57VULN|7BPWR|8AART|9RCR|aASPD
44	42561 33221	4	 * 	254.19	DCR|4VULN|2DUR|2CDMG	19CDMG|24DUR|347aVULN|4BPWR|5LIT|6RCR|8CGEN
45	42561 33313	4	   	254.19	DCR|4VULN|2DUR|2CDMG	19CDMG|24DUR|347aVULN|4BPWR|5LIT|6RCR|8LWND
46	11623 45233	1	 * 	254.18	DCR|3VULN|2DMG|3TLV	1DMSP|2TBNT|37DMG|467TLV|57aVULN|7BPWR|8LIT|9RCR
47	11334 35326	4	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|2CGEN|38DMG|4TLV|567VULN|9DUR|aRCR
48	11336 23643	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|2CGEN|39DMG|4TLV|57aVULN|6DUR|8RCR
49	11336 35326	5	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|2CGEN|38DMG|4TLV|567VULN|9DUR|aRCR
