0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31112 25524	1	 * 	283.09	DCR|4VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458aVULN|8BPWR|9RCR
2	33223 32342	1	 * 	282.28	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	19TLV|29CDMG|34DMG|5DUR|6RCR|7RCVC|89aVULN|9BPWR
3	31521 42111	1	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|25DUR|38aVULN|4aDMG|6BELT|7RCR|9BBNT|aBPWR
4	32246 43111	6	 * 	276.78	DCR|4VULN|2DMG|2TLV|1AART	19TLV|2CGEN|3RCVC|4AART|579aVULN|6RCR|89DMG|9BPWR
5	31523 22213	1	 * 	276.07	DCR|2VULN|3DMG|2TLV|2DUR	18TLV|27DUR|38VULN|468DMG|5TBNT|8BPWR|9ASPD|aRCR
6	33223 32345	1	 * 	272.17	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	19TLV|29CDMG|34DMG|5aDUR|6RCR|7RCVC|89VULN|9BPWR
7	31112 25511	1	   	270.35	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458VULN|8BPWR|9LIT|aRCR
8	31112 25522	1	   	270.35	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458VULN|8BPWR|9RCR|aASPD
9	32132 41543	9	 * 	270.13	DCR|3VULN|3DMG|2TLV	18TLV|24CGEN|348DMG|48BPWR|5LIT|6ZMB|78aVULN|9RCR
10	35132 11543	9	   	270.13	DCR|3VULN|3DMG|2TLV	18TLV|24ZMB|348DMG|48BPWR|5LIT|6CGEN|78aVULN|9RCR
11	31112 22514	1	   	269.86	DCR|4VULN|3TLV|2DUR|1AART	168TLV|28DUR|3AART|4578VULN|8BPWR|9BEXP|aRCR
12	31112 22544	1	   	269.76	DCR|4VULN|3TLV|2DUR|1AART	168TLV|28DUR|3AART|4578VULN|8BPWR|9LEGI|aRCR
13	33251 32322	1	   	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	19TLV|2CDMG|39DMG|4ASPD|5CGEN|6RCR|7RCVC|89aVULN|9BPWR
14	21111 61782	7	 * 	267.94	DCR|3VULN|3DMG|2DUR|1AART	1RCVC|2MBVNT|3RPLT|469VULN|569DMG|69BPWR|7AART|89DUR|aRCR
15	33133 53432	4	 * 	267.81	DCR|2VULN|2DMG|2DUR|1TLV|3ASPD	1TLV|249ASPD|34DMG|49BPWR|5FEWX|69VULN|7LHND|89DUR|aRCR
16	33135 53432	5	   	267.81	DCR|2VULN|2DMG|2DUR|1TLV|3ASPD	1TLV|249ASPD|34DMG|49BPWR|5BEXP|69VULN|7LHND|89DUR|aRCR
17	31523 22233	1	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	18TLV|27DUR|38VULN|468DMG|5TBNT|8BPWR|9ZMB|aRCR
18	33133 56432	4	   	267.71	DCR|2VULN|2DMG|2DUR|1TLV|3ASPD	1TLV|249ASPD|34DMG|49BPWR|5FEWX|69VULN|7DUST|89DUR|aRCR
19	31516 11222	1	 * 	267.66	DCR|2VULN|3DMG|3TLV|2DUR	148TLV|26DUR|38VULN|589DMG|7BBNT|8BPWR|aRCR
20	24321 33634	5	   	267.33	DCR|3VULN|3DUR|2TLV|2LIT	1RCVC|29LIT|357DUR|489VULN|69TLV|9BPWR|aRCR
21	33223 32341	1	   	265.90	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	19TLV|29CDMG|34DMG|5DUR|6RCR|7RCVC|89VULN|9BPWR|aLIT
22	43323 21161	9	   	265.65	DCR|4VULN|3DUR|1TLV	19aDUR|29aCGEN|3TLV|4FEWX|579aVULN|6DMSP|8RCR|9aBPWR
23	43323 51161	9	   	265.65	DCR|4VULN|3DUR|1TLV	19aDUR|29aCGEN|3TLV|4FEWX|579aVULN|6RCVC|8RCR|9aBPWR
24	41263 21161	9	   	265.55	DCR|4VULN|3DUR|1TLV	19aDUR|29aBEXP|3ERES|4TLV|579aVULN|6DMSP|8RCR|9aBPWR
25	43363 21161	9	   	265.55	DCR|4VULN|3DUR|1TLV	19aDUR|29aCGEN|3TLV|4DUST|579aVULN|6DMSP|8RCR|9aBPWR
26	63613 32231	2	 * 	265.48	DCR|3VULN|2DUR|1TLV|3CDMG	1RPLT|29aVULN|359CDMG|4TLV|6ASPD|7RCR|89DUR|9BPWR
27	36121 42111	1	 * 	265.34	DCR|2VULN|3DUR|2DMG|2TLV	1aTLV|28VULN|35aDUR|4aDMG|6BELT|7RCR|9BBNT|aBPWR
28	33632 52231	4	 * 	265.12	DCR|2VULN|3DUR|3TLV|3ASPD|1CDMG	149TLV|29aASPD|3RPLT|5CDMG|6aVULN|7RCR|89aDUR|9aBPWR
29	31112 22436	1	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	16TLV|2aDUR|3AART|457VULN|8RCR|9CDMG
30	26132 53231	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RCVC|2BBNT|358VULN|4DUR|68DMG|78TLV|8BPWR|9CGEN|aRCR
31	31526 42111	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|2DUR|38aVULN|4aDMG|5RCVC|6BELT|7RCR|9BBNT|aBPWR
32	33351 52231	1	 * 	262.20	DCR|2VULN|3DUR|3TLV|3CDMG	149TLV|29aCDMG|3RPLT|5ASPD|6aVULN|7RCR|89aDUR|9aBPWR
33	26132 53221	1	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1RCVC|2BBNT|358VULN|4DUR|68DMG|78TLV|8BPWR|9ERES|aRCR
34	31516 42111	1	 * 	262.12	DCR|3VULN|2DMG|3TLV|1DUR	14aTLV|2DUR|38aVULN|5aDMG|6BELT|7RCR|9BBNT|aBPWR
35	31112 25523	1	   	262.04	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458VULN|8BPWR|9RCR|aBEXP
36	31112 25526	1	   	262.04	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458VULN|8BPWR|9RCR|aDMSP
37	31113 25524	1	   	262.04	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|48aVULN|5RCVC|8BPWR|9RCR
38	31112 25521	1	   	261.94	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458VULN|8BPWR|9RCR|aTBNT
