0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53211 23256	3	 * 	275.01	DCR|3VULN|2DMG|2DUR|2AART|2LIT	1BELT|29DUR|3aAART|46DMG|569VULN|69BPWR|79LIT|8RCR
2	26253 22513	8	 * 	273.34	DCR|4VULN|3CDMG|3ASPD|1DMG	189ASPD|2389VULN|4LIT|5FEWX|689CDMG|7RCR|89BPWR|aDMG
3	53211 23254	3	 * 	272.25	DCR|3VULN|2DMG|2DUR|3LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79aLIT|8RCR
4	26136 14112	2	 * 	269.79	DCR|5VULN|1TLV|1CDMG	1ASPD|2569aVULN|3TLV|4CDMG|7RCR|8LIT
5	26136 16212	2	   	269.79	DCR|5VULN|1TLV|1CDMG	1ASPD|2569aVULN|3TLV|4CDMG|7LIT|8RCR
6	65134 21313	3	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2LWND|3RPLT|459VULN|6RCR|79DMG|8BBNT|9BPWR|aTLV
7	26136 14113	2	   	267.70	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2569VULN|3TLV|4CDMG|7RCR|8LIT|aDUR
8	26136 16213	2	   	267.70	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2569VULN|3TLV|4CDMG|7LIT|8RCR|aDUR
9	53211 21324	3	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1BELT|29DUR|3AART|46DMG|56VULN|6BPWR|7CDMG|8TLV|aRCR
10	53411 21324	2	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1BELT|29DUR|3AART|46DMG|56VULN|6BPWR|7CDMG|8TLV|aRCR
11	53211 23251	3	   	267.24	DCR|3VULN|2DMG|2DUR|2LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79LIT|8RCR|aBEXP
12	53411 23251	2	   	267.24	DCR|3VULN|2DMG|2DUR|2LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79LIT|8RCR|aBEXP
13	53211 23252	3	   	267.14	DCR|3VULN|2DMG|2DUR|2LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79LIT|8RCR|aTBNT
14	53211 23253	3	   	267.14	DCR|3VULN|2DMG|2DUR|2LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79LIT|8RCR|aDUST
15	53411 23252	2	   	267.14	DCR|3VULN|2DMG|2DUR|2LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79LIT|8RCR|aTBNT
16	53411 23253	2	   	267.14	DCR|3VULN|2DMG|2DUR|2LIT|1AART	1BELT|29DUR|3AART|46DMG|569VULN|69BPWR|79LIT|8RCR|aDUST
17	13315 33336	10	 * 	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3LIT|4579VULN|6RCR|8DMG|aTLV
18	13315 33211	7	   	264.09	DCR|5VULN|1TLV|1DUR	1FEWX|2DUR|3LIT|45789VULN|6RCR|aTLV
19	25316 14112	2	 * 	263.65	DCR|5VULN|1DMG|1CDMG	1ASPD|2CDMG|3DMG|4569aVULN|7RCR|8LIT
20	25316 14132	2	 * 	262.90	DCR|4VULN|2DMG|1CDMG	1ASPD|2CDMG|39DMG|456aVULN|7RCR|8LIT
21	25316 14113	2	   	261.56	DCR|4VULN|1DMG|1DUR|1CDMG	1ASPD|2CDMG|3DMG|4569VULN|7RCR|8LIT|aDUR
22	53211 21344	3	 * 	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1BELT|2DUR|3AART|46DMG|56VULN|6BPWR|7CDMG|89TLV|aRCR
23	26232 64111	4	 * 	260.51	DCR|5VULN|2DUR|2ASPD	17ASPD|23579VULN|47ZMB|6RCR|7BPWR|8aDUR
24	13315 36216	6	 * 	260.33	DCR|4VULN|2DUR|1TLV	1FEWX|27DUR|3LIT|4589VULN|6RCR|aTLV
25	12416 13235	1	 * 	259.59	DCR|2VULN|3DMG|2DUR|1TLV	1FEWX|2TBNT|35DUR|458DMG|5BPWR|6RCR|79VULN|aTLV
26	13315 33223	7	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|2DUR|3LIT|4578VULN|6RCR|9CDMG|aTLV
27	13315 33346	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|29DUR|3LIT|457VULN|6RCR|8DMG|aTLV
28	21214 51141	10	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	17ASPD|24LHND|3679VULN|57DMG|7BPWR|8AART|aRCR
29	25316 14133	2	   	258.10	DCR|3VULN|2DMG|1DUR|1CDMG	1ASPD|2CDMG|39DMG|456VULN|7RCR|8LIT|aDUR
30	26136 14111	2	   	258.00	DCR|4VULN|1TLV|2LIT|1CDMG	1ASPD|2569VULN|3TLV|4CDMG|7RCR|8aLIT
31	26136 16211	2	   	258.00	DCR|4VULN|1TLV|2LIT|1CDMG	1ASPD|2569VULN|3TLV|4CDMG|7aLIT|8RCR
32	13315 33334	10	   	257.95	DCR|5VULN|1DMG|1DUR	1FEWX|2DUR|3LIT|4579aVULN|6RCR|8DMG
33	26251 12116	5	   	257.87	DCR|4VULN|1TLV|1DMG	1ASPD|239aVULN|4LIT|5ZMB|6RCR|7DMG|8TLV
34	26136 14122	2	 * 	257.77	DCR|4VULN|1TLV|2CDMG	1ASPD|256aVULN|3TLV|49CDMG|7RCR|8LIT
35	26136 16222	2	   	257.77	DCR|4VULN|1TLV|2CDMG	1ASPD|256aVULN|3TLV|49CDMG|7LIT|8RCR
36	62363 36223	9	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2CGEN|368aVULN|4DMG|5LWND|7RCR|9TLV
37	26113 33526	2	   	256.31	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1ASPD|29aVULN|3TLV|4LIT|5DUR|6CDMG|7RCR|8AART
38	26235 11326	8	   	256.24	DCR|5VULN|1TLV	1ASPD|23568VULN|45ZMB|5BPWR|7LIT|9RCR|aTLV
39	26235 32326	8	   	256.24	DCR|5VULN|1TLV	1ASPD|23578VULN|45ZMB|5BPWR|6LIT|9RCR|aTLV
40	26243 43212	5	   	255.90	DCR|5VULN|1TLV|1SELL	1ASPD|2379aVULN|4SELL|5LIT|6TLV|8RCR
41	63231 61343	8	 * 	255.85	DCR|3VULN|3DUR|2DMG	12aDUR|3LHND|4RPLT|5aDMG|67aVULN|8RCR|9RMIN|aBPWR
42	63231 61323	9	   	255.75	DCR|3VULN|3DUR|2DMG|1NUKE	12aDUR|3LHND|4RPLT|5aDMG|67aVULN|8RCR|9NUKE|aBPWR
43	63421 61323	9	   	255.75	DCR|3VULN|3DUR|2DMG|1NUKE	12aDUR|3RPLT|4LWND|5aDMG|67aVULN|8RCR|9NUKE|aBPWR
