0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22223 21652	7	 * 	252.80	DCR|4VULN|2DMG|2CDMG	1RPLT|2aDMG|35CGEN|456aVULN|5aBPWR|7MBVNT|8RCR|9aCDMG
2	22225 51331	9	 * 	252.44	DCR|2VULN|2DMG|2DUR|1TLV|1LIT	1RPLT|2aDMG|3CGEN|4aVULN|5LIT|6TLV|7RCVC|8aDUR|9RCR|aBPWR
3	22121 52344	1	 * 	252.18	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|2aDUR|37aVULN|4DUST|5LHND|6aDMG|8RCR|9AART|aBPWR
4	23121 52344	2	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|2aDUR|37aVULN|4DUST|5LHND|6aDMG|8RCR|9AART|aBPWR
5	22512 41411	3	   	251.20	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1RPLT|27DMG|378VULN|4ASPD|5DUR|67LIT|7BPWR|9MLV|aRCR
6	22553 21634	7	 * 	250.88	DCR|5VULN|2DMG	1RPLT|2aDMG|3569aVULN|45aERES|5aBPWR|7MBVNT|8RCR
7	22553 22622	7	   	248.89	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|356aVULN|45ERES|5aBPWR|7MLV|8RCR|9aASPD
8	22553 23622	6	   	248.89	DCR|4VULN|2DMG|2ASPD	1RPLT|2aDMG|356aVULN|45ERES|5aBPWR|7MLV|8RCR|9aASPD
9	22352 45233	2	   	247.31	DCR|2VULN|2DMG|1TLV|2ASPD|1AART|1LIT	1RPLT|2aDMG|3aASPD|4LIT|5TBNT|6TLV|7RCR|8AART|9aVULN|aBPWR
10	22164 13611	1	 * 	244.66	DCR|3VULN|1TLV|1DMG|1DUR|1LIT	1RPLT|2DUR|347VULN|5TLV|6BBNT|8LIT|9RCR|aDMG
11	23164 13611	2	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR|1LIT	1RPLT|2DUR|347VULN|5TLV|6BBNT|8LIT|9RCR|aDMG
12	22162 26343	1	 * 	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|25DUR|348VULN|6RCVC|7CDMG|9RCR|aTLV
13	23162 26343	2	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|25DUR|348VULN|6RCVC|7CDMG|9RCR|aTLV
14	25336 36131	3	   	244.19	DCR|3VULN|2DMG|2ASPD|1DUR	1RPLT|28ASPD|3FEWX|4BELT|58DMG|6RCR|78aVULN|8BPWR|9DUR
15	22432 35111	2	   	244.19	DCR|3VULN|2DMG|2ASPD|1DUR	1RPLT|28DMG|3LHND|4BELT|58ASPD|6RCR|78aVULN|8BPWR|9DUR
16	22223 36331	9	   	242.89	DCR|3VULN|2DMG|1DUR|2LIT	1RPLT|2aDMG|35CGEN|45aVULN|5aBPWR|6ERES|7DUR|8aLIT|9RCR
