0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63122 13631	6	 * 	298.03	DCR|3VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|29aVULN|3LEGI|4TLV|5CDMG|689DMG|7RCR|9BPWR
2	62212 53631	3	   	284.23	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	19DUR|2SELL|389DMG|4TLV|5LWND|69aVULN|7RCR|9BPWR
3	62242 53131	5	   	284.23	DCR|3VULN|3DMG|2DUR|1TLV|1SELL	19DUR|2SELL|379DMG|4BEXP|5TLV|69aVULN|8RCR|9BPWR
4	63224 33431	6	   	284.04	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	1DUR|29aVULN|3LWND|4TLV|59DMG|6CDMG|7RCR|89ASPD|9BPWR
5	63324 33431	6	   	284.04	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	1DUR|29aVULN|3TLV|4LWND|59DMG|6CDMG|7RCR|89ASPD|9BPWR
6	53253 13631	3	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1LEGI|29aVULN|3CGEN|49DUR|5CDMG|6TLV|7RCR|89DMG|9BPWR
7	63122 12133	7	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|279VULN|3LEGI|4TLV|5CDMG|69DMG|8RCR|9BPWR|aZMB
8	63122 12134	7	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|279VULN|3LEGI|4TLV|5CDMG|69DMG|8RCR|9BPWR|aLWND
9	63122 12136	7	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|279VULN|3LEGI|4TLV|5CDMG|69DMG|8RCR|9BPWR|aCGEN
10	63134 25223	6	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|267VULN|3LEGI|4RMIN|57DMG|7BPWR|8TLV|9CDMG|aRCR
11	63132 13631	5	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|29aVULN|3LEGI|4RMIN|5CDMG|6TLV|7RCR|89DMG|9BPWR
12	63132 53631	6	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|29aVULN|3LEGI|4RMIN|5CDMG|6TLV|7RCR|89DMG|9BPWR
13	63122 12132	7	   	282.27	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|279VULN|3LEGI|4TLV|5CDMG|69DMG|8RCR|9BPWR|aBBNT
14	63122 12135	7	   	282.27	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|279VULN|3LEGI|4TLV|5CDMG|69DMG|8RCR|9BPWR|aTBNT
15	63122 13634	6	   	281.64	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|29VULN|3LEGI|4TLV|5CDMG|689DMG|7RCR|9BPWR|aLIT
16	63322 13631	6	 * 	281.52	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	19DUR|2aVULN|39TLV|4LWND|5CDMG|689DMG|7RCR|9BPWR
17	63342 13131	6	   	281.52	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	19DUR|2aVULN|39TLV|4BEXP|5CDMG|679DMG|8RCR|9BPWR
18	63362 13631	6	   	281.52	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	19DUR|2aVULN|39TLV|4LHND|5CDMG|689DMG|7RCR|9BPWR
19	36282 42542	4	 * 	280.54	DCR|4VULN|3TLV|1DMG|1DUR|2LIT	17LIT|257aVULN|3MBVNT|457TLV|57BPWR|6RCR|8DUR|9DMG
20	22313 24163	3	 * 	280.49	DCR|4VULN|2DUR|1TLV|2CDMG	19CDMG|2ASPD|3589VULN|4TLV|6CGEN|79DUR|9BPWR|aRCR
21	22313 34163	3	   	280.49	DCR|4VULN|2DUR|1TLV|2CDMG	19CDMG|2ASPD|3589VULN|4TLV|6ZMB|79DUR|9BPWR|aRCR
22	63122 12131	6	 * 	279.21	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	179DUR|29VULN|3LEGI|4TLV|5CDMG|69DMG|8RCR|9BPWR|aASPD
23	63122 66131	6	   	279.21	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	169DUR|29VULN|3LEGI|4TLV|5CDMG|79DMG|8RCR|9BPWR|aASPD
24	63122 12133	6	 * 	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	179DUR|29VULN|3LEGI|4aTLV|5CDMG|69DMG|8RCR|9BPWR
25	63122 66133	6	   	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	169DUR|29VULN|3LEGI|4aTLV|5CDMG|79DMG|8RCR|9BPWR
26	36282 42382	4	   	277.94	DCR|4VULN|3TLV|1DMG|2LIT|1CDMG	17LIT|2578VULN|3MBVNT|457TLV|57BPWR|6RCR|9DMG|aCDMG
27	63224 22533	6	 * 	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19DUR|269VULN|3LWND|48TLV|59DMG|7RPLT|9BPWR|aRCR
28	63324 22533	6	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19DUR|269VULN|38TLV|4LWND|59DMG|7RPLT|9BPWR|aRCR
29	63223 13631	3	 * 	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1DUR|29aVULN|3LWND|4ERES|59CDMG|6TLV|7RCR|89DMG|9BPWR
30	63362 33631	5	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1DUR|29aVULN|3TLV|4LHND|59CDMG|6ERES|7RCR|89DMG|9BPWR
31	63423 13631	2	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1DUR|29aVULN|3LHND|4ERES|59CDMG|6TLV|7RCR|89DMG|9BPWR
32	63522 33631	5	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1DUR|29aVULN|3LHND|4TLV|59CDMG|6ERES|7RCR|89DMG|9BPWR
33	63523 13631	2	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1DUR|29aVULN|3LWND|4ERES|59CDMG|6TLV|7RCR|89DMG|9BPWR
34	63523 13631	3	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1DUR|29aVULN|3LHND|4ERES|59CDMG|6TLV|7RCR|89DMG|9BPWR
35	36282 42543	4	 * 	274.07	DCR|3VULN|3TLV|2DUR|1DMG|2LIT	17LIT|257VULN|3MBVNT|457TLV|57BPWR|6RCR|8aDUR|9DMG
36	36282 42344	4	   	273.95	DCR|4VULN|3TLV|1DMG|2LIT	17LIT|2578VULN|3MBVNT|457TLV|57BPWR|6RCR|9AART|aDMG
37	36288 42344	5	   	273.95	DCR|4VULN|3TLV|1DMG|2LIT	17LIT|2578VULN|3MBVNT|457TLV|57BPWR|6RCR|9AART|aDMG
38	63143 33531	6	 * 	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	19DUR|259aVULN|3LEGI|4LHND|6CDMG|7RCR|89TLV|9BPWR
39	53331 35223	3	   	273.83	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1CDMG	1LEGI|27VULN|34DMG|57ASPD|67DUR|7BPWR|8TLV|9CDMG|aRCR
40	53334 35223	2	   	273.83	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1CDMG	1LEGI|27VULN|35ASPD|47DMG|67DUR|7BPWR|8TLV|9CDMG|aRCR
41	63152 13431	5	   	273.83	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1CDMG	19DUR|2aVULN|3LEGI|49DMG|5CDMG|6TLV|7RCR|89ASPD|9BPWR
42	63222 13631	6	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|2aVULN|39LWND|4TLV|5CDMG|689DMG|7RCR|9BPWR
43	63522 13631	6	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|2aVULN|39LHND|4TLV|5CDMG|689DMG|7RCR|9BPWR
44	63122 13632	6	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|29VULN|3LEGI|4TLV|5CDMG|689DMG|7RCR|9BPWR|aLHND
45	63122 13633	6	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|29VULN|3LEGI|4TLV|5CDMG|689DMG|7RCR|9BPWR|aDMSP
46	63122 13635	6	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|29VULN|3LEGI|4TLV|5CDMG|689DMG|7RCR|9BPWR|aCGEN
