0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12421 11255	6	 * 	287.80	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aTLV
2	12652 23121	6	 * 	282.56	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3CGEN|4aBEXP|6RCR|7BBNT|89aVULN|9aBPWR
3	12652 25121	6	   	282.56	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3CGEN|4aBEXP|6RCR|7TBNT|89aVULN|9aBPWR
4	12421 11252	6	   	282.55	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aASPD
5	12421 51252	5	   	282.55	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aASPD
6	12362 25121	6	   	282.46	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3ERES|4aBEXP|6RCR|7TBNT|89aVULN|9aBPWR
7	12362 65121	5	   	282.46	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3ERES|4aBEXP|6RCR|7TBNT|89aVULN|9aBPWR
8	12562 12121	2	   	282.36	DCR|3VULN|3DMG|3DUR	149DUR|29aDMG|3BEXP|5TBNT|6aERES|7RCR|89aVULN|9aBPWR
9	13414 13342	7	 * 	275.97	DCR|4VULN|2DUR|2TLV|2AART	19DUR|2CGEN|34AART|569aVULN|79TLV|8RCR|9BPWR
10	12513 35363	6	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|29DMG|38aVULN|4FEWX|5CGEN|68ASPD|7RCR|8BPWR
11	32421 11255	6	   	273.22	DCR|3VULN|2DMG|1DUR|1TLV|1AART	19LHND|29DMG|3AART|4LIT|5DUR|679VULN|8RCR|9BPWR|aTLV
12	12342 36336	9	 * 	271.56	DCR|4VULN|3DUR|1DMG	157DUR|2DMG|347ERES|679aVULN|7BPWR|8RCR
13	12421 11251	6	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aRMIN
14	12421 11253	6	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aMLV
15	12421 11254	6	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aCGEN
16	12421 11256	6	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aRCVC
17	12421 51251	5	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aRMIN
18	12421 51253	5	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aMLV
19	12421 15252	7	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD|1AART	19DUR|279DMG|3AART|4LHND|5LIT|69VULN|8RCR|9BPWR|aASPD
20	12421 15252	6	   	271.30	DCR|2VULN|3DMG|2DUR|1ASPD|1AART	19DUR|279DMG|3AART|4LHND|5LIT|69VULN|8RCR|9BPWR|aASPD
21	51312 54323	8	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	18LIT|2ERES|38DUR|4789VULN|5RPLT|6RCR|8BPWR|aTLV
22	22621 23121	6	   	269.34	DCR|3VULN|3DMG|2DUR	159BEXP|29aDMG|3CGEN|4aDUR|6RCR|7BBNT|89aVULN|9aBPWR
23	22621 25121	6	   	269.34	DCR|3VULN|3DMG|2DUR	159BEXP|29aDMG|3CGEN|4aDUR|6RCR|7TBNT|89aVULN|9aBPWR
24	22621 32121	3	   	269.34	DCR|3VULN|3DMG|2DUR	169BEXP|29aDMG|3CGEN|4BBNT|5aDUR|7RCR|89aVULN|9aBPWR
25	22121 32121	2	   	269.24	DCR|3VULN|3DMG|2DUR	169BEXP|29aDMG|3ERES|4BBNT|5aDUR|7RCR|89aVULN|9aBPWR
26	22321 25121	6	   	269.24	DCR|3VULN|3DMG|2DUR	159BEXP|29aDMG|3ERES|4aDUR|6RCR|7TBNT|89aVULN|9aBPWR
27	22321 32121	3	   	269.24	DCR|3VULN|3DMG|2DUR	169BEXP|29aDMG|3ERES|4BBNT|5aDUR|7RCR|89aVULN|9aBPWR
28	22321 65121	5	   	269.24	DCR|3VULN|3DMG|2DUR	159BEXP|29aDMG|3ERES|4aDUR|6RCR|7TBNT|89aVULN|9aBPWR
29	22362 25121	6	   	269.24	DCR|3VULN|3DMG|2DUR	149BEXP|29aDMG|3ERES|5aDUR|6RCR|7TBNT|89aVULN|9aBPWR
