0	Index      	 *	Score 	Summary	Detail	
1	32153 61143	 * 	315.39	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1RAT|2LIT|3DUST|45TLV|6aRCR|7MLV|8VULN|9DMG
2	13323 56312	 * 	314.59	DCR|DCR|2VULN|2TLV|1MLV	19BEXP|29TLV|3VENFST|4MLV|59VULN|67RCR|8RCVC|9BPWR|aLIT
3	13323 56313	   	314.59	DCR|DCR|2VULN|2TLV|1MLV	19BEXP|29TLV|3VENFST|4MLV|59VULN|67RCR|8RCVC|9BPWR|aLWND
4	13323 56315	   	314.59	DCR|DCR|2VULN|2TLV|1MLV	19BEXP|29TLV|3VENFST|4MLV|59VULN|67RCR|8RCVC|9BPWR|aLHND
5	13323 56311	   	314.49	DCR|DCR|2VULN|2TLV|1MLV	19BEXP|29TLV|3VENFST|4MLV|59VULN|67RCR|8RCVC|9BPWR|aERES
6	13323 56314	   	314.49	DCR|DCR|2VULN|2TLV|1MLV	19BEXP|29TLV|3VENFST|4MLV|59VULN|67RCR|8RCVC|9BPWR|aAEWIND
7	13323 56316	   	314.49	DCR|DCR|2VULN|2TLV|1MLV	19BEXP|29TLV|3VENFST|4MLV|59VULN|67RCR|8RCVC|9BPWR|aDUST
8	13323 56151	   	300.21	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|2TLV|3VENFST|4MLV|59VULN|67RCR|8DUST|aAME
9	13323 56152	   	300.21	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|2TLV|3VENFST|4MLV|59VULN|67RCR|8DUST|aLIT
10	13323 56153	   	300.11	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|2TLV|3VENFST|4MLV|59VULN|67RCR|8DUST|aAEPOI
11	13323 56161	 * 	299.82	DCR|DCR|2MLV|1VULN|1TLV	1BEXP|2TLV|3VENFST|49MLV|5VULN|67RCR|8DUST|aAME
12	13323 56162	   	299.82	DCR|DCR|2MLV|1VULN|1TLV	1BEXP|2TLV|3VENFST|49MLV|5VULN|67RCR|8DUST|aLIT
13	13323 56163	   	299.72	DCR|DCR|2MLV|1VULN|1TLV	1BEXP|2TLV|3VENFST|49MLV|5VULN|67RCR|8DUST|aAEPOI
14	13323 56142	   	295.97	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8DUST|9CDMG|aDUR
15	13323 56331	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|9DMG|aZMB
16	13323 56336	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|9DMG|aLWND
17	13323 56231	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|9DMG|aZMB
18	13323 56236	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|9DMG|aLWND
19	13323 56332	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|9DMG|aDUST
20	13323 56333	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|9DMG|aERES
21	13323 56335	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|9DMG|aAEPOI
22	13323 56232	   	293.97	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|9DMG|aDUST
23	13323 56233	   	293.97	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|9DMG|aERES
24	13323 56235	   	293.97	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|9DMG|aAEPOI
25	13323 56124	   	290.26	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8DUST|9AME|aASPD
26	13323 56114	   	290.16	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8DUST|9ERES|aASPD
27	13323 56362	   	288.28	DCR|DCR|2TLV|1VULN|1MLV	1BEXP|29TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|aLIT
28	13323 56363	   	288.28	DCR|DCR|2TLV|1VULN|1MLV	1BEXP|29TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|aLWND
29	13323 56262	   	288.18	DCR|DCR|2TLV|1VULN|1MLV	1BEXP|29TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|aLIT
30	13323 56263	   	288.18	DCR|DCR|2TLV|1VULN|1MLV	1BEXP|29TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|aLWND
31	13323 56361	   	288.18	DCR|DCR|2TLV|1VULN|1MLV	1BEXP|29TLV|3VENFST|4MLV|5VULN|67RCR|8RCVC|aERES
32	13323 56261	   	288.08	DCR|DCR|2TLV|1VULN|1MLV	1BEXP|29TLV|3VENFST|4MLV|5VULN|67RCR|8AEFRZ|aERES
33	13323 56141	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8DUST|9CDMG|aTBNT
34	13323 56143	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1BEXP|2TLV|3VENFST|4MLV|5VULN|67RCR|8DUST|9CDMG|aFEWX
