0	Index      	 *	Score 	Summary	Detail	
1	23332 76344	 * 	310.30	DCR|3VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48aVULN|5AAC|68ASPD|7RCR|8BPWR|9TLV
2	23374 14353	 * 	301.58	DCR|DCR|1VULN|2AAC|1MLV|1DMG	1MLV|2MBVNT|3FEWX|45AAC|69RCR|7RAT|8DMG|aVULN
3	23474 14853	   	301.58	DCR|DCR|1VULN|2AAC|1MLV|1DMG	1MLV|2MBVNT|3LWND|45AAC|69RCR|7RAT|8DMG|aVULN
4	23332 76312	   	298.27	DCR|3VULN|2MLV|2ASPD|1DMG|1AAC	18MLV|2MBVNT|3FEWX|489VULN|5AAC|68ASPD|7RCR|8BPWR|aDMG
5	23274 14455	   	297.77	DCR|DCR|1VULN|2AAC|1MLV|1ASPD	1MLV|2MBVNT|3LHND|45AAC|69RCR|7RAT|8ASPD|aVULN
6	23374 14453	   	297.77	DCR|DCR|1VULN|2AAC|1MLV|1ASPD	1MLV|2MBVNT|3FEWX|45AAC|69RCR|7RAT|8ASPD|aVULN
7	33337 15338	 * 	297.17	DCR|3VULN|3MLV|3ASPD	179ASPD|2MBVNT|3FEWX|479VULN|579MLV|6BBNT|79BPWR|8RMIN|aRCR
8	23332 76341	   	293.77	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48VULN|5AAC|68ASPD|7RCR|8BPWR|9TLV|aRAT
9	21431 53612	 * 	292.62	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|2aVULN|3CGEN|4CDMG|5ERES|6DUR|79RCR|8LIT
10	21361 56344	   	286.84	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2aVULN|38FEWX|4AAC|58ASPD|6MBVNT|7RCR|8BPWR|9TLV
11	23332 76343	   	286.84	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48VULN|5AAC|68ASPD|7RCR|8BPWR|9TLV|aLHND
12	23332 76346	   	286.84	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3aFEWX|48VULN|5AAC|68ASPD|7RCR|8BPWR|9TLV
13	23332 76348	   	286.84	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48VULN|5AAC|68ASPD|7RCR|8BPWR|9TLV|aRMIN
14	23332 76342	   	286.74	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48VULN|5AAC|68ASPD|7RCR|8BPWR|9TLV|aBEXP
15	23332 76345	   	286.74	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48VULN|5AAC|68ASPD|7RCR|8BPWR|9TLV|aMDPS
16	23332 76311	   	286.51	DCR|3VULN|2MLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|489VULN|5AAC|68ASPD|7RCR|8BPWR|aAART
17	23332 76317	   	286.51	DCR|3VULN|2MLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|489VULN|5AAC|68ASPD|7RCR|8BPWR|aDUR
18	23332 76364	   	286.51	DCR|3VULN|2MLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|48aVULN|5AAC|68ASPD|7RCR|8BPWR|9DUR
19	21226 63335	 * 	285.86	DCR|3VULN|3TLV|2MLV	18MLV|28aVULN|3LHND|4FEWX|589TLV|6RCR|7RMIN|8BPWR
20	21226 63311	   	285.15	DCR|3VULN|2MLV|2TLV	18MLV|289VULN|3LHND|4FEWX|58TLV|6RCR|7RMIN|8BPWR|aDUR
21	23332 76316	   	285.14	DCR|3VULN|2MLV|2ASPD|1AAC	18MLV|2MBVNT|3FEWX|489VULN|5AAC|68ASPD|7RCR|8BPWR|aRAT
22	21333 13421	 * 	284.90	DCR|3VULN|3MLV|1TLV	179MLV|245VULN|35FEWX|5BPWR|6ERES|8TLV|aRCR
23	21336 13421	   	284.80	DCR|3VULN|3MLV|1TLV	179MLV|245VULN|3FEWX|6ERES|8TLV|aRCR
24	23813 88441	 * 	284.53	DCR|3MLV|2VULN|3TLV	18aMLV|2MBVNT|3BLAICY|48VULN|5MDPS|689TLV|7RCR|8BPWR
25	21513 13421	   	281.40	DCR|3MLV|2VULN|1TLV|1DMG	179MLV|25VULN|3RMIN|4DMG|6ERES|8TLV|aRCR
26	21231 46622	   	281.24	DCR|3MLV|2TLV|1VULN|1AAC	168MLV|2VULN|38LHND|4AART|5AAC|78TLV|8BPWR|9DUR|aRCR
27	21236 42622	   	281.24	DCR|3MLV|2TLV|1VULN|1AAC	168MLV|2VULN|38LHND|4AART|58TLV|7AAC|8BPWR|9DUR|aRCR
