0	Index      	 *	Score 	Summary	Detail	
1	23334 64221	 * 	293.04	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	13LHND|24VULN|5ASPD|6AAC|7DMG|8aRCR|9TBNT
2	23124 53431	 * 	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2VULN|3TBNT|4ASPD|5aERES|68RCR|7MLV|9TLV
3	23124 53432	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2VULN|3TBNT|4ASPD|5ERES|68RCR|7MLV|9TLV|aMDPS
4	23124 53433	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD|1SELL	1LHND|2VULN|3TBNT|4ASPD|5ERES|68RCR|7MLV|9TLV|aSELL
5	11623 13441	 * 	288.67	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TBNT|2aVULN|3TLV|48RCR|5AAC|6LWND|7MLV|9DUR
6	12523 13441	   	288.67	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TBNT|2TLV|3aVULN|48RCR|5AAC|6LWND|7MLV|9DUR
7	23124 53411	 * 	284.47	DCR|DCR|2VULN|1MLV|1ASPD	1LHND|2aVULN|3TBNT|4ASPD|5ERES|68RCR|7MLV|9BEXP
8	11623 13436	 * 	283.44	ACR|DCR|2TLV|1VULN|2AAC|1MLV	1TBNT|2VULN|39TLV|48RCR|5aAAC|6LWND|7MLV
9	12523 13436	   	283.44	ACR|DCR|2TLV|1VULN|2AAC|1MLV	1TBNT|29TLV|3VULN|48RCR|5aAAC|6LWND|7MLV
10	11623 13411	   	280.27	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TBNT|2aVULN|3TLV|48RCR|5AAC|6LWND|7MLV|9BEXP
11	12523 13411	   	280.27	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TBNT|2TLV|3aVULN|48RCR|5AAC|6LWND|7MLV|9BEXP
12	33323 13434	   	280.27	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1ERES|2aVULN|3TBNT|48RCR|5AAC|6LWND|7MLV|9TLV
13	11511 55332	 * 	279.45	DCR|4VULN|2MLV|1TLV|1SELL	1TBNT|269aVULN|3SELL|46MLV|5DMSP|6BPWR|7RCR|8TLV
14	23124 53422	 * 	278.33	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1LHND|2VULN|3TBNT|4ASPD|5ERES|68RCR|7MLV|9MDPS|aDMG
15	11623 13433	   	278.00	ACR|DCR|2TLV|1VULN|1MLV|1AAC|1NUKE	1TBNT|2VULN|39TLV|48RCR|5AAC|6LWND|7MLV|aNUKE
16	12523 13433	   	278.00	ACR|DCR|2TLV|1VULN|1MLV|1AAC|1NUKE	1TBNT|29TLV|3VULN|48RCR|5AAC|6LWND|7MLV|aNUKE
17	53143 22123	   	277.43	DCR|DCR|1VULN|1MLV|1DMG	1FEWX|2LIT|3DMG|4RAT|5AART|68RCR|7DUST|9MLV|aVULN
18	53143 22126	 * 	277.43	DCR|DCR|1TLV|1MLV|1DMG	1FEWX|2LIT|3DMG|4RAT|5AART|68RCR|7DUST|9MLV|aTLV
19	23334 14221	   	276.15	DCR|DCR|2VULN|1DMG|1ASPD	13LHND|24VULN|5ASPD|6ZMB|7DMG|8aRCR|9TBNT
20	11511 55331	 * 	274.45	DCR|3VULN|2MLV|2TLV|1SELL	1TBNT|269VULN|3SELL|46MLV|5DMSP|6BPWR|7RCR|8aTLV
21	55211 22123	   	274.25	DCR|DCR|1VULN|1MLV|1AAC	1FEWX|2RAT|3AART|4AAC|5LIT|68RCR|7DUST|9MLV|aVULN
22	55211 22126	   	274.25	DCR|DCR|1TLV|1MLV|1AAC	1FEWX|2RAT|3AART|4AAC|5LIT|68RCR|7DUST|9MLV|aTLV
23	11623 13422	 * 	274.13	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC	1TBNT|2VULN|3TLV|48RCR|5AAC|6LWND|7MLV|9MDPS|aDMG
24	12523 13422	   	274.13	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC	1TBNT|2TLV|3VULN|48RCR|5AAC|6LWND|7MLV|9MDPS|aDMG
25	12222 52255	 * 	272.17	ACR|DCR|3VULN|1TLV	1TBNT|2TLV|3BEXP|49RCR|568VULN|7RAT|aAART
26	11623 13443	   	272.13	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1NUKE	1TBNT|2VULN|3TLV|48RCR|5AAC|6LWND|7MLV|9DUR|aNUKE
27	12523 13443	   	272.13	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1NUKE	1TBNT|2TLV|3VULN|48RCR|5AAC|6LWND|7MLV|9DUR|aNUKE
28	23334 63232	 * 	271.43	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD	13LHND|24VULN|5ASPD|6AAC|7aMLV|8RCR|9TLV
29	53143 22125	 * 	271.14	DCR|DCR|2MLV|1DMG	1FEWX|2LIT|3DMG|4RAT|5AART|68RCR|7DUST|9aMLV
30	12222 36141	 * 	270.42	ACR|3VULN|3MLV|3TLV	1TBNT|29aTLV|3BEXP|4RCR|59aVULN|6RMIN|7BBNT|89aMLV|9aBPWR
31	23124 53511	   	269.49	DCR|2VULN|2MLV|1TLV|1ASPD|2DUR	1LHND|2aVULN|3TBNT|4ASPD|5ERES|6RCR|7aMLV|8TLV|9aDUR|aBPWR
32	12534 53231	 * 	269.12	DCR|2VULN|2MLV|1TLV|2ASPD	1TBNT|2TLV|3aVULN|4LWND|5ERES|6RCR|7aMLV|8DUST|9aASPD|aBPWR
33	11623 13434	   	268.34	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|2VULN|39TLV|48RCR|5AAC|6LWND|7MLV|aBBNT
34	12523 13434	   	268.34	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|29TLV|3VULN|48RCR|5AAC|6LWND|7MLV|aBBNT
35	11623 13425	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|2VULN|3aTLV|48RCR|5AAC|6LWND|7MLV|9MDPS
