0	Index      	 *	Score 	Summary	Detail	
1	62331 15152	 * 	297.04	DCR|DCR|2VULN|2AAC|1CDMG	1aVULN|24AAC|3TBNT|5RAT|6AEFRZ|79RCR|8CDMG
2	21632 31356	 * 	295.96	DCR|DCR|2VULN|1MLV|1AAC	1RMIN|2BBNT|3AAC|48VULN|5LWND|69RCR|7DUR|aMLV
3	62322 31356	   	295.96	DCR|DCR|2VULN|1MLV|1AAC	18VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|aMLV
4	63332 31356	   	295.86	DCR|DCR|2VULN|1MLV|1AAC	18VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|7DUR|aMLV
5	32331 66152	   	283.99	DCR|DCR|1VULN|2AAC|2RAT|1CDMG	1DUR|24AAC|3TBNT|57RAT|69RCR|8CDMG|aVULN
6	21632 31355	   	283.41	DCR|DCR|2VULN|1AAC|1CDMG	1RMIN|2BBNT|3AAC|48VULN|5LWND|69RCR|7DUR|aCDMG
7	62322 31355	   	283.41	DCR|DCR|2VULN|1AAC|1CDMG	18VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|aCDMG
8	63332 31355	   	283.31	DCR|DCR|2VULN|1AAC|1CDMG	18VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|7DUR|aCDMG
9	12143 43225	 * 	279.87	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG|2RAT	1CGEN|29DMG|3CDMG|4TLV|59VULN|6RCR|7LIT|89RAT|9BPWR|aMLV
10	32331 61152	   	277.37	DCR|DCR|1VULN|2AAC|1CDMG	1DUR|24AAC|3TBNT|5RAT|69RCR|7RCVC|8CDMG|aVULN
11	32331 15152	   	277.27	DCR|DCR|1VULN|2AAC|1CDMG	1DUR|24AAC|3TBNT|5RAT|6AEFBLL|79RCR|8CDMG|aVULN
12	32331 65152	   	277.27	DCR|DCR|1VULN|2AAC|1CDMG	1DUR|24AAC|3TBNT|5RAT|69RCR|7AEWIND|8CDMG|aVULN
13	61332 23246	 * 	269.78	DCR|3VULN|3TLV|3CDMG	178VULN|2MULHEA|378TLV|4DUST|5LHND|678CDMG|78BPWR|9AART|aRCR
14	21632 31351	   	269.76	DCR|DCR|2VULN|1AAC	1RMIN|2BBNT|3AAC|48VULN|5LWND|69RCR|7DUR|aRPLT
15	21632 33451	   	269.76	DCR|DCR|2VULN|1AAC	1RMIN|2BBNT|3AAC|47VULN|5LWND|69RCR|8DUR|aRPLT
16	62322 31351	   	269.76	DCR|DCR|2VULN|1AAC	18VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|aRPLT
17	62322 33451	   	269.76	DCR|DCR|2VULN|1AAC	17VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|8DUR|aRPLT
18	21632 31352	   	269.66	DCR|DCR|2VULN|1AAC	1RMIN|2BBNT|3AAC|48VULN|5LWND|69RCR|7DUR|aBEXP
19	21632 31353	   	269.66	DCR|DCR|2VULN|1AAC	1RMIN|2BBNT|3AAC|48VULN|5LWND|69RCR|7DUR|aERES
20	21632 31354	   	269.66	DCR|DCR|2VULN|1AAC|1SELL	1RMIN|2BBNT|3AAC|48VULN|5LWND|69RCR|7DUR|aSELL
21	21632 33452	   	269.66	DCR|DCR|2VULN|1AAC	1RMIN|2BBNT|3AAC|47VULN|5LWND|69RCR|8DUR|aBEXP
22	21632 33453	   	269.66	DCR|DCR|2VULN|1AAC	1RMIN|2BBNT|3AAC|47VULN|5LWND|69RCR|8DUR|aERES
23	62322 31352	   	269.66	DCR|DCR|2VULN|1AAC	18VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|aBEXP
24	62322 31353	   	269.66	DCR|DCR|2VULN|1AAC	18VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|aERES
25	62322 31354	   	269.66	DCR|DCR|2VULN|1AAC|1SELL	18VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|aSELL
26	62322 33452	   	269.66	DCR|DCR|2VULN|1AAC	17VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|8DUR|aBEXP
27	62322 33453	   	269.66	DCR|DCR|2VULN|1AAC	17VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|8DUR|aERES
28	63332 31351	   	269.66	DCR|DCR|2VULN|1AAC	18VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|7DUR|aRPLT
29	63332 33451	   	269.66	DCR|DCR|2VULN|1AAC	17VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|8DUR|aRPLT
30	63332 31352	   	269.56	DCR|DCR|2VULN|1AAC	18VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|7DUR|aBEXP
31	63332 31353	   	269.56	DCR|DCR|2VULN|1AAC	18VULN|2aERES|3TBNT|4AAC|5LWND|69RCR|7DUR
32	63332 31354	   	269.56	DCR|DCR|2VULN|1AAC|1SELL	18VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|7DUR|aSELL
33	63332 33452	   	269.56	DCR|DCR|2VULN|1AAC	17VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|8DUR|aBEXP
34	63332 33453	   	269.56	DCR|DCR|2VULN|1AAC	17VULN|2aERES|3TBNT|4AAC|5LWND|69RCR|8DUR
35	62331 15151	   	268.97	DCR|DCR|1VULN|2AAC|1CDMG	1VULN|24AAC|3TBNT|5RAT|6AEFRZ|79RCR|8CDMG|aLWND
36	62331 15153	   	268.87	DCR|DCR|1VULN|2AAC|1CDMG	1VULN|24AAC|3TBNT|5RAT|6AEFRZ|79RCR|8CDMG|aERES
37	32331 61155	 * 	268.63	DCR|DCR|2AAC|1MLV|1CDMG	1DUR|24AAC|3TBNT|5RAT|69RCR|7RCVC|8CDMG|aMLV
38	32331 15155	   	268.53	DCR|DCR|2AAC|1MLV|1CDMG	1DUR|24AAC|3TBNT|5RAT|6AEFBLL|79RCR|8CDMG|aMLV
39	12314 43326	 * 	268.10	DCR|DCR|1TLV|1MLV|1DMG	1CGEN|2DMG|3LIT|4MLV|5AART|6AETHUN|7FEWX|8aRCR|9TLV
40	21632 31156	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1RMIN|2BBNT|3AAC|4VULN|5LWND|69RCR|7DUR|8AEPOI|aMLV
41	21632 31256	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1RMIN|2BBNT|3AAC|4VULN|5LWND|69RCR|7DUR|8AEWIND|aMLV
42	62322 31156	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1VULN|2AAC|3TBNT|4CGEN|5LWND|69RCR|7DUR|8AEBURN|aMLV
43	63332 31156	   	267.69	DCR|DCR|1VULN|1MLV|1AAC	1VULN|2ERES|3TBNT|4AAC|5LWND|69RCR|7DUR|8AEBURN|aMLV
44	62321 26121	 * 	267.43	DCR|3VULN|2MLV|1DMG|1AAC	156VULN|2AAC|3TBNT|45CGEN|5BPWR|7aMLV|8DMG|9RCR
45	63331 26121	   	267.23	DCR|3VULN|2MLV|1DMG|1AAC	156VULN|25ERES|3TBNT|4AAC|5BPWR|7aMLV|8DMG|9RCR
