0	Index      	 *	Score 	Summary	Detail	
1	31225 53214	 * 	313.37	ACR|DCR|3VULN|2MLV|1TLV	1AME|26RCR|39aVULN|45MLV|7LSRREG|8TLV
2	31225 53252	   	306.80	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AME|26RCR|3aVULN|45MLV|7LSRREG|8TLV|9AAC
3	31225 53134	 * 	304.28	ACR|DCR|2VULN|2MLV|2TLV	1aAME|26RCR|3aVULN|45MLV|7LSRREG|8RPLT|9aTLV|aBPWR
4	41122 74183	 * 	303.14	DCR|DCR|3MLV|1TLV|1AAC	1BEXP|2MBVNT|3TLV|4AAC|567MLV|8TBNT|9aRCR
5	31225 55133	 * 	300.61	ACR|DCR|3MLV|1VULN|1TLV|1ASPD	1AME|26RCR|3VULN|457MLV|8LHND|9ASPD|aTLV
6	31225 55333	   	300.61	ACR|DCR|3MLV|1VULN|1TLV|1ASPD	1AME|26RCR|3VULN|457MLV|8FEWX|9ASPD|aTLV
7	31225 51152	   	300.13	ACR|DCR|2MLV|1VULN|1TLV|1ASPD|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9ASPD|aTLV
8	41184 17343	 * 	299.28	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	1BEXP|2MBVNT|3TLV|4DMG|58ASPD|6FEWX|79RCR|aVULN
9	31225 51423	   	298.31	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7DUR|8CGEN|aTLV
10	31225 51623	   	298.31	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7DUR|8RMIN|aTLV
11	31225 51114	   	298.06	ACR|DCR|2MLV|2TLV|1VULN|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9aTLV
12	31225 53215	   	296.84	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7LSRREG|8TLV|aRAT
13	41128 12743	 * 	296.62	DCR|DCR|1VULN|2AAC|1TLV|1ASPD	1BEXP|2MBVNT|3TLV|45AAC|69RCR|7ASPD|8FEWX|aVULN
14	41124 17343	   	296.10	DCR|DCR|1VULN|1TLV|2ASPD|1AAC	1BEXP|2MBVNT|3TLV|4AAC|58ASPD|6FEWX|79RCR|aVULN
15	41124 17643	 * 	295.69	DCR|DCR|2TLV|1VULN|1AAC|1ASPD	1BEXP|2MBVNT|38TLV|4AAC|5ASPD|6FEWX|79RCR|aVULN
16	16361 32213	 * 	293.88	DCR|3MLV|2VULN|2ASPD|1AAC	1BBNT|23aMLV|4AAC|5DUR|6RCR|7AART|8aASPD|9aVULN|aBPWR
17	13135 46133	 * 	291.90	DCR|DCR|2VULN|1TLV	1BBNT|2RMIN|3DUR|4aVULN|5LWND|67RCR|8RAT|9TLV
18	41122 18513	 * 	291.47	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1BEXP|2MBVNT|3TLV|4AAC|5MLV|6FEWX|7aRCR|8TBNT|9VULN
19	31225 51113	   	290.82	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9TLV|aRAT
20	31225 53212	   	289.90	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7LSRREG|8TLV|aBBNT
21	31225 53213	   	289.90	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7LSRREG|8TLV|aCGEN
22	31225 53262	   	289.90	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|3aVULN|45MLV|7LSRREG|8TLV|9CGEN
