0	Index      	 *	Score 	Summary	Detail	
1	22362 35243	 * 	271.82	DCR|2VULN|1TLV|2ASPD|1MLV|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|5MLV|67ASPD|7BPWR|8aVULN|9RCR
2	65311 23362	 * 	267.14	DCR|DCR|2TLV|2ASPD	1RPLT|27AME|37TLV|47ASPD|5BBNT|69RCR|7BPWR|8LHND|aDUR
3	12231 26222	 * 	265.58	DCR|DCR|1VULN|1TLV|1DMG	1BASARM|2TLV|3AEPOI|48RCVC|5BELT|69RCR|7DMG|aVULN
4	22624 43112	 * 	265.01	DCR|2MLV|2TLV|1VULN|1AAC|1CDMG	1DUR|2aTLV|3CDMG|4DUST|5AAC|6RCR|79MLV|8VULN
5	23634 43112	   	265.01	DCR|2MLV|2TLV|1VULN|1AAC|1CDMG	1DUR|2CDMG|3BEXP|4aTLV|5AAC|6RCR|79MLV|8VULN
6	12161 21651	   	264.03	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1BASARM|2TLV|3LIT|4CDMG|5BELT|69RCR|7AAC|8DMG|aERES
7	12161 21652	   	264.03	DCR|DCR|1TLV|1DMG|1AAC|1CDMG|1MSE	1BASARM|2TLV|3LIT|4CDMG|5BELT|69RCR|7AAC|8DMG|aMSE
8	12161 21653	   	264.03	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1BASARM|2TLV|3LIT|4CDMG|5BELT|69RCR|7AAC|8DMG|aAEFRZ
9	22542 43112	 * 	263.75	DCR|3MLV|1VULN|1TLV|1DMG|1SELL	1DUR|2TLV|3FEWX|4DMG|5SELL|6RCR|79aMLV|8VULN
10	23324 33344	 * 	262.23	ACR|DCR|2VULN|2ASPD|2DUR|1CDMG|1NUKE	17DUR|2CDMG|3aRCR|4BBNT|57VULN|67ASPD|7BPWR|8NUKE|9FEWX
11	12231 22222	   	261.77	DCR|DCR|1VULN|1TLV|1ASPD	1BASARM|2TLV|3AEPOI|48RCVC|5BELT|69RCR|7ASPD|aVULN
12	15225 61313	   	261.67	DCR|DCR|1VULN|1TLV|1ASPD	1BASARM|29AEWIND|3VULN|4TBNT|5AME|6ASPD|7aRCR|8TLV
13	22532 43112	 * 	260.58	DCR|3MLV|1VULN|1TLV|1AAC|1SELL	1DUR|2TLV|3FEWX|4AAC|5SELL|6RCR|79aMLV|8VULN
14	25632 43112	 * 	260.58	DCR|3MLV|1VULN|1TLV|1AAC|1SELL	1DUR|2LWND|3TLV|4AAC|5SELL|6RCR|79aMLV|8VULN
15	12222 33312	 * 	259.40	DCR|2VULN|2MLV|2TLV	1BASARM|29TLV|3AEPOI|4TBNT|5RAT|69MLV|7CGEN|89VULN|9BPWR|aRCR
16	65311 23363	   	258.84	DCR|DCR|2TLV|2ASPD	1RPLT|27AME|37TLV|47ASPD|5BBNT|69RCR|7BPWR|8LHND|aFEWX
17	65311 23361	   	258.74	DCR|DCR|2TLV|2ASPD	1RPLT|27AME|37TLV|47ASPD|5BBNT|69RCR|7BPWR|8LHND|aAEBURN
18	12131 51512	 * 	257.64	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1BASARM|2TLV|3LIT|4DMG|5DUR|69VULN|7AAC|8RCR|aMLV
