0	Index      	 *	Score 	Summary	Detail	
1	22621 23436	 * 	300.03	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1RAT|2AAC|3ERES|4AEWIND|5DMG|6VULN|7MLV|8aRCR|9CDMG
2	13321 11465	 * 	291.01	DCR|DCR|2VULN|1MLV|1CDMG|1SELL	1MLV|2MDPS|3CDMG|49VULN|5RAT|6SELL|7FEWX|8aRCR
3	13321 13465	 * 	290.91	DCR|DCR|2VULN|1MLV|1CDMG|1SELL	1MLV|2MDPS|3CDMG|49VULN|5RAT|6SELL|7DUST|8aRCR
4	16123 52231	 * 	287.12	DCR|3MLV|2DMG|1VULN|1AAC|1ASPD|2DUR	158MLV|2ASPD|38DUR|4TBNT|6AAC|78DMG|8BPWR|9VULN|aRCR
5	12225 22436	   	279.97	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1MLV|2ZMB|3RAT|4AEWIND|5ERES|6VULN|7AAC|8aRCR|9CDMG
6	26266 13223	 * 	279.87	DCR|DCR|2VULN|1DMG	1RAT|2AART|3BBNT|46VULN|5CGEN|7BELT|8DMG|9aRCR
7	21243 25325	 * 	279.77	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2BEXP|34DUST|5DUR|6VULN|7TLV|8aRCR|9ASPD
8	51122 22232	   	279.67	DCR|DCR|2VULN|1DMG	1BEXP|26VULN|3DMG|4TBNT|5RAT|7aRCR|8AART|9CANSTR
9	61122 22232	   	279.67	DCR|DCR|2VULN|1DMG	1DUST|26VULN|3DMG|4TBNT|5RAT|7aRCR|8AART|9CANSTR
10	16312 52122	 * 	279.11	DCR|2MLV|2TLV|2DMG|1VULN|1ASPD	18MLV|2ASPD|38TLV|4MDPS|5VULN|6LHND|78DMG|8BPWR|9RPLT|aRCR
11	16312 62122	   	279.11	DCR|2MLV|2TLV|2DMG|1VULN|1ASPD	18MLV|2ASPD|38TLV|4MDPS|5VULN|6LWND|78DMG|8BPWR|9RPLT|aRCR
12	16312 42122	   	279.01	DCR|2MLV|2TLV|2DMG|1VULN|1ASPD	18MLV|2ASPD|38TLV|4MDPS|5VULN|6BEXP|78DMG|8BPWR|9RPLT|aRCR
13	15312 13423	 * 	278.48	DCR|2VULN|2MLV|2TLV|1AAC	17MLV|2CGEN|37TLV|4MDPS|57VULN|6BBNT|7BPWR|8AART|9AAC|aRCR
14	15312 52122	 * 	278.47	DCR|3MLV|2TLV|1VULN|2ASPD	18aMLV|2CGEN|38TLV|4MDPS|5VULN|6LHND|78ASPD|8BPWR|9RCR
15	15312 62122	   	278.47	DCR|3MLV|2TLV|1VULN|2ASPD	18aMLV|2CGEN|38TLV|4MDPS|5VULN|6LWND|78ASPD|8BPWR|9RCR
16	15312 42122	   	278.37	DCR|3MLV|2TLV|1VULN|2ASPD	18aMLV|2CGEN|38TLV|4MDPS|5VULN|6BEXP|78ASPD|8BPWR|9RCR
17	21211 51325	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|2RAT	16RAT|2BEXP|3DUST|4FEWX|5TLV|7VULN|8aRCR|9ASPD
18	23411 51325	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|2RAT	16RAT|2DUST|3LHND|4BEXP|5TLV|7VULN|8aRCR|9ASPD
19	25211 51325	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|2RAT	16RAT|2LHND|3DUST|4BEXP|5TLV|7VULN|8aRCR|9ASPD
20	13321 16425	 * 	277.55	DCR|DCR|1VULN|1MLV|2CDMG|1SELL	1MLV|2MDPS|39CDMG|4VULN|5RAT|6SELL|7DUR|8aRCR
21	13212 11465	 * 	277.50	DCR|DCR|2VULN|1MLV	1MLV|2MDPS|3NUKE|49VULN|5RAT|6DMSP|7FEWX|8aRCR
22	13212 13465	   	277.40	DCR|DCR|2VULN|1MLV	1MLV|2MDPS|3NUKE|49VULN|5RAT|6DMSP|7BEXP|8aRCR
23	11243 26252	   	277.21	DCR|2VULN|2MLV|2TLV|1AAC	19MLV|24RMIN|3RAT|59TLV|69VULN|7RCR|8RCVC|9BPWR|aAAC
24	11363 35214	 * 	276.66	DCR|2VULN|2MLV|2DMG|1TLV	1aMLV|2RMIN|3TLV|4aBEXP|5AME|68DMG|7RCR|9aVULN|aBPWR
25	22113 23465	   	276.60	DCR|DCR|2VULN|1AAC	1RAT|2AAC|39VULN|4DUR|5DUST|6LHND|7CGEN|8aRCR
26	22113 33465	   	276.60	DCR|DCR|2VULN|1AAC	1RAT|2AAC|39VULN|4DUR|5DUST|6CGEN|7FEWX|8aRCR
27	22113 31465	   	276.50	DCR|DCR|2VULN|1AAC	1RAT|2AAC|39VULN|4DUR|5DUST|6CGEN|7BEXP|8aRCR
28	22211 25232	   	276.50	DCR|DCR|2VULN|1AAC	1RAT|2AAC|3BEXP|4AART|57VULN|6aRCR|8BBNT|9CANSTR
29	26531 25232	   	276.50	DCR|DCR|2VULN|1AAC	1RAT|2AART|3BEXP|4AAC|57VULN|6aRCR|8BBNT|9CANSTR
30	16145 13332	 * 	276.27	DCR|3VULN|2MLV|2ASPD|2DUR	17MLV|27ASPD|34DUR|5LIT|679VULN|7BPWR|8LWND|aRCR
31	11223 26256	 * 	276.12	DCR|3VULN|2MLV|1TLV|2RAT	19MLV|2RMIN|39RAT|4AEWIND|5TLV|69aVULN|7RCR|8RCVC|9BPWR
32	12223 26256	   	276.12	DCR|3VULN|2MLV|1TLV|2RAT	19MLV|2ZMB|39RAT|4AEWIND|5TLV|69aVULN|7RCR|8RCVC|9BPWR
33	24113 62325	   	275.96	DCR|DCR|2VULN|1ASPD	1RAT|2AME|37VULN|4DUR|5DUST|6FEWX|8aRCR|9ASPD
34	24133 42325	   	275.96	DCR|DCR|2VULN|1ASPD	1RAT|2AME|37VULN|4FEWX|5DUST|6DUR|8aRCR|9ASPD
35	24113 52325	   	275.86	DCR|DCR|2VULN|1ASPD	1RAT|2AME|37VULN|4DUR|5DUST|6BEXP|8aRCR|9ASPD
36	13133 65531	   	275.21	DCR|2VULN|2MLV|2DMG|1AAC|1CDMG	18MLV|2MDPS|3BBNT|4AAC|5CDMG|68VULN|78DMG|8BPWR|9LHND|aRCR
37	26342 22123	 * 	275.14	DCR|DCR|1TLV|1MLV|1DMG	1RAT|2AART|3CGEN|4MLV|5TLV|6BELT|7DMG|8BBNT|9aRCR
38	26643 22123	   	275.14	DCR|DCR|1TLV|1MLV|1DMG	1RAT|2AART|3TLV|4MLV|5CGEN|6BELT|7DMG|8BBNT|9aRCR
