0	Index      	 *	Score 	Summary	Detail	
1	15221 31452	 * 	277.49	ACR|3VULN|2MLV|2DMG|1TLV|1ASPD	1TLV|2aDMG|3RCR|4LWND|5AME|67aVULN|8ASPD|9aMLV|aBPWR
2	14211 61246	 * 	276.31	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	1TLV|29ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|aMLV
3	15231 42236	 * 	276.26	ACR|DCR|3DMG|2TLV|1VULN	1aTLV|24aDMG|38RCR|5DMSP|6AEFBLL|7VULN|9aLHND|aBPWR
4	15231 42232	 * 	274.82	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7VULN|9LHND|aMLV
5	12541 13631	 * 	274.76	DCR|2VULN|2TLV|2DMG|1AAC|1CDMG	19TLV|2RPLT|3DUR|4AAC|59DMG|6CDMG|7FEWX|89VULN|9BPWR|aRCR
6	15235 42232	   	274.72	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1TLV|24DMG|38RCR|5AEWIND|6AEFBLL|7VULN|9LHND|aMLV
7	15231 42252	   	274.72	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7VULN|9BEXP|aMLV
8	15231 42233	 * 	272.44	ACR|DCR|2VULN|2DMG|1TLV	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7aVULN|9LHND
9	15235 42233	   	272.34	ACR|DCR|2VULN|2DMG|1TLV	1TLV|24DMG|38RCR|5AEWIND|6AEFBLL|7aVULN|9LHND
10	15231 42253	   	272.34	ACR|DCR|2VULN|2DMG|1TLV	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7aVULN|9BEXP
11	14213 11552	 * 	271.65	ACR|2VULN|2MLV|2TLV|2ASPD|1AAC	1aTLV|2aASPD|3RCR|4DUR|57VULN|6RMIN|8AAC|9aMLV|aBPWR
12	15223 12452	 * 	271.00	ACR|2VULN|2MLV|3DMG|1TLV|1ASPD	1TLV|25aDMG|3RCR|4LWND|6AME|7aVULN|8ASPD|9aMLV|aBPWR
13	14221 61246	   	268.00	ACR|DCR|1VULN|1TLV|2ASPD|1MLV	1TLV|29ASPD|38RCR|4LWND|5AME|6MBVNT|7VULN|aMLV
14	14234 25212	 * 	267.70	ACR|2VULN|3TLV|3DMG|3ASPD	17aTLV|25aASPD|3RCR|457DMG|57aBPWR|67ERES|8LHND|9aVULN
15	14234 25112	   	267.60	ACR|2VULN|3TLV|3DMG|3ASPD	17aTLV|25aASPD|3RCR|457DMG|57aBPWR|67ERES|8DUST|9aVULN
16	14234 25312	   	267.60	ACR|2VULN|3TLV|3DMG|3ASPD	17aTLV|25aASPD|3RCR|457DMG|57aBPWR|67ERES|8BEXP|9aVULN
17	21632 23445	 * 	267.48	DCR|DCR|2MLV|1VULN|1SELL	1BELT|2SELL|37MLV|4VULN|5BEXP|6MBVNT|8aRCR|9MDPS
18	22622 25145	 * 	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1BELT|2LWND|3TLV|4CDMG|5VULN|6MBVNT|7DUR|8LEGI|9aRCR
19	22622 25445	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1BELT|2LWND|3TLV|4CDMG|5VULN|6MBVNT|7DUR|8BEXP|9aRCR
20	15213 11452	 * 	266.79	ACR|2VULN|2MLV|2TLV|1DMG|1ASPD|2DUR	1aTLV|2DMG|3RCR|4aDUR|57VULN|6RMIN|8ASPD|9aMLV|aBPWR
21	25233 23614	 * 	266.48	DCR|DCR|2MLV|1AAC|1CDMG	1BELT|2BBNT|3ZMB|47MLV|5LHND|6AAC|8aRCR|9CDMG
22	11234 21135	   	266.46	ACR|DCR|2DMG|1TLV|1MLV|1AAC	1TLV|256ERES|3aRCR|45DMG|5BPWR|7AAC|8MLV|9RAT
23	23534 13113	 * 	265.19	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1ASPD	1BELT|2AEFBLL|3DMG|45MLV|6RCR|7TLV|8AAC|9VULN|aASPD
24	63223 21145	 * 	263.97	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5DUR|6MBVNT|7VULN|8LHND|9aRCR
25	63223 21245	   	263.97	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5DUR|6MBVNT|7VULN|8LWND|9aRCR
26	63223 21645	   	263.87	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5DUR|6MBVNT|7VULN|8DUST|9aRCR
27	35422 41333	 * 	262.98	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1CDMG	1BEXP|29VULN|3LIT|4CDMG|5AAC|6TLV|7DMG|8MLV|aRCR
28	15231 42223	   	262.48	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7VULN|9RMIN|aASPD
29	15235 42223	   	262.38	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1TLV|24DMG|38RCR|5AEWIND|6AEFBLL|7VULN|9RMIN|aASPD
30	13522 53611	   	261.67	DCR|DCR|1VULN|1TLV|1ASPD	1TLV|2BEXP|3MBVNT|4VULN|5DUST|6ASPD|7aRCR|8FRZARM|9TBNT
31	35242 53611	   	261.67	DCR|DCR|1VULN|1TLV|1ASPD	1BEXP|2VULN|3MBVNT|4TLV|5DUST|6ASPD|7aRCR|8FRZARM|9TBNT
32	21531 83328	 * 	261.63	DCR|DCR|3VULN|1SELL	1BELT|2SELL|3MBVNT|468VULN|5LWND|7BBNT|9aRCR
33	21514 83328	 * 	261.53	DCR|DCR|3VULN|1SELL	1BELT|2SELL|3MBVNT|4AETHUN|568VULN|7BBNT|9aRCR
34	15211 61243	   	261.51	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aAART
35	12631 63316	 * 	260.95	ACR|DCR|3ASPD|1VULN|1TLV	1TLV|2RPLT|3aRCR|4DUR|5AEBURN|679ASPD|8VULN
36	12632 63316	   	260.95	ACR|DCR|3ASPD|1VULN|1TLV	1TLV|2RPLT|3aRCR|4DUR|5AEPOI|679ASPD|8VULN
37	14211 61242	   	260.95	ACR|DCR|3ASPD|1VULN|1TLV	1TLV|29aASPD|38RCR|4DUR|5AME|6MBVNT|7VULN
