0	Index      	 *	Score 	Summary	Detail	
1	24352 61112	 * 	206.62	紫5易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能6789a易伤8序列升级
2	24621 41211	 * 	198.77	橙2易伤2伤害1全技能2暴击1喷火对愈1时间	1额外掉落2a伤害3喷火对愈4a暴击5基地爆炸6全技能7时间8a易伤9核a序列升级
3	24622 42211	   	198.17	橙2易伤2伤害1全技能2暴击1喷火对愈1时间	1额外掉落2a伤害3喷火对愈4a暴击5最后敌人6时间7全技能8a易伤9核a序列升级
4	24352 61111	   	193.79	紫4易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能6789易伤8序列升级a双倍矿
5	24352 61113	   	193.79	紫4易伤2伤害1全技能	1a额外掉落28伤害38基地爆炸4核5全技能6789易伤8序列升级
6	24352 61122	   	193.79	紫4易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能678a易伤8序列升级9立即金币
7	24621 42211	   	191.83	橙2易伤2伤害1全技能2暴击1喷火对愈	1额外掉落2a伤害3喷火对愈4a暴击5基地爆炸6全技能7敌人爆炸8a易伤9核a序列升级
8	24622 32211	   	191.23	橙2易伤2伤害1全技能2暴击1喷火对愈	1额外掉落2a伤害3喷火对愈4a暴击5最后敌人6敌人爆炸7全技能8a易伤9核a序列升级
9	24626 32211	   	191.23	橙2易伤2伤害1全技能2暴击1喷火对愈	1额外掉落2a伤害3喷火对愈4a暴击5低血量敌人6敌人爆炸7全技能8a易伤9核a序列升级
10	24622 62211	 * 	191.13	橙2易伤2伤害1全技能2喷火对愈1暴击	1额外掉落2a伤害3a喷火对愈4暴击5最后敌人6挖青7全技能8a易伤9核a序列升级
11	21352 61114	 * 	184.64	紫4易伤1全技能2策反1暴击	1额外掉落28策反38基地爆炸4核5全技能6789易伤8序列升级a暴击
12	23222 73628	   	183.90	橙2易伤2伤害1全技能1暴击1时间	1额外掉落2加一3时间4a伤害5全技能69易伤7核8暴击
13	21352 61161	 * 	183.89	紫3易伤1全技能1伤害2策反1攻速	1额外掉落28策反38基地爆炸4核5全技能678易伤8序列升级9攻速a伤害
14	21352 61112	 * 	183.82	紫5易伤1全技能2策反	1额外掉落28策反38基地爆炸4核5全技能6789a易伤8序列升级
15	65231 21325	 * 	181.07	橙3易伤2全技能1伤害1时间	1低血量敌人25a易伤3矿等4伤害6核79全技能8时间
16	24633 13323	 * 	180.97	紫3伤害1全技能2策反1喷火对愈2时间	1额外掉落29a伤害3喷火对愈4核5立即金币69策反79时间8全技能9序列升级
17	24352 61121	   	179.69	紫3易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能678易伤8序列升级9立即金币a双倍矿
18	24352 61123	   	179.69	紫3易伤2伤害1全技能	1a额外掉落28伤害38基地爆炸4核5全技能678易伤8序列升级9立即金币
19	24352 61132	   	179.69	紫3易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能678易伤8序列升级9敌人爆炸a双倍矿
20	24352 61131	   	179.59	紫3易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能678易伤8序列升级9敌人爆炸a掉矿
21	24352 61133	   	179.59	紫3易伤2伤害1全技能	1额外掉落28伤害38基地爆炸4核5全技能678易伤8序列升级9敌人爆炸a挖青
22	65231 21322	   	179.06	橙2易伤2全技能1伤害1暴击1时间	1低血量敌人25易伤3矿等4伤害6核79全技能8时间a暴击
23	65631 22323	 * 	178.87	橙3易伤2伤害1全技能	1低血量敌人25a易伤37等级48伤害6核9全技能
24	21352 61143	 * 	177.36	紫3易伤3策反1全技能1攻速	1额外掉落289策反38基地爆炸4核5全技能678易伤8序列升级a攻速
25	21352 63163	   	177.36	紫3易伤3策反1全技能1攻速	1额外掉落278策反38基地爆炸4核5全技能689易伤8序列升级a攻速
