0	Index      	 *	Score 	Summary	Detail	
1	11134 73652	 * 	331.33	ACR|DCR|4VULN|2LIT|1TLV	16LIT|2569VULN|3aRCR|4MBVNT|6BPWR|7DUR|8TLV
2	33532 32516	 * 	319.15	DCR|DCR|2TLV|2ASPD|1MLV|1DMG|1CDMG	19DUST|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aCDMG
3	63532 32511	   	315.36	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19FEWX|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aDUR
4	33532 32511	   	315.16	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19DUST|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aDUR
5	33532 32535	   	315.16	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	1aDUST|2aTLV|3DMG|4MLV|5MDPS|67RCR|8aASPD|9BBNT|aBPWR
6	13134 15252	 * 	312.29	ACR|DCR|3VULN|2TLV|1LIT	1LIT|2DUR|3aRCR|4MBVNT|589VULN|67TLV
7	11132 41252	   	312.06	ACR|DCR|3VULN|2LIT|1TLV	16LIT|289VULN|3aRCR|4MBVNT|5TLV|7DUR
8	13134 47252	   	312.06	ACR|DCR|3VULN|2LIT|1TLV	16LIT|2DUR|3aRCR|4MBVNT|589VULN|7TLV
9	33532 32525	   	311.05	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	1aDUST|2aTLV|3DMG|4MLV|5MDPS|67RCR|8aASPD|9TBNT|aBPWR
10	11134 13652	   	310.91	ACR|DCR|4VULN|1TLV|1LIT	1LIT|2569VULN|3aRCR|4MBVNT|7DUR|8TLV
11	11134 31252	   	310.91	ACR|DCR|4VULN|1TLV|1LIT	1LIT|2589VULN|3aRCR|4MBVNT|6TLV|7DUR
12	42325 32521	 * 	306.45	DCR|DCR|1TLV|1LIT|1VULN|2ASPD	1ERES|28ASPD|3VULN|4MDPS|5TLV|67RCR|9BBNT|aLIT
13	63532 32512	   	305.70	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19FEWX|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aCGEN
14	63532 32513	   	305.70	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19FEWX|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aZMB
15	33532 32512	   	305.50	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19DUST|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aCGEN
16	33532 32513	   	305.50	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19DUST|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aZMB
17	33532 32514	   	305.40	DCR|DCR|2TLV|2ASPD|1MLV|1DMG	19DUST|29TLV|3DMG|4MLV|5MDPS|67RCR|89ASPD|9BPWR|aLEGI
18	42325 32335	 * 	304.97	DCR|DCR|2TLV|1VULN|1MLV|1ASPD	1ERES|2ASPD|3VULN|4MDPS|5aTLV|67RCR|8LHND|9MLV
19	42325 32633	 * 	303.48	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1ERES|2ASPD|3aVULN|4MDPS|5TLV|67RCR|8DUR|9MLV
20	11132 55252	   	302.63	ACR|DCR|3VULN|2TLV|1LIT	1LIT|289VULN|3aRCR|4MBVNT|57TLV|6FEWX
21	11135 15252	   	302.63	ACR|DCR|3VULN|2TLV|1LIT	1LIT|289VULN|3aRCR|4MBVNT|5BEXP|67TLV
22	11132 25252	   	302.53	ACR|DCR|3VULN|2TLV|1LIT	1LIT|289VULN|3aRCR|4MBVNT|57TLV|6DUST
23	11135 47252	   	302.40	ACR|DCR|3VULN|2LIT|1TLV	16LIT|289VULN|3aRCR|4MBVNT|5BEXP|7TLV
