0	Index      	 *	Score 	Summary	Detail	
1	31623 24226	 * 	288.81	橙橙1易伤2矿等1伤害2时间	178雷电2金币生成38时间4伤害5易伤68矿等8序列升级9a核
2	22553 23342	 * 	286.02	橙橙2易伤1伤害1矿等	1矿等2挖尘3双倍秒伤45易伤6a核7立即金币8伤害9低血量敌人
3	13515 62123	   	282.24	橙橙2易伤1伤害1攻速	1赏金邻近2攻速3伤害4最后敌人57易伤6a核8低血量敌人9技能点
4	31541 22226	 * 	281.72	橙橙2易伤2矿等1策反	138雷电2金币生成48矿等5敌人爆炸6策反78易伤8序列升级9a核
5	31542 22226	 * 	281.72	橙橙2易伤2矿等1策反	138雷电2金币生成48矿等5基地爆炸6策反78易伤8序列升级9a核
6	31543 22226	 * 	281.62	橙橙2易伤2矿等1策反	138雷电2金币生成48矿等5挖尘6策反78易伤8序列升级9a核
7	21335 33772	   	277.00	橙橙1易伤2矿等1暴击1全技能	14矿等2全技能34敌人爆炸4序列升级5加一6最后敌人7易伤8暴击9a核
8	11162 26151	   	274.37	橙橙2易伤1矿等	1赏金邻近23易伤4矿等5敌人爆炸6时间7a核8最后敌人9毒液对冰
9	11233 41521	   	274.37	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6时间8a核9基地爆炸
10	11233 41551	   	274.37	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6时间8a核9低血量敌人
11	31123 24226	   	273.96	橙橙1易伤2矿等1伤害	178雷电2金币生成38基地爆炸4伤害5易伤68矿等8序列升级9a核
12	31323 24226	   	273.96	橙橙1易伤2矿等1伤害	178雷电2金币生成38最后敌人4伤害5易伤68矿等8序列升级9a核
13	13224 61153	 * 	271.85	橙橙2伤害1易伤1攻速	1赏金邻近2攻速3金币生成4易伤5低血量敌人6a核79伤害8最后敌人
14	13515 61123	   	271.75	橙橙2伤害1易伤1攻速	1赏金邻近2攻速37伤害4最后敌人5易伤6a核8低血量敌人9技能点
15	32132 62365	 * 	270.87	紫橙2易伤1伤害1矿等1暴击	1雷电2赏金塔3毒液对毒48核5a易伤6矿等7暴击9伤害
16	21151 63336	   	270.42	橙橙2矿等1伤害1攻速1全技能	13矿等2全技能4攻速5立即金币6a核7伤害8时间9赏金塔
17	31613 24226	   	268.50	橙橙1易伤2矿等2时间1策反	178雷电2金币生成38时间4策反5易伤68矿等8序列升级9a核
18	32132 62334	 * 	266.42	紫橙2易伤2矿等1暴击	1雷电2赏金塔3毒液对毒48核59易伤6a矿等7暴击
19	11233 11521	   	266.06	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6基地爆炸8a核9敌人爆炸
20	11233 11551	   	266.06	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6基地爆炸8a核9低血量敌人
21	11233 21521	   	266.06	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6最后敌人8a核9基地爆炸
22	11233 21551	   	266.06	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6最后敌人8a核9低血量敌人
23	22144 11521	   	265.96	橙橙2易伤1矿等	1矿等2挖尘3喷火对黄47易伤5赏金邻近6基地爆炸8a核9敌人爆炸
24	22144 21521	   	265.96	橙橙2易伤1矿等	1矿等2挖尘3喷火对黄47易伤5赏金邻近6最后敌人8a核9基地爆炸
25	31516 22226	   	265.91	橙橙2易伤1矿等1策反	138雷电2金币生成48挖尘5矿等6策反78易伤8序列升级9a核
26	22553 23612	   	265.71	橙橙2易伤1矿等1策反	1矿等2挖尘3双倍秒伤45易伤6a核7立即金币8基地爆炸9策反
27	32132 62345	   	264.46	紫橙2易伤1矿等1攻速1暴击	1雷电2赏金塔3毒液对毒48核5a易伤6矿等7暴击9攻速
28	32314 32121	   	263.82	橙橙1易伤1伤害1暴击1全技能	1雷电2赏金塔3暴击4最后敌人5双倍秒伤68核7伤害9全技能a易伤
29	32354 32121	   	263.82	橙橙1易伤1伤害1暴击1全技能	1雷电2赏金塔3暴击4低血量敌人5双倍秒伤68核7伤害9全技能a易伤
30	52625 13213	 * 	263.29	紫橙4易伤1卖塔	1789金币生成278挖尘3赏金塔4卖塔5a核6789易伤789序列升级
31	14312 26243	   	262.00	橙橙1易伤2矿等	1赏金邻近2基地爆炸35最后敌人45矿等5序列升级6时间7a核8加一9易伤
32	15212 26243	   	262.00	橙橙1易伤2矿等	1赏金邻近2最后敌人35基地爆炸45矿等5序列升级6时间7a核8加一9易伤
33	15512 26243	   	262.00	橙橙1易伤2矿等	1赏金邻近2最后敌人35敌人爆炸45矿等5序列升级6时间7a核8加一9易伤
34	15412 26243	   	261.80	橙橙1易伤2矿等	1赏金邻近2最后敌人35挖尘45矿等5序列升级6时间7a核8加一9易伤
35	11116 32523	 * 	261.15	橙3易伤2矿等2攻速1平台	1赏金邻近239易伤4最后敌人5平台6核79攻速89矿等9序列升级a时间
