0	Index      	 *	Score 	Summary	Detail	
1	11652 11325	 * 	300.21	橙橙2易伤1伤害1攻速	1时间2雷电34易伤5伤害6a核7攻速8加一9平台
2	11532 11325	   	272.13	橙橙1易伤1伤害1攻速	1时间23雷电4易伤5伤害6a核7攻速8加一9平台
3	55313 12112	   	271.94	橙橙2易伤1攻速	18激光对冰2攻速38易伤4低血量敌人5雷电6a核78技能点8序列升级9平台
4	55313 13112	   	271.94	橙橙2易伤1攻速	18激光对冰2攻速38易伤4低血量敌人5雷电6a核78掉矿8序列升级9平台
5	55313 12212	   	271.84	橙橙2易伤1攻速	1激光对冰2攻速38易伤4低血量敌人5雷电6a核7技能点9平台
6	55313 13212	   	271.84	橙橙2易伤1攻速	1激光对冰2攻速38易伤4低血量敌人5雷电6a核7掉矿9平台
7	22344 11325	 * 	271.64	紫橙4易伤	18核256a易伤3喷火对甲4随机矿7等级9时间
8	22324 11321	 * 	271.55	紫橙3易伤1伤害	18核256易伤3喷火对甲4金币生成7等级9时间a伤害
9	22344 11321	   	271.55	紫橙3易伤1伤害	18核256易伤3喷火对甲4随机矿7等级9时间a伤害
10	22344 13321	   	271.55	紫橙3易伤1伤害	18核256易伤3喷火对甲4随机矿7金币生成9时间a伤害
11	22624 11321	   	271.45	紫橙3易伤1伤害	18核256易伤3防空对甲4金币生成7等级9时间a伤害
12	22644 11321	   	271.45	紫橙3易伤1伤害	18核256易伤3防空对甲4随机矿7等级9时间a伤害
13	22644 13321	   	271.45	紫橙3易伤1伤害	18核256易伤3防空对甲4随机矿7金币生成9时间a伤害
