0	Index      	 *	Score 	Summary	Detail	
1	13642 16313	 * 	290.85	橙橙2伤害1易伤2矿等2策反	1立即金币25矿等3易伤49策反68伤害7a核
2	35653 23132	 * 	278.35	橙橙2易伤1伤害1全技能	12最后敌人3伤害49易伤5赏金邻近6低血量敌人78核a全技能
3	14623 23114	   	277.00	橙橙2易伤1伤害	1立即金币2a易伤3伤害4时间5赏金邻近6低血量敌人78核9赏金塔
4	14623 23131	   	277.00	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6低血量敌人78核a最后敌人
5	14623 23133	   	277.00	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6低血量敌人78核a基地爆炸
6	14623 23136	   	277.00	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6a低血量敌人78核
7	14625 33131	   	277.00	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5低血量敌人6赏金塔78核a最后敌人
8	14625 33133	   	277.00	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5低血量敌人6赏金塔78核a基地爆炸
9	12653 23136	   	277.00	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a时间
10	14623 23132	   	276.90	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6低血量敌人78核a挖尘
11	14624 33131	   	276.90	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5挖尘6赏金塔78核a最后敌人
12	14624 33133	   	276.90	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5挖尘6赏金塔78核a双倍矿
13	14625 33132	   	276.90	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5低血量敌人6赏金塔78核a挖尘
14	53613 33136	   	276.90	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a时间
15	14624 33132	   	276.80	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5a挖尘6赏金塔78核
16	21123 23646	   	271.70	橙橙1易伤1伤害1矿等1暴击	1雷电2技能3挖青4矿等5等级6伤害79核8易伤a暴击
17	21221 43441	   	270.58	橙橙2易伤1攻速	1雷电2技能3攻速4低血量敌人56易伤79核8时间a赏金邻近
