0	Index      	 *	Score 	Summary	Detail	
1	23421 23652	 * 	292.61	橙橙2伤害1易伤2攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8a攻速9易伤
2	22325 24252	   	280.16	橙橙2伤害1易伤1攻速	1最后敌人2时间3随机矿45伤害67核8金币生成9易伤a攻速
3	23421 23252	   	280.16	橙橙2伤害1易伤1攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9易伤a攻速
4	23421 23452	   	280.16	橙橙2伤害1易伤1攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8技能9易伤a攻速
5	23421 23651	   	280.16	橙橙2伤害1易伤1攻速	15a最后敌人2掉矿3时间45伤害5序列升级67核8攻速9易伤
6	23421 23662	   	280.16	橙橙2伤害1易伤1攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8攻速9赏金塔a易伤
7	23421 23612	   	280.06	橙橙2伤害1易伤1攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8攻速9挖尘a易伤
8	23421 23653	   	280.06	橙橙2伤害1易伤1攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8攻速9易伤a技能点
9	23425 23252	   	280.06	橙橙2伤害1易伤1攻速	1最后敌人2掉矿3时间45伤害67核8金币生成9易伤a攻速
10	23425 23612	   	279.96	橙橙2伤害1易伤1攻速	1最后敌人2掉矿3时间45伤害67核8攻速9挖尘a易伤
11	52121 24612	   	279.96	橙橙2伤害1易伤1攻速	15掉矿2基地爆炸3时间45伤害5序列升级67核8攻速9挖尘a易伤
12	51121 24532	   	279.86	橙橙2伤害1易伤1暴击	158掉矿2挖尘3时间45伤害5序列升级67核9暴击a易伤
13	52121 24252	   	276.07	橙橙2伤害1易伤1平台	15掉矿2基地爆炸3时间45伤害5序列升级67核8金币生成9易伤a平台
14	51121 24252	   	275.97	橙橙2伤害1易伤1平台	15掉矿2挖尘3时间45伤害5序列升级67核8金币生成9易伤a平台
15	23422 23652	   	274.82	橙橙1易伤2攻速1伤害	1最后敌人2掉矿3时间4伤害5激光减费67核8a攻速9易伤
16	21325 24633	 * 	273.85	橙橙3伤害1易伤	1最后敌人2低血量敌人3随机矿459伤害67核8赏金塔a易伤
17	14221 24632	   	271.85	橙橙2伤害1易伤1攻速	1立即金币2随机矿3易伤49伤害5敌人爆炸67核8赏金塔a攻速
18	21325 24252	   	271.85	橙橙2伤害1易伤1攻速	1最后敌人2低血量敌人3随机矿45伤害67核8金币生成9易伤a攻速
19	14221 24235	   	271.80	橙橙1易伤1伤害1矿等1攻速	1立即金币2随机矿3易伤4伤害5敌人爆炸67核8金币生成9矿等a攻速
20	14222 24632	   	271.75	橙橙2伤害1易伤1攻速	1立即金币2随机矿3易伤49伤害5挖尘67核8赏金塔a攻速
21	23421 21624	 * 	271.25	橙橙2伤害2矿等2时间	15最后敌人2掉矿37时间45伤害5序列升级6a核89矿等
