0	Index      	 *	Score 	Summary	Detail	
1	13352 35533	 * 	298.51	橙橙2易伤1伤害2暴击	18基地爆炸28易伤3双倍矿48暴击5随机矿6a核7全技能8序列升级9伤害
2	31333 32324	   	286.56	橙橙2易伤1伤害	1赏金邻近2随机矿3平台4a易伤5伤害6时间79核8双倍秒伤
3	31345 32324	   	286.56	橙橙2易伤1伤害	1赏金邻近2随机矿3平台4时间5a易伤6伤害79核8双倍秒伤
4	32664 23123	 * 	284.45	橙3易伤3伤害3矿等	1赏金邻近27a矿等3立即金币4双倍秒伤57a易伤6核7a序列升级89a伤害
5	22251 82123	   	284.25	橙3易伤3伤害3矿等	128伤害28序列升级3加一468易伤5双倍秒伤78a矿等9核
6	22253 34337	 * 	282.59	紫橙2易伤3伤害	128伤害2序列升级3加一47易伤5a核6全技能9金币生成
7	22253 34357	   	282.59	紫橙2易伤3伤害	128伤害2序列升级3加一47易伤5a核6全技能9随机矿
8	21663 23513	   	278.89	橙3易伤3伤害2矿等	17a伤害2时间37a易伤4赏金邻近579敌人爆炸6核7a序列升级8a矿等
9	35614 23121	 * 	274.79	橙3易伤3伤害3攻速	1赏金邻近27a攻速3立即金币4双倍秒伤57a易伤6核7a序列升级89a伤害
10	21631 21651	   	273.38	橙2易伤2伤害2攻速1矿等1暴击	17伤害2时间37易伤4全技能57攻速6技能7序列升级8核9暴击a矿等
11	22253 46343	   	270.68	紫橙2易伤2伤害1攻速1策反	12伤害2序列升级3加一4a易伤59核6策反7攻速8立即金币
12	22211 87633	   	270.28	橙3易伤3伤害2矿等	12a伤害2a序列升级3加一4赏金塔5敌人爆炸69a易伤7核8a矿等
13	22251 82122	   	270.18	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a双倍矿
14	22251 82124	   	270.18	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a随机矿
15	22251 82127	   	270.18	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a金币生成
16	22251 82128	   	270.18	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a低血量敌人
17	22251 82121	   	270.08	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a多重对甲
18	22251 82125	   	270.08	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a挖青
19	22251 82126	   	270.08	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a挖尘
20	22324 21347	   	270.03	橙2易伤3伤害2矿等1暴击	12a伤害2a序列升级3暴击4双倍物品5全技能6a易伤7核8a矿等9加一
21	22255 12123	   	269.19	橙2易伤3伤害3矿等	128伤害28序列升级3加一48易伤5时间6基地爆炸78a矿等9核
22	22254 22123	   	269.09	橙2易伤3伤害3矿等	128伤害28序列升级3加一48易伤5挖尘6时间78a矿等9核
23	32543 23113	   	269.00	橙3易伤3矿等2伤害	1赏金邻近27a矿等3最后敌人47a易伤579敌人爆炸6核7a序列升级8a伤害
24	45131 52112	 * 	268.72	橙2易伤3攻速2伤害2矿等	18a攻速2双倍秒伤35伤害48易伤6技能78矿等8序列升级9核
