0	Index      	 *	Score 	Summary	Detail	
1	31335 55311	 * 	221.36	DCR|2VULN|2AART|2DMG|1ASPD	1CGEN|2LWND|35AART|47DMG|6RCR|8ASPD|9aVULN
2	31332 34541	 * 	221.12	DCR|3VULN|2DMG|1AART|1ASPD	1CGEN|2LWND|3AART|45DMG|69aVULN|7RCR|8ASPD
3	31332 55113	 * 	216.64	DCR|3DMG|2AART|1VULN|1ASPD	1CGEN|2LWND|39AART|457DMG|6RCR|8ASPD|aVULN
4	31412 55113	   	216.64	DCR|3DMG|2AART|1VULN|1ASPD	1CGEN|2LWND|357DMG|49AART|6RCR|8ASPD|aVULN
5	34453 33233	 * 	209.00	DCR|3VULN|3ASPD|1DMG	19CGEN|249VULN|3DMG|5BELT|6RCR|7ERES|89aASPD|9BPWR
6	26221 12341	 * 	208.12	DCR|3VULN|2AART|1MDPS|3CDMG	179DUST|2MDPS|39aCDMG|45AART|69aVULN|8RCR|9aBPWR
7	13621 36633	 * 	207.35	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|2CGEN|367VULN|4ZMB|5aDMG|8CDMG|9AART
8	31335 55323	 * 	206.25	DCR|3AART|2DMG|1VULN|1ASPD	1CGEN|2LWND|359AART|47DMG|6RCR|8ASPD|aVULN
9	31312 55311	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2LWND|3AART|4AELBLL|57DMG|6RCR|8ASPD|9aVULN
10	31331 55311	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	15CGEN|2LWND|3AART|47DMG|6RCR|8ASPD|9aVULN
11	31336 55311	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2LWND|3AART|47DMG|5RCVC|6RCR|8ASPD|9aVULN
12	31411 55311	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	15CGEN|2LWND|37DMG|4AART|6RCR|8ASPD|9aVULN
13	31335 34241	 * 	204.81	DCR|3VULN|3AART|1DMG	1CGEN|2LWND|359AART|4DMG|68aVULN|7RCR
14	13621 36151	 * 	203.63	ACR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	1RCR|2CGEN|367VULN|4ZMB|5aDMG|8ASPD|9CDMG
