0	Index      	 *	Score 	Summary	Detail	
1	13621 45221	 * 	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	1MLV|2AAC|3CDMG|478VULN|5ZMB|6AART|9RCR|aASPD
2	41314 12532	 * 	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4DMG|5ZMB|6BEXP|7RCR|8AART|9aVULN
3	31433 11414	 * 	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ERES|2aVULN|3MDPS|4ASPD|5CDMG|6MLV|7RCR|8DMG|9AART
4	31433 21414	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ERES|2aVULN|3MDPS|4ASPD|5CDMG|6AME|7RCR|8DMG|9AART
5	41312 42362	 * 	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4aDMG|5AAC|6VULN|7RCR|8ZMB|9AART
6	43111 44111	 * 	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1FEWX|2BELT|3CDMG|4aDMG|5VULN|6RCR|7AART|8ASPD|9LWND
7	41142 21412	   	198.97	DCR|1MDPS|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|4LHND|5CDMG|6VULN|7RCR|8DMG|9AART|aMDPS
8	41312 42311	 * 	198.30	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|69aVULN|7RCR|8ZMB
9	41314 42111	   	198.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4DMG|5ZMB|69aVULN|7RCR|8TLV
10	41311 36121	 * 	198.24	DCR|2VULN|2DMG|2ASPD|1DUR	1FEWX|2DUR|3aASPD|4aDMG|5LWND|6aVULN|7BEXP|8LHND|9RCR|aBPWR
11	41312 42312	   	196.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|69VULN|7RCR|8ZMB|aCDMG
12	41314 42112	   	196.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4DMG|5ZMB|69VULN|7RCR|8TLV|aCDMG
13	41314 12522	 * 	196.49	DCR|1AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ASPD|4DMG|5ZMB|6BEXP|7RCR|8AART|9CDMG|aNUKE
14	41142 21413	 * 	196.22	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|4LHND|5CDMG|6VULN|7RCR|8DMG|9aAART
15	42151 12632	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2BEXP|3ZMB|4ASPD|5LWND|6DMG|7RCR|8AART|9aVULN
