0	Index      	 *	Score 	Summary	Detail	
1	23424 43231	 * 	227.92	DCR|3VULN|2AART|1ASPD|1DMG|1DUR	1DUR|23AART|49aVULN|5ASPD|6CGEN|7RCR|8DMG
2	23426 63231	   	227.82	DCR|3VULN|2AART|1ASPD|1DMG|1AAC|1DUR	1DUR|23AART|49aVULN|5AAC|6ASPD|7RCR|8DMG
3	23424 63231	 * 	227.57	DCR|2VULN|2AART|2DMG|1ASPD|1NUKE|1DUR	1DUR|23AART|4aVULN|5ASPD|68DMG|7RCR|9NUKE
4	23424 63232	   	227.25	DCR|2AART|2DMG|1VULN|1ASPD|1NUKE|1DUR	1DUR|23AART|4VULN|5ASPD|68DMG|7RCR|9NUKE|aBEXP
5	23424 63233	   	227.25	DCR|2AART|2DMG|1VULN|1ASPD|1NUKE|1DUR	1DUR|23AART|4VULN|5ASPD|68DMG|7RCR|9NUKE|aLIT
6	13212 15233	 * 	225.04	DCR|3VULN|3ASPD|1CDMG|2ZMB|1AAC|1DUR	168VULN|2DUR|3AAC|48ZMB|589ASPD|7RCR|8BPWR|aCDMG
7	16412 15233	   	225.04	DCR|3VULN|3ASPD|1CDMG|2ZMB|1AAC|1DUR	168VULN|2AAC|3DUR|48ZMB|589ASPD|7RCR|8BPWR|aCDMG
8	13212 15235	 * 	221.25	DCR|3VULN|3ASPD|3ZMB|1AAC|1DUR	168VULN|2DUR|3AAC|48aZMB|589ASPD|7RCR|8BPWR
9	23424 22142	 * 	220.33	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|23AART|48VULN|5ASPD|6CDMG|7DMG|9VENFST|aRCR
10	13212 15213	 * 	219.65	DCR|3VULN|2ASPD|1AART|2ZMB|1AAC|1DUR	168VULN|2DUR|3AAC|48ZMB|58ASPD|7RCR|8BPWR|9FEWX|aAART
11	13212 15223	   	219.65	DCR|3VULN|2ASPD|1AART|2ZMB|1AAC|1DUR	168VULN|2DUR|3AAC|48ZMB|58ASPD|7RCR|8BPWR|9BEXP|aAART
12	16412 15213	   	219.65	DCR|3VULN|2ASPD|1AART|2ZMB|1AAC|1DUR	168VULN|2AAC|3DUR|48ZMB|58ASPD|7RCR|8BPWR|9FEWX|aAART
13	16412 15223	   	219.65	DCR|3VULN|2ASPD|1AART|2ZMB|1AAC|1DUR	168VULN|2AAC|3DUR|48ZMB|58ASPD|7RCR|8BPWR|9BEXP|aAART
14	13114 63231	   	218.78	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	19aVULN|2DUR|3DMSP|4RMIN|5AART|6ASPD|7RCR|8DMG
15	25114 63231	   	218.78	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|29aVULN|3DMSP|4RMIN|5AART|6ASPD|7RCR|8DMG
16	13114 63235	   	218.53	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|2DUR|3DMSP|4RMIN|5AART|6ASPD|7RCR|8aDMG
17	13224 63231	   	216.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|1AAC	19aVULN|24DUR|3AAC|5AART|6ASPD|7RCR|8DMG
18	13324 63231	   	216.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	19aVULN|24DUR|3TLV|5AART|6ASPD|7RCR|8DMG
19	25224 63231	   	216.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|1AAC	14DUR|29aVULN|3AAC|5AART|6ASPD|7RCR|8DMG
20	25324 63231	   	216.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	14DUR|29aVULN|3TLV|5AART|6ASPD|7RCR|8DMG
21	13324 63235	   	216.74	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	19VULN|24DUR|3TLV|5AART|6ASPD|7RCR|8aDMG
22	16212 15233	   	216.74	DCR|3VULN|3ASPD|1CDMG|1AAC|2ZMB	168VULN|2AAC|3LHND|48ZMB|589ASPD|7RCR|8BPWR|aCDMG
23	16313 62632	 * 	216.45	DCR|3VULN|1SPLARM|1AART|1ASPD|1CDMG|1AAC|1DUR	147VULN|2AAC|3SPLARM|5CDMG|6DUR|8ASPD|9AART|aRCR
24	23424 43221	   	215.33	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	19DUR|23AART|4aVULN|5ASPD|6CGEN|7RCR|8DMG
25	13324 63331	   	215.23	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	1aVULN|24DUR|3TLV|58AART|6ASPD|7RCR|9DMG
26	23426 63221	   	215.23	DCR|2VULN|2AART|1ASPD|1DMG|2DUR|1AAC	19DUR|23AART|4aVULN|5AAC|6ASPD|7RCR|8DMG
27	25324 63331	   	215.23	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	14DUR|2aVULN|3TLV|58AART|6ASPD|7RCR|9DMG
28	13114 63431	 * 	215.17	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1aVULN|2DUR|3DMSP|4RMIN|5AART|68ASPD|7RCR|9DMG
29	23413 13431	   	214.13	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1DUR|23AART|4RMIN|59DMG|6DUST|7RCR|8ASPD|aVULN
