0	Index      	 *	Score 	Summary	Detail	
1	35233 13216	 * 	243.36	DCR|4VULN|2DMG|2ASPD|2ZMB	1RPLT|278aVULN|3aLIT|47ZMB|57ASPD|6RCR|7aBPWR|9aDMG
2	35233 13212	 * 	233.50	DCR|3VULN|2ASPD|1AART|1DMG|2ZMB	1RPLT|278VULN|3LIT|47ZMB|57ASPD|6RCR|7BPWR|9DMG|aAART
3	35233 13266	 * 	230.99	DCR|4VULN|3ASPD|3ZMB|1AAC	1RPLT|278aVULN|3LIT|47aZMB|57aASPD|6RCR|7aBPWR|9AAC
4	35233 13416	   	227.51	DCR|3VULN|2DMG|2ASPD|2ZMB	1RPLT|27aVULN|38aLIT|47ZMB|57ASPD|6RCR|7aBPWR|9aDMG
5	21431 32245	 * 	219.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1LHND|28VULN|34DMG|5CDMG|6AELBLL|7RCR|9AART|aASPD
6	11115 22254	 * 	217.12	DCR|3VULN|2DMG|1AART|1ASPD	1MSLREG|26DMG|3ASPD|4MLV|567VULN|6BPWR|8LHND|9RCR|aAART
7	11125 22254	   	217.12	DCR|3VULN|2DMG|1AART|1ASPD	1MSLREG|26DMG|3ASPD|4CGEN|567VULN|6BPWR|8LHND|9RCR|aAART
8	41365 31111	 * 	217.12	DCR|3VULN|2DMG|2AAC|1AART|1ASPD	18AAC|27DMG|3AART|47LIT|567VULN|7BPWR|9RCR|aASPD
9	35233 13412	   	215.67	DCR|2VULN|2ASPD|1AART|1DMG|2ZMB	1RPLT|27VULN|38LIT|47ZMB|57ASPD|6RCR|7BPWR|9DMG|aAART
10	51231 11361	 * 	215.24	DCR|3DMG|2VULN|1AART|1ASPD	18MULFIG|258DMG|35VULN|4AART|58BPWR|6MLV|78BEXP|9RCR|aASPD
11	51231 13361	   	215.24	DCR|3DMG|2VULN|1AART|1ASPD	18MULFIG|258DMG|35VULN|4AART|58BPWR|6MLV|78FEWX|9RCR|aASPD
12	51231 61361	   	215.24	DCR|3DMG|2VULN|1AART|1ASPD	18MULFIG|258DMG|35VULN|4AART|58BPWR|6BEXP|78AME|9RCR|aASPD
13	51231 31361	   	215.14	DCR|3DMG|2VULN|1AART|1ASPD	18MULFIG|258DMG|35VULN|4AART|58BPWR|6DUST|78AME|9RCR|aASPD
14	51231 16361	   	215.04	DCR|3DMG|2VULN|1AART|1ASPD	18MULFIG|258DMG|35VULN|4AART|58BPWR|6MLV|78DUST|9RCR|aASPD
15	11231 11361	   	215.04	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6MLV|78BEXP|9RCR|aASPD
16	11231 13361	   	215.04	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6MLV|78FEWX|9RCR|aASPD
17	11231 61361	   	215.04	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6BEXP|78AME|9RCR|aASPD
18	11231 14561	   	214.94	DCR|3DMG|2VULN|1AART|1ASPD	1MSLREG|257DMG|35VULN|4AART|5BPWR|6MLV|8FEWX|9RCR|aASPD
19	11231 31361	   	214.94	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6DUST|78AME|9RCR|aASPD
20	51231 35361	   	214.94	DCR|3DMG|2VULN|1AART|1ASPD	18MULFIG|258DMG|35VULN|4AART|58BPWR|6DUST|78ERES|9RCR|aASPD
21	11231 16361	   	214.84	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6MLV|78DUST|9RCR|aASPD
22	11231 65361	   	214.84	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6BEXP|78ERES|9RCR|aASPD
23	11231 35361	   	214.74	DCR|3DMG|2VULN|1AART|1ASPD	18MSLREG|258DMG|35VULN|4AART|58BPWR|6DUST|78ERES|9RCR|aASPD
24	34134 53113	 * 	214.52	DCR|3VULN|1SPLARM|1AART|1ASPD	1RPLT|2ASPD|3AART|4ERES|59aVULN|6RCR|7RMIN|8SPLARM
25	35233 13252	   	213.44	DCR|3VULN|2ASPD|1AART|2ZMB	1RPLT|278VULN|3LIT|47ZMB|57ASPD|6RCR|7BPWR|9CGEN|aAART
