0	Index      	 *	Score 	Summary	Detail	
1	23515 36133	 * 	334.10	ACR|ACR|2TLV|1VULN|2DMG|2RAT|1AART	19DMG|29CGEN|3AART|45RCR|6aTLV|7VULN|89RAT|9BPWR
2	26515 32113	   	322.72	ACR|ACR|2TLV|1VULN|1DMG|2CDMG|1AART	1DMG|26TLV|3AART|45RCR|7RMIN|89CDMG|aVULN
3	23134 36131	 * 	321.93	DCR|3VULN|2TLV|2DMG|1AEBURN	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9DUR|aAEBURN
4	26631 21235	 * 	321.51	ACR|DCR|2TLV|2VULN|1DMG	1DMG|2aTLV|37RCR|4CANTOX|5ERES|6aBEXP|8MULHEA|9aVULN|aBPWR
5	26515 32322	   	320.35	ACR|ACR|2TLV|1VULN|2DMG|1AART	18DMG|26TLV|3AART|45RCR|7RMIN|9VULN|aCGEN
6	26515 32323	   	320.35	ACR|ACR|2TLV|1VULN|2DMG|1AART	18DMG|26TLV|3AART|45RCR|7RMIN|9VULN|aLHND
7	26515 32321	   	320.25	ACR|ACR|2TLV|1VULN|2DMG|1AART	18DMG|26TLV|3AART|45RCR|7RMIN|9VULN|aBASICY
8	26613 22112	 * 	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	1aDMG|2aTLV|3RCR|4AAC|569VULN|7FEWX|8aASPD|aBPWR
9	26613 61112	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	1aDMG|2aTLV|3RCR|4AAC|579VULN|6FEWX|8aASPD|aBPWR
10	26615 21112	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	1aDMG|2aTLV|3RCR|4AAC|5BEXP|679VULN|8aASPD|aBPWR
11	26663 22112	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	1aDMG|2aTLV|3RCR|4RMIN|569VULN|7FEWX|8aASPD|aBPWR
12	26613 11112	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	1aDMG|2aTLV|3RCR|4AAC|579VULN|6DUST|8aASPD|aBPWR
13	26663 11112	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	1aDMG|2aTLV|3RCR|4RMIN|579VULN|6DUST|8aASPD|aBPWR
14	23134 36122	   	312.79	DCR|3VULN|2TLV|2DMG|1CDMG	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9CDMG|aRAT
15	23134 36113	   	312.27	DCR|3VULN|2TLV|2DMG|1AEPOI	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9AME|aAEPOI
16	23134 36141	   	312.17	DCR|3VULN|2TLV|2DMG|1AEBURN|1MSE	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9MSE|aAEBURN
17	23134 26111	 * 	310.47	DCR|3TLV|2VULN|3DMG|1CDMG	189DMG|23CGEN|468TLV|58VULN|7RCR|8BPWR|aCDMG
18	26515 31323	   	309.70	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7BEXP|8VULN|9LHND|aRAT
19	26515 31331	   	309.70	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7BEXP|8VULN|9ZMB|aRPLT
20	26515 31333	   	309.70	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7BEXP|8VULN|9ZMB|aLWND
21	26515 31313	   	309.60	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7BEXP|8VULN|9AETHUN|aRAT
22	26515 31332	   	309.60	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7BEXP|8VULN|9ZMB|aDUST
23	26515 33323	   	309.60	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7DUST|8VULN|9LHND|aRAT
24	26515 33331	   	309.60	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7DUST|8VULN|9ZMB|aRPLT
25	26515 33333	   	309.60	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7DUST|8VULN|9ZMB|aFEWX
26	26515 33313	   	309.50	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7DUST|8VULN|9AETHUN|aRAT
27	26515 33332	   	309.50	ACR|ACR|2TLV|1VULN|1DMG|1AART	1DMG|26TLV|3AART|45RCR|7aDUST|8VULN|9ZMB
28	23134 26134	   	308.46	DCR|3TLV|2VULN|2DMG|1ASPD|1CDMG	18DMG|23CGEN|468TLV|58VULN|7RCR|8BPWR|9CDMG|aASPD
29	23434 26122	   	308.16	DCR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	18DMG|28CGEN|3AEPOI|46TLV|58VULN|7RCR|8BPWR|9CDMG|aRAT
30	25234 26122	   	307.96	DCR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	18DMG|28ERES|3AEPOI|46TLV|58VULN|7RCR|8BPWR|9CDMG|aRAT
31	23515 16133	   	307.89	ACR|ACR|1TLV|1VULN|2DMG|2RAT|1AART	19DMG|29CGEN|3AART|45RCR|6AME|7VULN|89RAT|9BPWR|aTLV
32	23515 32163	   	307.79	ACR|ACR|1TLV|1VULN|2DMG|1CDMG|1AART	19DMG|27CGEN|3AART|45RCR|6TLV|8CDMG|aVULN
33	23515 36131	   	307.79	ACR|ACR|1TLV|1VULN|2DMG|2RAT|1AART	19DMG|29CGEN|3AART|45RCR|6TLV|7VULN|89RAT|9BPWR|aMDPS
34	23515 36132	   	307.79	ACR|ACR|1TLV|1VULN|2DMG|2RAT|1AART	19DMG|29CGEN|3AART|45RCR|6TLV|7VULN|89RAT|9BPWR|aBASFIG
35	23434 36122	   	306.65	DCR|3VULN|1TLV|2DMG|1AEPOI|1CDMG	18DMG|28CGEN|3AEPOI|4TLV|568VULN|7RCR|8BPWR|9CDMG|aRAT
36	25234 36122	   	306.45	DCR|3VULN|1TLV|2DMG|1AEPOI|1CDMG	18DMG|28ERES|3AEPOI|4TLV|568VULN|7RCR|8BPWR|9CDMG|aRAT
37	26613 25112	   	305.85	ACR|3VULN|2TLV|2DMG|1ASPD	1aDMG|2aTLV|3RCR|4AAC|569VULN|7ASPD|8aBEXP|aBPWR
38	23134 36121	   	305.85	DCR|3VULN|2TLV|2DMG|1CDMG	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9CDMG|aLHND
39	23134 36123	   	305.85	DCR|3VULN|2TLV|2DMG|1CDMG	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9CDMG|aDMSP
40	23134 36126	   	305.85	DCR|3VULN|2TLV|2DMG|1CDMG	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9CDMG|aAAC
41	23134 26151	 * 	305.85	DCR|3TLV|3VULN|2DMG	18DMG|239CGEN|468TLV|58aVULN|7RCR|8BPWR
42	23134 36124	   	305.75	DCR|3VULN|2TLV|2DMG|1CDMG	18DMG|23CGEN|48TLV|568VULN|7RCR|8BPWR|9CDMG|aDUST
43	23515 32336	   	304.35	ACR|ACR|1TLV|1VULN|2DMG|2AART	18DMG|27CGEN|39AART|45RCR|6TLV|aVULN
