0	Index      	 *	Score 	Summary	Detail	
1	51711 44423	 * 	308.86	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|3DMG|49VULN|5DUST|68RCR|7LIT|aTLV
2	31354 11353	 * 	305.65	DCR|3VULN|2TLV|2DMG|1ASPD	1RPLT|2ASPD|35TLV|468VULN|79DMG|aRCR
3	51711 44443	 * 	296.59	DCR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2MBVNT|39DMG|4VULN|5DUST|68RCR|7LIT|aTLV
4	54234 41444	 * 	296.17	ACR|4VULN|1TLV|2AEFBLL|2CDMG	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678aVULN|8BPWR|9FLTHEA
5	51131 44423	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MBVNT|39VULN|4ZMB|5DUST|68RCR|7LIT|aTLV
6	53431 44423	   	295.74	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2ZMB|39VULN|4MBVNT|5DUST|68RCR|7LIT|aTLV
7	54234 41445	   	295.18	ACR|3VULN|1TLV|2AEFBLL|1DMG|2CDMG	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9FLTHEA|aDMG
8	51113 11864	   	294.91	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2MBVNT|36aVULN|49TLV|5ZMB|7DMG|8RCR
9	51114 21864	   	294.91	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2MBVNT|35aVULN|49TLV|6ZMB|7DMG|8RCR
10	51134 11864	   	294.91	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2MBVNT|36aVULN|4ZMB|59TLV|7DMG|8RCR
11	51114 11543	   	294.51	DCR|2TLV|2VULN|2DMG|1ASPD|1CDMG	1CDMG|2MBVNT|35VULN|48TLV|6ASPD|79DMG|aRCR
12	51184 11543	   	294.51	DCR|2TLV|2VULN|2DMG|1ASPD|1CDMG	1CDMG|2MBVNT|34VULN|58TLV|6ASPD|79DMG|aRCR
13	51114 11343	   	293.00	DCR|3VULN|1TLV|2DMG|1ASPD|1CDMG	1CDMG|2MBVNT|358VULN|4TLV|6ASPD|79DMG|aRCR
14	51184 11343	   	293.00	DCR|3VULN|1TLV|2DMG|1ASPD|1CDMG	1CDMG|2MBVNT|348VULN|5TLV|6ASPD|79DMG|aRCR
15	54434 11343	   	293.00	DCR|3VULN|1TLV|2DMG|1ASPD|1CDMG	1CDMG|2TLV|358VULN|4MBVNT|6ASPD|79DMG|aRCR
