0	Index      	 *	Score 	Summary	Detail	
1	52114 31622	 * 	318.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG|1AEPOI	1RAT|29RCR|3AEPOI|47ASPD|5ERES|6TLV|8DMG|aVULN
2	52424 33131	 * 	312.69	ACR|3TLV|3VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|789VULN|aLIT
3	52424 33132	   	312.69	ACR|3TLV|3VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|789VULN|aLWND
4	52424 33133	   	312.59	ACR|3TLV|3VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|789VULN|aDUST
5	52153 31114	   	310.84	ACR|3TLV|2VULN|1DMG|1AEPOI|1ASPD|2RAT	19RAT|2RCR|3AEPOI|469TLV|5AME|7DMG|89VULN|9BPWR|aASPD
6	52411 31622	   	305.11	ACR|DCR|1TLV|1VULN|2ASPD|1DMG|2RAT	16RAT|29RCR|3TLV|4ERES|57ASPD|8DMG|aVULN
7	52424 33121	   	304.60	ACR|3TLV|2VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|78VULN|9DUR|aBLAICY
8	52153 31111	   	304.13	ACR|3TLV|2VULN|1DMG|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|469TLV|5AME|7DMG|89VULN|9BPWR|aZMB
9	52421 14332	 * 	304.08	ACR|2VULN|1TLV|2DMG|2ASPD|1AEFBLL	1RAT|2RCR|3TLV|4aDMG|5aASPD|6AME|7aVULN|8DUR|9AEFBLL|aBPWR
10	52115 32233	   	302.50	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8ZMB|9TLV|aDUR
11	52113 35115	 * 	301.03	ACR|2TLV|2VULN|3ASPD|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|49aASPD|5AME|67TLV|89VULN|9BPWR
12	52424 12123	 * 	301.01	ACR|2TLV|2VULN|3DMG|1AART	1RAT|2RCR|35TLV|457DMG|5BPWR|6BEXP|89VULN|aAART
13	52113 35112	   	300.58	ACR|2TLV|2VULN|2ASPD|1AEPOI|2RAT|1AART	19RAT|2RCR|3AEPOI|49ASPD|5AME|67TLV|89VULN|9BPWR|aAART
14	52243 35123	   	299.49	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1RAT|29RCR|3BEXP|4DMG|5VULN|6TLV|7ZMB|8FEWX|aAEBURN
15	52463 11213	 * 	298.60	ACR|DCR|2TLV|1VULN|1AEBURN	1RAT|2aRCR|38TLV|4DUST|5VULN|6LIT|7BELT|9AEBURN
16	52424 33122	   	297.66	ACR|3TLV|2VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|78VULN|9DUR|aLWND
17	52424 33123	   	297.56	ACR|3TLV|2VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|78VULN|9DUR|aAEFRZ
18	52153 31112	   	297.19	ACR|3TLV|2VULN|1DMG|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|469TLV|5AME|7DMG|89VULN|9BPWR|aMLV
19	52153 31115	   	297.19	ACR|3TLV|2VULN|1DMG|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|469TLV|5AME|7DMG|89VULN|9BPWR|aDMSP
20	52153 31116	   	297.19	ACR|3TLV|2VULN|1DMG|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|469TLV|5AME|7DMG|89VULN|9BPWR|aRPLT
21	52153 31113	   	297.09	ACR|3TLV|2VULN|1DMG|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|469TLV|5AME|7DMG|89VULN|9BPWR|aSNITOX
22	52113 35113	   	295.89	ACR|2TLV|2VULN|2ASPD|1AEPOI|3RAT	19aRAT|2RCR|3AEPOI|49ASPD|5AME|67TLV|89VULN|9BPWR
23	52115 32433	   	295.56	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8AAC|9TLV|aDUR
24	52115 32333	   	295.46	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8ERES|9TLV|aDUR
25	52112 35151	   	295.11	ACR|3VULN|2TLV|2AEPOI|1ASPD	1RAT|2RCR|39AEPOI|4ASPD|5CGEN|69TLV|7AME|89aVULN|9BPWR
26	52113 33151	   	295.11	ACR|3VULN|2TLV|2AEPOI|1ASPD	1RAT|2RCR|39AEPOI|4ASPD|5AME|69TLV|7CGEN|89aVULN|9BPWR
