0	Index      	 *	Score 	Summary	Detail	
1	21661 22413	 * 	285.44	DCR|DCR|3TLV|2DMG	1RCVC|248TLV|38FEWX|5AAC|68DMG|7aRCR|8BPWR|9RPLT
2	32111 14222	 * 	282.68	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1ZMB|2MLV|3RAT|4CDMG|5DUR|67RCR|8RMIN|9TLV|aVULN
3	32111 14622	   	282.68	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1ZMB|2MLV|3RAT|4CDMG|5DUR|67RCR|8AAC|9TLV|aVULN
4	33111 14222	   	282.68	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1ZMB|2AME|3RAT|4CDMG|5DUR|67RCR|8RMIN|9TLV|aVULN
5	33111 14622	   	282.68	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1ZMB|2AME|3RAT|4CDMG|5DUR|67RCR|8AAC|9TLV|aVULN
6	34311 14222	   	282.68	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1ZMB|2RAT|3MLV|4CDMG|5DUR|67RCR|8RMIN|9TLV|aVULN
7	34311 14622	   	282.68	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1ZMB|2RAT|3MLV|4CDMG|5DUR|67RCR|8AAC|9TLV|aVULN
8	34111 51331	 * 	280.77	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6TLV|7aVULN|8RCR|9AEPOI
9	34111 15431	   	280.77	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6RCR|7aVULN|8TLV|9AEPOI
10	34111 51332	 * 	277.12	DCR|2TLV|1VULN|1DMG|1AEPOI|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6aTLV|7VULN|8RCR|9AEPOI
11	34111 15432	   	277.12	DCR|2TLV|1VULN|1DMG|1AEPOI|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6RCR|7VULN|8aTLV|9AEPOI
12	11232 45612	 * 	275.25	ACR|DCR|2VULN|1TLV	1LHND|26RPLT|3AAC|48VULN|5aRCR|7TLV|9ERES
13	11232 65612	   	275.25	ACR|DCR|2VULN|1TLV	16LHND|2RPLT|3AAC|48VULN|5aRCR|7TLV|9ERES
14	11232 25612	   	275.15	ACR|DCR|2VULN|1TLV	1LHND|2RPLT|3AAC|48VULN|5aRCR|6AEFRZ|7TLV|9ERES
15	32115 14222	   	273.02	DCR|DCR|1TLV|1VULN|1CDMG	1ZMB|2MLV|3RAT|4CDMG|5LWND|67RCR|8RMIN|9TLV|aVULN
16	32115 14622	   	273.02	DCR|DCR|1TLV|1VULN|1CDMG	1ZMB|2MLV|3RAT|4CDMG|5LWND|67RCR|8AAC|9TLV|aVULN
17	33115 14222	   	273.02	DCR|DCR|1TLV|1VULN|1CDMG	1ZMB|2AME|3RAT|4CDMG|5LWND|67RCR|8RMIN|9TLV|aVULN
18	33115 14622	   	273.02	DCR|DCR|1TLV|1VULN|1CDMG	1ZMB|2AME|3RAT|4CDMG|5LWND|67RCR|8AAC|9TLV|aVULN
19	34315 14222	   	273.02	DCR|DCR|1TLV|1VULN|1CDMG	1ZMB|2RAT|3MLV|4CDMG|5LWND|67RCR|8RMIN|9TLV|aVULN
20	11232 45312	 * 	271.69	ACR|DCR|2TLV|1VULN	1LHND|26RPLT|3AAC|4VULN|5aRCR|79TLV|8AME
21	11232 65312	   	271.69	ACR|DCR|2TLV|1VULN	16LHND|2RPLT|3AAC|4VULN|5aRCR|79TLV|8AME
22	11232 25312	   	271.59	ACR|DCR|2TLV|1VULN	1LHND|2RPLT|3AAC|4VULN|5aRCR|6AEFRZ|79TLV|8AME
23	11232 45512	   	271.59	ACR|DCR|2TLV|1VULN	1LHND|26RPLT|3AAC|4VULN|5aRCR|79TLV|8ERES
24	11232 65512	   	271.59	ACR|DCR|2TLV|1VULN	16LHND|2RPLT|3AAC|4VULN|5aRCR|79TLV|8ERES
25	11232 25512	   	271.49	ACR|DCR|2TLV|1VULN	1LHND|2RPLT|3AAC|4VULN|5aRCR|6AEFRZ|79TLV|8ERES
26	25443 22131	 * 	271.17	DCR|2TLV|1VULN|2DMG|1AEPOI|1CDMG	1RCVC|2CDMG|37DMG|4AEPOI|5aTLV|6AAC|8VULN|9RCR
27	34115 51331	   	271.11	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5LWND|6TLV|7aVULN|8RCR|9AEPOI
28	34116 51331	   	271.11	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5LHND|6TLV|7aVULN|8RCR|9AEPOI
29	34113 34214	 * 	271.05	DCR|DCR|2VULN|1DMG|1CDMG|2RAT	1ZMB|28RAT|3DMG|4CDMG|5MBVNT|67RCR|9aVULN
30	34113 33731	   	271.01	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5MBVNT|6RCR|7TLV|8aVULN|9AEPOI
31	34113 36531	   	271.01	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5MBVNT|6RCR|7aVULN|8TLV|9AEPOI
