0	Index      	 *	Score 	Summary	Detail	
1	32142 15633	 * 	295.80	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	18BEXP|2CDMG|3ZMB|4DMG|5DUR|67RCR|9VULN|aTLV
2	23615 11353	 * 	289.68	DCR|2TLV|2VULN|2ASPD|1DMG|1CDMG	19LHND|2DMG|39VULN|4CDMG|5RMIN|6RCR|7aTLV|89ASPD|9BPWR
3	33615 11353	   	289.68	DCR|2TLV|2VULN|2ASPD|1DMG|1CDMG	19BEXP|2DMG|39VULN|4CDMG|5RMIN|6RCR|7aTLV|89ASPD|9BPWR
4	32142 15123	 * 	289.12	DCR|DCR|1TLV|1AEFBLL|1DMG|1CDMG|1AART	1BEXP|2CDMG|3ZMB|4DMG|5DUR|67RCR|8AART|9AEFBLL|aTLV
5	16215 22135	 * 	285.76	DCR|3VULN|1TLV|2DMG|1AEBURN	1MSLFST|237VULN|45DMG|6AEBURN|8TLV|9LWND|aRCR
6	16215 22115	   	285.66	DCR|3VULN|1TLV|2DMG|1AEBURN	1MSLFST|237VULN|45DMG|6AEBURN|8TLV|9DUST|aRCR
7	32442 15123	   	282.18	DCR|DCR|1TLV|1AEFBLL|1DMG|1CDMG|1AART	1BEXP|2CDMG|3AAC|4DMG|5DUR|67RCR|8AART|9AEFBLL|aTLV
8	62142 15113	 * 	279.27	DCR|DCR|1TLV|2AART|1DMG|1CDMG	1LWND|2CDMG|3ZMB|4DMG|5DUR|67RCR|89AART|aTLV
9	32142 15163	   	278.10	DCR|DCR|1TLV|1DMG|2DUR|1CDMG|1AART	1BEXP|2CDMG|3ZMB|4DMG|59DUR|67RCR|8AART|aTLV
10	33651 31125	 * 	275.22	ACR|3VULN|1TLV|1DMG|1AEPOI	1BEXP|2DMG|349VULN|5RCR|6MLV|7BLAICY|8AEPOI|aTLV
11	33651 21125	 * 	275.12	ACR|3VULN|1TLV|1DMG|1AEBURN	1BEXP|2DMG|349VULN|5RCR|6ERES|7BLAICY|8AEBURN|aTLV
12	33216 11353	   	274.82	DCR|2VULN|1TLV|2DMG|1AEBURN|1CDMG	1BEXP|29DMG|3FEWX|4CDMG|59ERES|6RCR|7AEBURN|89VULN|9BPWR|aTLV
13	23651 13261	 * 	274.62	ACR|3VULN|2TLV|1DMG	19LHND|2DMG|349VULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR|aCGEN
14	23651 13262	   	274.62	ACR|3VULN|2TLV|1DMG	19LHND|2DMG|349VULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR|aAAC
15	23651 13263	   	274.62	ACR|3VULN|2TLV|1DMG	19LHND|2DMG|349VULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR|aDMSP
16	61221 16263	 * 	274.62	ACR|3VULN|2TLV|1AEBURN	179LWND|2AEBURN|39aVULN|4AAC|5RCR|6RMIN|89TLV|9BPWR
17	63631 13263	   	274.62	ACR|3VULN|2TLV|1DMG	149LWND|2DMG|39aVULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR
18	31221 63441	   	274.52	ACR|3VULN|2TLV|1AEBURN	19BEXP|2AEBURN|379VULN|4AAC|5RCR|6MDPS|89TLV|9BPWR|aLHND
19	31221 63442	 * 	274.52	ACR|3VULN|2TLV|1AEPOI|1AEBURN	19BEXP|2AEBURN|379VULN|4AAC|5RCR|6MDPS|89TLV|9BPWR|aAEPOI
20	31221 63443	   	274.52	ACR|3VULN|2TLV|1AEBURN	19BEXP|2AEBURN|379VULN|4AAC|5RCR|6MDPS|89TLV|9BPWR|aDMSP
21	44111 32353	 * 	273.66	ACR|2VULN|1TLV|2DMG|2DUR|1CDMG	1DMSP|29DMG|3FEWX|49DUR|5RCR|6MLV|7CDMG|89VULN|9BPWR|aTLV
22	44111 22353	   	273.56	ACR|2VULN|1TLV|2DMG|2DUR|1CDMG	1DMSP|29DMG|3FEWX|49DUR|5RCR|6ERES|7CDMG|89VULN|9BPWR|aTLV
23	22135 21526	   	273.02	DCR|DCR|1TLV|1VULN|1CDMG	1LHND|2CDMG|3ZMB|4BLAICY|5TLV|6aRCR|7BELT|8VULN|9AAC
24	32142 15153	   	272.35	DCR|DCR|1TLV|1DMG|1CDMG|1AART|2ZMB	1BEXP|2CDMG|39ZMB|4DMG|5DUR|67RCR|8AART|aTLV
25	23616 11325	 * 	270.88	DCR|2VULN|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG	1LHND|2DMG|3aVULN|4CDMG|5CGEN|6RCR|7TLV|8ASPD|9AEFBLL
26	33616 11325	   	270.88	DCR|2VULN|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG	1BEXP|2DMG|3aVULN|4CDMG|5CGEN|6RCR|7TLV|8ASPD|9AEFBLL
27	32145 15113	   	269.60	DCR|DCR|1TLV|2AART|1DMG|1CDMG	1BEXP|2CDMG|3ZMB|4DMG|5LWND|67RCR|89AART|aTLV
28	32142 15113	   	269.06	DCR|DCR|1TLV|1DMG|1CDMG|1AART	1BEXP|2CDMG|3ZMB|4DMG|5DUR|67RCR|8AART|9DMSP|aTLV
29	62142 15133	   	269.06	DCR|DCR|1TLV|1DMG|1CDMG|1AART	1LWND|2CDMG|3ZMB|4DMG|5DUR|67RCR|8AART|9RCVC|aTLV
30	23343 33426	   	268.33	DCR|2TLV|2VULN|1DMG|2DUR	1LHND|2DMG|3ERES|49DUR|56VULN|78TLV|aRCR
31	23351 33426	   	268.33	DCR|2TLV|2VULN|1DMG|2DUR	1LHND|2DMG|3ERES|46VULN|59DUR|78TLV|aRCR
32	33343 33426	   	268.33	DCR|2TLV|2VULN|1DMG|2DUR	1BEXP|2DMG|3ERES|49DUR|56VULN|78TLV|aRCR
33	33351 33426	   	268.33	DCR|2TLV|2VULN|1DMG|2DUR	1BEXP|2DMG|3ERES|46VULN|59DUR|78TLV|aRCR
34	33651 11125	   	268.18	ACR|3VULN|1TLV|1DMG|1AEPOI	1BEXP|2DMG|349VULN|5RCR|6RMIN|7SPLREG|8AEPOI|aTLV
35	33641 31125	 * 	268.11	ACR|2VULN|1TLV|2DMG|1AEPOI	1BEXP|24DMG|39VULN|5RCR|6MLV|7BLAICY|8AEPOI|aTLV
36	33641 21125	 * 	268.01	ACR|2VULN|1TLV|2DMG|1AEBURN	1BEXP|24DMG|39VULN|5RCR|6ERES|7BLAICY|8AEBURN|aTLV
37	23651 13335	 * 	267.51	ACR|2TLV|2VULN|2DMG	1aLHND|2aDMG|34VULN|5RCR|6RMIN|7RCVC|8BEXP|9aTLV|aBPWR
38	23651 33261	   	267.51	ACR|2TLV|2VULN|2DMG	19LHND|29DMG|34VULN|5RCR|6MLV|7RCVC|89TLV|9BPWR|aCGEN
39	23651 33262	   	267.51	ACR|2TLV|2VULN|2DMG	19LHND|29DMG|34VULN|5RCR|6MLV|7RCVC|89TLV|9BPWR|aAAC
40	23651 33263	   	267.51	ACR|2TLV|2VULN|2DMG	19LHND|29DMG|34VULN|5RCR|6MLV|7RCVC|89TLV|9BPWR|aDMSP
41	33651 33261	   	267.51	ACR|2TLV|2VULN|2DMG	19BEXP|29DMG|34VULN|5RCR|6MLV|7RCVC|89TLV|9BPWR|aCGEN
42	33651 33262	   	267.51	ACR|2TLV|2VULN|2DMG	19BEXP|29DMG|34VULN|5RCR|6MLV|7RCVC|89TLV|9BPWR|aAAC
43	23641 13261	   	267.51	ACR|2TLV|2VULN|2DMG	19LHND|24DMG|39VULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR|aCGEN
44	23641 13262	   	267.51	ACR|2TLV|2VULN|2DMG	19LHND|24DMG|39VULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR|aAAC
45	23641 13263	   	267.51	ACR|2TLV|2VULN|2DMG	19LHND|24DMG|39VULN|5RCR|6RMIN|7RCVC|89TLV|9BPWR|aDMSP
46	63631 33263	   	267.51	ACR|2TLV|2VULN|2DMG	149LWND|29DMG|3aVULN|5RCR|6MLV|7RCVC|89TLV|9BPWR
47	33651 33263	   	267.41	ACR|2TLV|2VULN|2DMG	19BEXP|29DMG|34VULN|5RCR|6MLV|7RCVC|89TLV|9BPWR|aLEGI
48	33231 63421	   	267.41	ACR|2TLV|2VULN|2DMG	148BEXP|2aDMG|3FEWX|5RCR|6MDPS|7aVULN|9aTLV|aBPWR
49	33431 63421	   	267.41	ACR|2TLV|2VULN|2DMG	148BEXP|2aDMG|3LWND|5RCR|6MDPS|7aVULN|9aTLV|aBPWR
50	32142 15631	 * 	267.26	DCR|DCR|2VULN|1DMG|1CDMG	18BEXP|2CDMG|3ZMB|4DMG|5DUR|67RCR|9aVULN
51	23641 33263	 * 	267.16	ACR|3TLV|3DMG|1VULN	19aLHND|249DMG|3VULN|5RCR|6aMLV|7RCVC|89aTLV|9aBPWR
52	33641 33263	   	267.16	ACR|3TLV|3DMG|1VULN	19aBEXP|249DMG|3VULN|5RCR|6aMLV|7RCVC|89aTLV|9aBPWR
53	21253 41326	   	266.16	DCR|3VULN|1TLV|1AEBURN|1AART	1LHND|2AEBURN|345VULN|6RAT|7RMIN|8RCR|9TLV|aAART
54	31253 41326	   	266.16	DCR|3VULN|1TLV|1AEBURN|1AART	1BEXP|2AEBURN|345VULN|6RAT|7RMIN|8RCR|9TLV|aAART
55	31253 23526	   	266.06	DCR|3VULN|1TLV|1AEBURN|1AART	1BEXP|2AEBURN|345VULN|6ERES|7RCR|8RAT|9TLV|aAART
