0	Index      	 *	Score 	Summary	Detail	
1	42254 12122	 * 	339.56	ACR|DCR|2TLV|2VULN|1AEPOI	12TLV|36RCR|4FEWX|59VULN|7ZMB|8AART|aAEPOI
2	13214 13326	 * 	337.15	ACR|DCR|3VULN|2TLV	12aERES|2aBPWR|36RCR|4LWND|59aVULN|7aTLV|8AART
3	13254 13126	   	337.15	ACR|DCR|3VULN|2TLV	12aERES|2aBPWR|36RCR|4FEWX|59aVULN|7aTLV|8AART
4	13264 13326	   	337.15	ACR|DCR|3VULN|2TLV	12aERES|2aBPWR|36RCR|4LHND|59aVULN|7aTLV|8AART
5	42214 13251	 * 	335.26	ACR|DCR|3TLV|2VULN|1AEBURN	12aTLV|36RCR|4LWND|5aVULN|7AEBURN|8CGEN|9aCANTOX|aBPWR
6	42214 13351	   	335.26	ACR|DCR|3TLV|2VULN|1AEBURN	12aTLV|36RCR|4LWND|5aVULN|7AEBURN|8AME|9aCANTOX|aBPWR
7	42214 13153	   	335.16	ACR|DCR|2TLV|2VULN|1AEBURN|1ASPD	12TLV|36RCR|4LWND|59VULN|7AEBURN|8CANHEL|aASPD
8	42214 12122	   	333.14	ACR|DCR|2TLV|2VULN|1CDMG	12TLV|36RCR|4LWND|59VULN|7ZMB|8AART|aCDMG
9	42264 12122	   	333.14	ACR|DCR|2TLV|2VULN|1CDMG	12TLV|36RCR|4LHND|59VULN|7ZMB|8AART|aCDMG
10	42214 14113	   	331.27	ACR|DCR|2TLV|2VULN|1DMG	12TLV|36RCR|4LWND|5aVULN|7CGEN|8DUR|9DMG
11	42214 15113	   	331.27	ACR|DCR|2TLV|2VULN|1DMG	12TLV|36RCR|4LWND|5aVULN|7DUR|8AAC|9DMG
12	42214 15213	   	331.27	ACR|DCR|2TLV|2VULN|1DMG	12TLV|36RCR|4LWND|5aVULN|7DUR|8CGEN|9DMG
13	42214 12112	   	329.76	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9DMG|aAEBURN
14	42254 12112	   	329.76	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	12TLV|36RCR|4FEWX|5VULN|7ZMB|8AART|9DMG|aAEBURN
15	42264 12112	   	329.76	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	12TLV|36RCR|4LHND|5VULN|7ZMB|8AART|9DMG|aAEBURN
16	42214 12613	   	328.55	ACR|DCR|2TLV|2VULN|1DMG	12TLV|36RCR|4LWND|5aVULN|7ZMB|8BEXP|9DMG
17	45214 12122	   	327.00	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1TLV|2AEFBLL|36RCR|4LWND|59VULN|7ZMB|8AART|aCDMG
18	42214 51222	   	324.76	ACR|DCR|3TLV|2VULN	127TLV|39RCR|4LWND|58VULN|6DUST|aDUR
19	42214 12113	   	323.35	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9DMG|aCDMG
