0	Index      	 *	Score 	Summary	Detail	
1	33124 16316	 * 	270.09	橙橙1易伤1等级1时间1全技能1暴击	1最后敌人2等级3易伤4策反5头目6暴击7时间8全技能9a核
2	11141 22222	 * 	268.79	橙橙2易伤1等级1时间	1金币生成2a易伤3火球减费4额外掉落5等级6烈焰减费78核9时间
3	11141 22245	   	268.79	橙橙2易伤1等级1暴击	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a暴击
4	11141 32222	   	268.79	橙橙2易伤1等级1时间	1金币生成2a易伤3火球减费4额外掉落5等级6毒气减费78核9时间
5	11141 32245	   	268.79	橙橙2易伤1等级1暴击	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a暴击
6	41124 51323	 * 	260.53	橙5易伤2伤害1时间	15伤害23456易伤5序列升级7金币生成8时间9攻速a核
7	41124 53331	   	260.53	橙5易伤2伤害1全技能	15伤害23456易伤5序列升级7全技能8攻速9核a立即金币
8	41124 53332	   	260.53	橙5易伤2伤害1全技能	15伤害23456易伤5序列升级7全技能8攻速9核a雷电
9	41124 53333	   	260.43	橙5易伤2伤害1全技能	15伤害23456易伤5序列升级7全技能8攻速9核a掉矿
10	33124 11216	   	256.34	橙橙1易伤1等级1全技能1暴击	1最后敌人2等级3易伤4策反5头目6暴击7挖青8全技能9a核
11	33152 15116	   	256.34	橙橙1易伤1等级1全技能1暴击1核弹	1最后敌人2等级3易伤4敌人爆炸5全技能6暴击7雷电8核弹9a核
12	11236 63226	   	256.24	橙橙2易伤1时间1技能1暴击	1金币生成24易伤34掉矿4序列升级5毒液对冰6暴击79核8技能a时间
13	11141 22221	   	256.24	橙橙1易伤1等级1时间1技能	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9时间a技能
14	11141 32221	   	256.24	橙橙1易伤1等级1时间1技能	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9时间a技能
15	53535 21223	   	256.14	橙橙1易伤1等级1时间1全技能	1平台2雷电减费3时间4等级5易伤6赏金塔7多重对愈8全技能9a核
16	53535 23223	   	256.14	橙橙1易伤1等级1时间1全技能	1平台2雷电减费3时间4等级5易伤6赏金塔7寒冰对黄8全技能9a核
17	11141 22232	   	255.14	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6烈焰减费78核9敌人爆炸
18	11141 22242	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a基地爆炸
19	11141 22243	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a平台
20	11141 32232	   	255.14	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6毒气减费78核9敌人爆炸
21	11141 32242	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a基地爆炸
22	11141 32243	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a平台
23	11141 22241	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a风暴减费
24	11141 22244	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a毒气减费
25	11141 22252	   	255.04	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电减费
26	11141 32241	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a风暴减费
27	11141 32244	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6a毒气减费78核
28	11141 32252	   	255.04	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6毒气减费78核9雷电减费
29	41124 51312	   	253.59	橙5易伤2伤害1时间	15伤害23456易伤5序列升级7金币生成8时间9额外掉落a核
30	41535 13233	 * 	252.44	橙2易伤2伤害2导弹对毒1喷火对甲1全技能	18伤害28易伤3低血量敌人4最后敌人58导弹对毒6全技能7挖青8序列升级9核a喷火对甲
31	41124 12111	   	252.31	橙4易伤2伤害1矿等1暴击	15伤害2345易伤5序列升级6立即金币7核8金币生成9矿等a暴击
32	41124 12112	   	252.31	橙4易伤2伤害1矿等1技能	15伤害2345易伤5序列升级6立即金币7核8金币生成9矿等a技能
33	41124 12211	   	252.21	橙4易伤2伤害1矿等1暴击	15伤害2345易伤5序列升级6立即金币7核8掉矿9矿等a暴击
34	41124 12212	   	252.21	橙4易伤2伤害1矿等1技能	15伤害2345易伤5序列升级6立即金币7核8掉矿9矿等a技能
35	33434 11522	 * 	249.10	橙橙1易伤1等级1伤害	1最后敌人2等级3金币生成4随机矿5伤害69核7赏金塔8策反a易伤
36	41262 32128	   	248.90	橙橙1易伤1等级1伤害	1伤害2易伤3敌人爆炸4双倍秒伤5平台6等级7寒冰对黄8加一9a核
37	43313 21165	   	246.27	橙橙1等级1伤害1矿等1暴击1核弹	1伤害2雷电3核弹4头目5随机技能67核8暴击9矿等a等级
38	52123 12223	   	245.64	橙橙1易伤1矿等1时间1全技能	1平台2矿等3赏金塔4机枪对头目5时间6易伤7低血量敌人8全技能9a核
39	52313 42223	   	245.64	橙橙1易伤1矿等1时间1全技能	1平台2矿等3防空对愈4易伤5时间6赏金塔7低血量敌人8全技能9a核
40	52313 31523	   	245.54	橙橙1易伤1矿等1时间1全技能	1平台2矿等3防空对愈4易伤5时间6雷电减费7全技能8赏金邻近9a核
41	52313 31623	   	245.54	橙橙1易伤1矿等1时间1全技能	1平台2矿等3防空对愈4易伤5时间6雷电减费7全技能8赏金塔9a核
42	52313 35223	   	245.54	橙橙1易伤1矿等1时间1全技能	1平台2矿等3防空对愈4易伤5时间6雷电减费7赏金塔8全技能9a核
43	33232 13436	   	244.31	橙橙1等级1伤害1时间1暴击1技能	13最后敌人2等级4伤害5时间6a核7风暴减费8技能9暴击
44	23613 33316	   	243.89	橙橙1易伤1全技能1时间1技能1暴击	1雷电2低血量敌人3易伤4技能5时间6暴击7金币生成8全技能9a核
45	23653 33316	   	243.89	橙橙1易伤1全技能1时间1暴击	1雷电2低血量敌人3易伤4策反5时间6暴击7金币生成8全技能9a核
46	36613 33316	   	243.89	橙橙1易伤1时间1全技能1技能1暴击	1最后敌人2头目3易伤4技能5时间6暴击7金币生成8全技能9a核
47	26613 33116	   	243.69	橙橙1易伤1暴击1技能1时间1全技能	1雷电2挖尘3易伤4技能5时间6暴击7掉矿8全技能9a核
48	41124 12324	   	243.40	橙4易伤2伤害1时间1卖塔	15伤害2345易伤5序列升级6立即金币7核8卖塔9攻速a时间
49	33246 52222	   	242.79	橙橙1易伤1等级1时间	13最后敌人2等级45额外掉落6随机矿78核9时间a易伤
50	11236 63221	   	242.59	橙橙2易伤1技能1暴击	1金币生成24易伤34掉矿4序列升级5毒液对冰6暴击79核8技能a低血量敌人
51	11236 63223	   	242.59	橙橙2易伤1技能1暴击	1金币生成24易伤34掉矿4序列升级5毒液对冰6暴击79核8技能a基地爆炸
52	11143 22222	   	242.59	橙橙2易伤1时间	1金币生成2a易伤3火球减费4额外掉落5随机矿6烈焰减费78核9时间
53	11143 22245	   	242.59	橙橙2易伤1暴击	1金币生成29易伤3火球减费4额外掉落5随机矿6烈焰减费78核a暴击
54	11143 32222	   	242.59	橙橙2易伤1时间	1金币生成2a易伤3火球减费4额外掉落5随机矿6毒气减费78核9时间
55	11143 32245	   	242.59	橙橙2易伤1暴击	1金币生成29易伤3火球减费4额外掉落5随机矿6毒气减费78核a暴击
56	11316 22222	   	242.59	橙橙2易伤1时间	1金币生成2a易伤3随机矿4额外掉落5毒气减费6烈焰减费78核9时间
57	11316 22245	   	242.59	橙橙2易伤1暴击	1金币生成29易伤3随机矿4额外掉落5毒气减费6烈焰减费78核a暴击
58	11316 32222	   	242.59	橙橙2易伤1时间	1金币生成2a易伤3随机矿4额外掉落56毒气减费78核9时间
59	11316 32245	   	242.59	橙橙2易伤1暴击	1金币生成29易伤3随机矿4额外掉落56毒气减费78核a暴击
60	11141 22212	   	242.59	橙橙1易伤1等级1全技能	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电a全技能
61	11141 22216	   	242.59	橙橙1易伤1等级1暴击	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电a暴击
62	11141 22223	   	242.59	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9时间a雷电
63	11141 22224	   	242.59	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9时间a策反
64	11141 22225	   	242.59	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9时间a双倍矿
65	11141 22231	   	242.59	橙橙1易伤1等级1技能	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9敌人爆炸a技能
66	11141 32212	   	242.59	橙橙1易伤1等级1全技能	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9雷电a全技能
67	11141 32216	   	242.59	橙橙1易伤1等级1暴击	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9雷电a暴击
68	11141 32223	   	242.59	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9时间a雷电
69	11141 32224	   	242.59	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9时间a策反
70	11141 32225	   	242.59	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9时间a双倍矿
71	11141 32231	   	242.59	橙橙1易伤1等级1技能	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9敌人爆炸a技能
72	11236 63222	   	242.49	橙橙2易伤1技能1暴击1挖怪	1金币生成24易伤34掉矿4序列升级5毒液对冰6暴击79核8技能a挖怪
73	11236 63224	   	242.49	橙橙2易伤1技能1暴击	1金币生成24易伤34掉矿4序列升级5毒液对冰6暴击79核8技能a双倍秒伤
74	11141 22226	   	242.49	橙橙1易伤1等级1时间1卖塔	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9时间a卖塔
75	11141 22251	   	242.49	橙橙1易伤1等级1技能	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电减费a技能
76	11141 22255	   	242.49	橙橙1易伤1等级1全技能	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电减费a全技能
77	11141 22261	   	242.49	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9双倍物品a时间
78	11141 32226	   	242.49	橙橙1易伤1等级1时间1卖塔	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9时间a卖塔
79	11141 32251	   	242.49	橙橙1易伤1等级1技能	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9雷电减费a技能
80	11141 32255	   	242.49	橙橙1易伤1等级1全技能	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9雷电减费a全技能
81	11141 32261	   	242.49	橙橙1易伤1等级1时间	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9双倍物品a时间
82	11236 23226	   	242.35	橙橙2易伤1时间1技能1卖塔	1金币生成24易伤34掉矿4序列升级5毒液对冰6卖塔79核8技能a时间
83	43313 21452	 * 	240.59	橙橙2伤害1易伤1核弹	19伤害29雷电3核弹4头目59随机技能67核8赏金邻近9序列升级a易伤
