0	Index      	 *	Score 	Summary	Detail	
1	66321 23252	 * 	295.10	橙橙2易伤2时间1等级1全技能	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9全技能a等级
2	66321 23226	 * 	291.03	橙橙3易伤2时间1全技能	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a全技能
3	66331 23252	   	282.54	橙橙2易伤1等级1时间1全技能	1额外掉落2时间34易伤5爆破对壮6双倍矿78核9全技能a等级
4	66321 23242	   	281.35	橙橙2易伤2时间1等级	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9赏金邻近a等级
5	66331 23226	   	278.48	橙橙3易伤1时间1全技能	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a全技能
6	66321 23216	   	277.38	橙橙3易伤2时间	1额外掉落24时间34a易伤4序列升级5爆破对壮6双倍矿78核9金币生成
7	66321 23221	   	277.38	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a平台
8	66321 23222	   	277.38	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a随机矿
9	66321 23225	   	277.38	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a敌人爆炸
10	66321 23223	   	277.28	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a加一
11	66321 23224	   	277.28	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a烈焰减费
12	66321 23214	 * 	275.31	橙橙2易伤2时间1伤害	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9金币生成a伤害
13	66321 23232	   	275.21	橙橙2易伤2时间1伤害	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9挖尘a伤害
14	63321 23252	   	268.99	橙橙2易伤1等级1全技能	1额外掉落24敌人爆炸34易伤4序列升级5爆破对壮6双倍矿78核9全技能a等级
15	63331 23252	   	268.89	橙橙2易伤1等级1全技能	1额外掉落2敌人爆炸34易伤5爆破对壮6双倍矿78核9全技能a等级
16	66321 23251	   	268.89	橙橙2易伤2时间1全技能	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9全技能a低血量敌人
17	66321 23253	   	268.89	橙橙2易伤2时间1全技能	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9全技能a金币生成
18	62321 23252	   	268.79	橙橙2易伤1等级1全技能	1额外掉落24挖尘34易伤4序列升级5爆破对壮6双倍矿78核9全技能a等级
19	62331 23252	   	268.79	橙橙2易伤1等级1全技能	1额外掉落2挖尘34易伤5爆破对壮6双倍矿78核9全技能a等级
20	66331 23242	   	268.79	橙橙2易伤1等级1时间	1额外掉落2时间34易伤5爆破对壮6双倍矿78核9赏金邻近a等级
21	66321 23233	 * 	266.59	橙橙2易伤3时间	1额外掉落24a时间34易伤4序列升级5爆破对壮6双倍矿78核9挖尘
