0	Index      	 *	Score 	Summary	Detail	
1	11314 31112	 * 	296.19	橙橙3易伤2暴击	18激光对愈278易伤3时间4掉矿58暴击6赏金塔8序列升级9a核
2	63423 31532	 * 	290.73	橙橙2易伤2等级	16敌人爆炸29等级3毒气减费48易伤5金币生成7a核
3	11111 63235	 * 	286.82	橙橙2易伤1矿等1攻速	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a攻速
4	36351 12214	 * 	285.84	橙橙1易伤1矿等1伤害1攻速	1赏金塔2烈焰减费3策反4易伤5矿等6a核7攻速8伤害9随机技能
5	11125 53612	   	281.48	橙橙3易伤1暴击	1激光对愈236易伤4敌人爆炸5掉矿7暴击8赏金邻近9a核
6	11111 63285	 * 	280.68	橙橙2易伤1伤害1攻速	1激光对愈23易伤4雷电5赏金塔68核7加一9伤害a攻速
7	11111 63237	   	278.87	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a时间
8	25243 63112	   	277.37	橙橙1易伤1等级1暴击	1全技能2赏金邻近3基础对冰4暴击5易伤6等级7额外掉落8随机技能9a核
9	36511 12214	   	276.09	橙橙1矿等1伤害1技能1攻速	1赏金塔2烈焰减费3技能4时间5矿等6a核7攻速8伤害9随机技能
10	11111 63287	   	272.73	橙橙2易伤1伤害	1激光对愈23易伤4雷电5赏金塔68核7加一9伤害a时间
11	11111 63231	   	270.57	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a敌人爆炸
12	11111 63233	   	270.57	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a低血量敌人
13	11111 63238	   	270.57	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a平台
14	11111 63232	   	270.47	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a基地爆炸
15	11111 63234	   	270.47	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a挖尘
16	11111 63236	   	270.47	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9矿等a暴雪减费
17	11111 63241	   	270.47	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9雷电减费a矿等
18	11111 63271	   	270.47	橙橙2易伤1矿等	1激光对愈23易伤4雷电5赏金塔68核7加一9基地爆炸a矿等
19	22222 31561	 * 	267.90	橙橙1等级1矿等1伤害	1全技能2风暴减费3矿等4挖尘5策反69核7挖青8等级a伤害
20	22222 35561	   	267.90	橙橙1等级1矿等1伤害	1全技能2风暴减费3矿等4挖尘5策反69核7基地爆炸8等级a伤害
21	43334 14223	 * 	267.87	橙橙2伤害1等级1技能	1基地爆炸2等级3挖尘48伤害5双倍秒伤6a核7随机矿9技能
22	31551 12214	   	267.78	橙橙1矿等1伤害1技能1攻速	1赏金塔2最后敌人3技能4毒气减费5矿等6a核7攻速8伤害9随机技能
23	36521 12214	   	267.78	橙橙1矿等1伤害1技能1攻速	1赏金塔2烈焰减费3技能4低血量敌人5矿等6a核7攻速8伤害9随机技能
24	36531 12214	   	267.78	橙橙1矿等1伤害1技能1攻速	1赏金塔2烈焰减费3技能4最后敌人5矿等6a核7攻速8伤害9随机技能
25	26113 55232	 * 	267.72	橙2易伤2伤害1等级1矿等	1全技能2平台35易伤45伤害5序列升级6等级7随机技能8矿等9双倍物品a核
26	26633 32124	 * 	267.38	橙2易伤2矿等1等级2暴击	1全技能2平台3a矿等4等级5a易伤6火球减费7金币生成8核9a暴击a序列升级
27	26633 31124	   	267.28	橙2易伤2矿等1等级2暴击	1全技能2平台3a矿等4等级5a易伤6火球减费7掉矿8核9a暴击a序列升级
28	26113 53221	 * 	266.58	橙2易伤3伤害1等级1攻速	1全技能2平台35易伤458伤害5序列升级6等级7攻速9核a双倍矿
29	26113 53222	   	266.58	橙2易伤3伤害1等级1攻速	1全技能2平台35易伤458伤害5序列升级6等级7攻速9核a金币生成
30	26113 53223	   	266.58	橙2易伤3伤害1等级1攻速	1全技能2平台35易伤458伤害5序列升级6等级7攻速9核a赏金邻近
31	26113 53225	   	266.58	橙2易伤3伤害1等级1攻速	1全技能2平台35易伤458伤害5序列升级6等级7攻速9核a低血量敌人
32	26113 53224	   	266.48	橙2易伤3伤害1等级1攻速	1全技能2平台35易伤458伤害5序列升级6等级7攻速9核a掉矿
33	11313 53612	   	266.32	橙橙2易伤1暴击	1激光对愈26易伤3时间4掉矿5立即金币7暴击8赏金邻近9a核
34	11335 53612	   	266.32	橙橙2易伤1暴击	1激光对愈26易伤3时间4双倍矿5掉矿7暴击8赏金邻近9a核
35	11564 33312	   	266.32	橙橙2易伤1暴击	1激光对愈27易伤3双倍秒伤4金币生成5暴击6最后敌人8时间9a核
