0	Index      	 *	Score 	Summary	Detail	
1	62262 35223	 * 	299.29	橙2易伤3伤害2等级1矿等1技能	1雷电减费28等级3技能48易伤5赏金邻近678伤害8序列升级9矿等a核
2	15311 15533	 * 	297.26	橙橙2等级1易伤1矿等	18等级2随机矿3立即金币4矿等5易伤6最后敌人7a核9全技能
3	15311 35533	   	297.26	橙橙2等级1易伤1矿等	18等级2随机矿3立即金币4矿等5易伤6低血量敌人7a核9全技能
4	15311 25533	   	297.16	橙橙2等级1易伤1矿等	18等级2随机矿3立即金币4矿等5易伤6挖青7a核9全技能
5	62262 33236	 * 	296.55	橙3易伤3伤害2等级1技能	1雷电减费28等级3技能478易伤5赏金邻近689伤害8序列升级a核
6	54132 31243	 * 	295.12	橙橙2易伤1矿等1攻速	1全技能25易伤3基地爆炸4矿等6金币生成7多重对甲8a核9攻速
7	15611 32224	   	288.86	橙橙2等级1易伤1矿等	13等级2随机矿3序列升级4矿等5易伤6低血量敌人7金币生成8基础对甲9a核
8	15611 31224	   	288.76	橙橙2等级1易伤1矿等	13等级2随机矿3序列升级4矿等5易伤6低血量敌人7掉矿8基础对甲9a核
9	33361 41126	 * 	286.91	橙3易伤1等级2攻速2暴击1技能	1技能29暴击369易伤4等级5双倍矿7随机技能89攻速9序列升级a核
10	54315 31223	 * 	286.58	橙橙2易伤1伤害1暴击	1全技能24易伤3随机矿5暴击69核7低血量敌人8赏金塔a伤害
11	54315 32223	   	286.48	橙橙2易伤1伤害1暴击	1全技能24易伤3随机矿5暴击69核7挖尘8赏金塔a伤害
12	61136 13215	 * 	284.80	橙3易伤3矿等1等级	1雷电减费28基地爆炸3赏金邻近458矿等678易伤8序列升级9核a等级
13	62312 32542	   	282.99	橙橙1易伤1等级1矿等	1雷电减费2等级3时间4矿等5易伤6赏金塔79核8雷电a低血量敌人
14	62312 32543	   	282.99	橙橙1易伤1等级1矿等	1雷电减费2等级3时间4矿等5易伤6赏金塔79核8雷电a随机矿
15	62312 32541	   	282.89	橙橙1易伤1等级1矿等	1雷电减费2等级3时间4矿等5易伤6赏金塔79核8雷电a掉矿
16	13213 44224	 * 	276.56	橙橙2易伤1等级	1等级2爆破对冰3金币生成47易伤5敌人爆炸68低血量敌人9a核
17	15311 32224	   	274.68	橙橙1易伤1等级1矿等	1等级2随机矿3立即金币4矿等5易伤6低血量敌人7金币生成8基础对甲9a核
18	15341 33224	   	274.68	橙橙1易伤1等级1矿等	1等级2随机矿3立即金币4金币生成5易伤6低血量敌人7矿等8基础对甲9a核
19	15311 31224	   	274.58	橙橙1易伤1等级1矿等	1等级2随机矿3立即金币4矿等5易伤6低血量敌人7掉矿8基础对甲9a核
20	62262 35233	   	272.99	橙2易伤3伤害2等级1技能	1雷电减费28等级3技能48易伤5赏金邻近678伤害8序列升级9掉矿a核
21	21163 23115	   	272.97	橙橙2易伤2时间2随机技能	15暴雪减费2赏金塔39易伤4平台6a核79随机技能89时间9序列升级
22	26163 23115	   	272.97	橙橙2易伤2时间2随机技能	15暴雪减费2赏金邻近39易伤4平台6a核79随机技能89时间9序列升级
23	33122 62326	 * 	269.82	橙3易伤2技能2攻速2暴击	17技能29暴击39攻速4随机技能5掉矿689易伤9序列升级a核
24	33162 62326	   	269.82	橙3易伤2技能2攻速2暴击	17技能29暴击39攻速4掉矿5随机技能689易伤9序列升级a核
25	11312 26326	 * 	269.55	橙2易伤2等级2暴击1技能1攻速2随机技能	19等级2风暴减费39随机技能4攻速5技能68易伤79暴击9序列升级a核
26	16312 26326	   	269.55	橙2易伤2等级2暴击1技能1攻速2随机技能	19等级2暴雪减费39随机技能4攻速5技能68易伤79暴击9序列升级a核
