0	Index      	 *	Score 	Summary	Detail	
1	26534 33311	 * 	296.15	橙橙1易伤1等级1矿等1暴击2卖塔	1毒液对黄24卖塔3等级5矿等69核7暴击8时间a易伤
2	26534 33312	 * 	285.39	橙橙2矿等1等级1暴击2卖塔	1毒液对黄24卖塔3等级5a矿等69核7暴击8时间
3	22513 22683	 * 	282.79	橙橙1易伤1等级1矿等	1毒液对黄2基地爆炸3加一4易伤5金币生成6时间7等级89核a矿等
4	22514 22683	   	282.79	橙橙1易伤1等级1矿等	1毒液对黄2基地爆炸3加一4易伤5随机矿6时间7等级89核a矿等
5	11355 22331	   	279.97	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3最后敌人4随机技能5时间6易伤7a核8攻速9等级
6	11525 22331	   	279.97	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3随机技能4最后敌人5时间6易伤7a核8攻速9等级
7	11531 12331	   	279.97	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3随机技能4时间5易伤6敌人爆炸7a核8攻速9等级
8	11155 22331	   	279.87	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3基地爆炸4随机技能5时间6易伤7a核8攻速9等级
9	11531 42331	   	279.87	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3随机技能4时间5易伤6挖尘7a核8攻速9等级
10	11536 22331	   	279.87	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3随机技能4时间5基地爆炸6易伤7a核8攻速9等级
11	52243 22331	   	279.87	橙橙1易伤1等级1攻速	1雷电减费2时间3最后敌人4双倍秒伤5随机技能6易伤7a核8攻速9等级
12	52245 32331	   	279.87	橙橙1易伤1等级1攻速	1雷电减费2时间3最后敌人4双倍秒伤5易伤6随机技能7a核8攻速9等级
13	43454 74232	 * 	277.80	橙橙2易伤1矿等	1a雷电2加一3额外掉落4a策反5矿等69核7随机技能8a易伤a序列升级
14	22512 22683	   	274.48	橙橙1易伤1等级1矿等	1毒液对黄2基地爆炸3加一4易伤5最后敌人6随机矿7等级89核a矿等
15	22533 22683	   	274.48	橙橙1易伤1等级1矿等	1毒液对黄2基地爆炸3加一4最后敌人5易伤6随机矿7等级89核a矿等
16	11226 47133	   	274.26	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤38易伤4攻速5加一6a核7策反9暴击
17	61126 47133	   	274.16	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3基地爆炸4攻速5加一6a核7策反9暴击
18	11351 12331	   	271.67	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3最后敌人4随机技能5易伤6敌人爆炸7a核8攻速9等级
