0	Index      	 *	Score 	Summary	Detail	
1	61511 44227	 * 	293.31	橙2易伤2矿等2伤害1等级1技能1卖塔	1a易伤2等级3加一4卖塔5技能6核7双倍秒伤8a伤害9a矿等a序列升级
2	61522 42353	 * 	290.73	橙橙2易伤2等级	19易伤24等级3加一5平台6金币生成7敌人爆炸8a核
3	61651 23332	 * 	285.07	橙2易伤2矿等2伤害1等级	17易伤2等级37矿等4挖尘5敌人爆炸67伤害7序列升级8时间9策反a核
4	65321 23332	   	285.07	橙2易伤2矿等2伤害1等级	17易伤2挖尘37矿等4等级5敌人爆炸67伤害7序列升级8时间9策反a核
5	11265 11423	 * 	282.79	橙橙1易伤1等级1矿等	12多重对愈2序列升级3矿等4挖尘5全技能6敌人爆炸7a核8易伤9等级
6	61522 22383	   	278.80	橙橙2等级1易伤1攻速	1易伤24等级3加一5平台6攻速7敌人爆炸8双倍秒伤9a核
7	61643 23232	   	276.76	橙2易伤2矿等2伤害1等级	17易伤2等级37矿等4双倍秒伤5立即金币67伤害7序列升级8敌人爆炸9策反a核
8	61643 23332	   	276.76	橙2易伤2矿等2伤害1等级	17易伤2等级37矿等4双倍秒伤5立即金币67伤害7序列升级8最后敌人9策反a核
9	61622 33342	 * 	276.02	橙3易伤2矿等1等级1暴击	179易伤2等级39矿等4暴击5挖尘69风暴减费8赏金邻近9序列升级a核
10	31534 25127	   	275.42	橙2易伤2矿等1等级1伤害1攻速	1a低血量敌人2等级3加一4a易伤5攻速6伤害7平台8核9a矿等a序列升级
11	65135 33311	 * 	272.41	橙3易伤2伤害2攻速1技能	189易伤2挖尘38伤害4技能5金币生成6随机技能78攻速8序列升级a核
12	61523 64214	   	270.86	橙橙2等级1易伤	1易伤24等级3加一5敌人爆炸6寒冰对甲79核8激光对冰a时间
13	51531 14621	   	270.33	橙橙1易伤1等级1暴击	1基地爆炸2等级3加一4易伤5全技能6立即金币79核8暴击a赏金塔
14	51531 14622	   	270.33	橙橙1易伤1等级1暴击	1基地爆炸2等级3加一4易伤5全技能6立即金币79核8暴击a雷电
15	51531 14624	   	270.33	橙橙1易伤1等级1暴击	1基地爆炸2等级3加一4易伤5全技能6立即金币79核8暴击a毒液对冰
16	51531 14623	   	270.23	橙橙1易伤1等级1暴击	1基地爆炸2等级3加一4易伤5全技能6立即金币79核8暴击a挖青
17	61523 64213	   	269.49	橙橙2等级1易伤	1易伤24等级3加一5敌人爆炸6寒冰对甲79核8激光对冰a随机技能
18	35136 51331	 * 	268.44	橙橙1易伤1等级1伤害	1低血量敌人2挖尘3伤害4易伤5金币生成68核7掉矿9等级a策反
19	35136 51332	   	268.44	橙橙1易伤1等级1伤害	1低血量敌人2挖尘3伤害4易伤5金币生成68核7掉矿9等级a敌人爆炸
20	35136 51333	   	268.34	橙橙1易伤1等级1伤害	1低血量敌人2a挖尘3伤害4易伤5金币生成68核7掉矿9等级
21	61411 23122	 * 	267.85	橙2矿等1易伤1等级1伤害2暴击1技能	1易伤2等级3a暴击4赏金邻近57矿等6伤害8技能9核
22	65124 23232	   	267.43	橙2易伤2伤害1等级1矿等2时间	17易伤2挖尘37伤害4等级5矿等67时间7序列升级8敌人爆炸9策反a核
23	65124 23332	   	267.43	橙2易伤2伤害1等级1矿等2时间	17易伤2挖尘37伤害4等级5矿等67时间7序列升级8最后敌人9策反a核
24	22221 11662	   	266.42	橙橙2易伤1暴击	16金币生成2导弹对黄37易伤4全技能5赏金塔89核a暴击
25	61582 34111	   	265.91	橙2易伤2矿等1等级1伤害	19易伤2等级3加一4金币生成57矿等6随机技能8伤害a核
26	61542 38211	   	265.81	橙2易伤2矿等1等级1伤害	19易伤2等级3加一4掉矿58矿等6随机技能7伤害a核
27	35236 51331	   	265.27	橙橙1易伤1等级1技能	1低血量敌人2挖尘3金币生成4技能5易伤68核7掉矿9等级a策反
28	35236 51332	   	265.27	橙橙1易伤1等级1技能	1低血量敌人2挖尘3金币生成4技能5易伤68核7掉矿9等级a敌人爆炸
29	35236 51333	   	265.17	橙橙1易伤1等级1技能	1低血量敌人2a挖尘3金币生成4技能5易伤68核7掉矿9等级
30	31513 72323	   	264.85	橙橙1易伤1等级1卖塔	1低血量敌人2等级3加一4卖塔5敌人爆炸6全技能79核8时间a易伤
31	61431 22135	 * 	264.66	橙3易伤2技能1等级1暴击	179易伤2等级3暴击4敌人爆炸5a技能6随机技能8核
32	21234 62134	   	263.82	橙橙1易伤1等级	1金币生成2随机矿3易伤4雷电5随机技能6最后敌人79核8时间a等级
33	61134 62131	   	263.82	橙橙1易伤1等级	1易伤2等级3金币生成4雷电5随机技能6最后敌人79核8时间a赏金塔
34	61134 62132	   	263.82	橙橙1易伤1等级	1易伤2等级3金币生成4雷电5随机技能6最后敌人79核8时间a额外掉落
35	61134 62133	   	263.82	橙橙1易伤1等级	1易伤2等级3金币生成4雷电5随机技能6最后敌人79核8时间a敌人爆炸
36	21234 42234	   	263.72	橙橙1易伤1等级	1金币生成2随机矿3易伤4雷电5随机技能6时间79核8基地爆炸a等级
37	61134 42231	   	263.72	橙橙1易伤1等级	1易伤2等级3金币生成4雷电5随机技能6时间79核8基地爆炸a赏金塔
38	61134 42232	   	263.72	橙橙1易伤1等级	1易伤2等级3金币生成4雷电5随机技能6时间79核8基地爆炸a立即金币
39	61134 42233	   	263.62	橙橙1易伤1等级	1易伤2等级3金币生成4雷电5随机技能6时间79核8基地爆炸a双倍秒伤
40	65122 36211	 * 	263.38	橙3易伤2伤害1等级2随机技能	179易伤2挖尘37伤害4等级5技能点67随机技能7序列升级8策反a核
