0	Index      	 *	Score 	Summary	Detail	
1	65113 35323	 * 	304.53	橙3易伤2等级3伤害1暴击1攻速	13a易伤2暴击46a伤害5攻速7加农对直升8a等级9核a序列升级
2	64111 22421	 * 	303.77	橙3易伤3雷电2等级	18a易伤2挖青3低血量敌人4赏金邻近578雷电68等级8序列升级9核
3	64231 22421	   	299.67	橙3易伤3雷电2等级	18a易伤2挖青3赏金塔4最后敌人578雷电68等级8序列升级9核
4	21333 43366	 * 	294.41	橙橙1等级2伤害1雷电	1时间26基地爆炸3等级4掉矿56伤害6序列升级7全技能8a核9雷电
5	42215 33432	   	289.48	橙2易伤2等级2雷电1伤害	18等级2导弹对毒38易伤4赏金塔5赏金邻近68雷电7核8序列升级9随机矿a伤害
6	42235 33432	   	289.48	橙2易伤2等级2雷电1伤害	18等级2导弹对毒38易伤4赏金邻近5赏金塔68雷电7核8序列升级9随机矿a伤害
7	43322 42243	 * 	287.24	橙3等级2易伤2雷电1伤害1暴击	18a等级2双倍秒伤3喷火对甲4a雷电5暴击6伤害7核9a易伤a序列升级
8	42215 33422	   	287.19	橙3雷电2易伤2等级	18等级2导弹对毒38易伤4赏金塔5赏金邻近689雷电7核8序列升级a低血量敌人
9	42235 33422	   	287.19	橙3雷电2易伤2等级	18等级2导弹对毒38易伤4赏金邻近5赏金塔689雷电7核8序列升级a低血量敌人
10	42215 33423	   	287.09	橙3雷电2易伤2等级	18等级2导弹对毒38易伤4赏金塔5赏金邻近689雷电7核8序列升级a挖尘
11	42235 33423	   	287.09	橙3雷电2易伤2等级	18等级2导弹对毒38易伤4赏金邻近5赏金塔689雷电7核8序列升级a挖尘
12	42215 33421	 * 	286.63	橙3等级3雷电2易伤	18a等级2导弹对毒38易伤4赏金塔5赏金邻近689雷电7核8序列升级
13	42235 33421	   	286.63	橙3等级3雷电2易伤	18a等级2导弹对毒38易伤4赏金邻近5赏金塔689雷电7核8序列升级
14	43622 52333	   	285.52	橙3雷电2等级2易伤1暴击	1a等级2双倍秒伤39a雷电4导弹对黄5暴击6技能7核8a易伤a序列升级
15	22132 33366	   	284.49	橙橙1等级1雷电1伤害2时间	12时间3低血量敌人4等级5掉矿6伤害7全技能8a核9雷电
16	64111 22422	   	281.63	橙3雷电2等级2易伤	18易伤2挖青3低血量敌人4赏金邻近578雷电68等级8序列升级9核a随机矿
17	64111 22423	   	281.53	橙3雷电2易伤2等级	18易伤2挖青3低血量敌人4赏金邻近578雷电68等级8序列升级9核a压碎对直升
18	42322 31124	 * 	279.89	橙2等级2雷电1易伤1矿等2暴击1卖塔	18等级2导弹对毒38雷电4低血量敌人5矿等6卖塔78暴击8序列升级9核a易伤
19	64231 22422	   	277.53	橙3雷电2等级2易伤	18易伤2挖青3赏金塔4最后敌人578雷电68等级8序列升级9核a随机矿
20	64231 22423	   	277.43	橙3雷电2易伤2等级	18易伤2挖青3赏金塔4最后敌人578雷电68等级8序列升级9核a压碎对直升
21	65112 12316	   	276.75	橙2易伤1等级1雷电1伤害2全技能1暴击1攻速	13易伤2暴击4伤害58全技能6攻速7核9等级a雷电
22	65113 22316	   	276.75	橙2易伤1等级1雷电1伤害2全技能1暴击1攻速	13易伤2暴击4伤害5攻速68全技能7核9等级a雷电
23	21333 33366	   	276.72	橙橙1等级1雷电1伤害	1时间26基地爆炸3等级4掉矿5伤害7全技能8a核9雷电
24	21342 33366	   	276.72	橙橙1等级1雷电1伤害	1时间24基地爆炸3等级5掉矿6伤害7全技能8a核9雷电
25	24132 33366	   	276.72	橙橙1等级1雷电1伤害	1时间23低血量敌人4等级5掉矿6伤害7全技能8a核9雷电
26	25132 33366	   	276.72	橙橙1等级1雷电1伤害	1时间2双倍矿3低血量敌人4等级5掉矿6伤害7全技能8a核9雷电
27	43324 31311	   	276.52	橙橙1等级1雷电1伤害	1等级2双倍秒伤3喷火对甲4雷电5平台6伤害7掉矿8a核9时间
28	43424 31311	   	276.52	橙橙1等级1雷电1伤害	1等级2双倍秒伤3加农对直升4雷电5平台6伤害7掉矿8a核9时间
29	43624 31311	   	276.52	橙橙1等级1雷电1伤害	1等级2双倍秒伤3雷电4导弹对黄5平台6伤害7掉矿8a核9时间
30	65133 22611	 * 	276.49	橙4易伤1等级1雷电1暴击	1359易伤2暴击4全技能6核7额外掉落8等级a雷电
