0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63433 21413	2	 * 	301.44	橙4易伤3伤害2时间	19时间2全技能349a易伤567伤害8核9序列升级
2	61211 13415	7	 * 	282.56	橙3易伤3伤害3时间	138时间2a最后敌人48a伤害5基地爆炸6挖尘78a易伤8a序列升级9核
3	61213 13415	7	   	282.56	橙3易伤3伤害3时间	138时间2a最后敌人48a伤害5低血量敌人6挖尘78a易伤8a序列升级9核
4	61331 13415	7	   	282.56	橙3易伤3伤害3时间	148时间2a最后敌人38a伤害5基地爆炸6挖尘78a易伤8a序列升级9核
5	61333 13415	7	   	282.56	橙3易伤3伤害3时间	148时间2a最后敌人38a伤害5低血量敌人6挖尘78a易伤8a序列升级9核
6	62211 13415	7	   	282.56	橙3易伤3伤害3时间	138时间2a低血量敌人48a伤害5基地爆炸6挖尘78a易伤8a序列升级9核
7	62331 13415	7	   	282.56	橙3易伤3伤害3时间	148时间2a低血量敌人38a伤害5基地爆炸6挖尘78a易伤8a序列升级9核
8	63432 21531	2	 * 	281.36	橙5易伤1伤害1时间	1时间2全技能3479a易伤5雷电6伤害8核
9	63432 23431	2	   	281.36	橙5易伤1伤害1时间	1时间2全技能3489a易伤5雷电6伤害7核
10	63433 21411	2	   	278.80	橙3易伤3伤害2时间	19时间2全技能349易伤567伤害8核9序列升级a矿等
11	63433 21412	2	   	278.80	橙3易伤3伤害2时间	19时间2全技能349易伤567伤害8核9序列升级a随机矿
12	63432 21533	2	   	276.40	橙4易伤2时间1伤害	1a时间2全技能3479易伤5雷电6伤害8核
13	63432 23433	2	   	276.40	橙4易伤2时间1伤害	1a时间2全技能3489易伤5雷电6伤害7核
14	43136 21531	2	   	271.76	橙5易伤1伤害2雷电	1敌人爆炸2全技能35雷电4579a易伤5序列升级6伤害8核
15	43136 23431	2	   	271.76	橙5易伤1伤害2雷电	1敌人爆炸2全技能35雷电4589a易伤5序列升级6伤害7核
