0	Index      	 *	Score 	Summary	Detail	
1	41311 45223	 * 	289.91	DCR|3MLV|2VULN|1TLV|2CDMG	1aVULN|24aMLV|3TLV|57FEWX|6AART|8RCR|9aCDMG|aBPWR
2	42311 52511	 * 	287.67	DCR|3VULN|2MLV|1TLV|1AAC	19aVULN|2AAC|3TLV|48MLV|5DUR|6CGEN|7RCR
3	41361 23611	 * 	286.80	DCR|4VULN|1TLV|1MLV|1DMG	169aVULN|2MLV|3TLV|4RMIN|5DUR|7DMG|8RCR
4	45311 23611	   	286.80	DCR|4VULN|1TLV|1MLV|1DMG	169aVULN|2AME|3TLV|4MLV|5DUR|7DMG|8RCR
5	41331 23611	   	286.70	DCR|4VULN|1TLV|1MLV|1DMG	169aVULN|2MLV|3TLV|4ERES|5DUR|7DMG|8RCR
6	51311 23611	   	286.70	DCR|4VULN|1TLV|1MLV|1DMG	1ERES|269aVULN|3TLV|4MLV|5DUR|7DMG|8RCR
7	43211 43124	 * 	286.62	DCR|3VULN|3MLV|3DUR|1CDMG	18aVULN|2CDMG|38aDUR|4RMIN|5AETHUN|68aMLV|7RCR|8aBPWR|9RPLT
8	41314 23215	 * 	286.47	DCR|3MLV|1VULN|1TLV|1DMG|1AAC|1ASPD	1VULN|249MLV|3TLV|5ASPD|6DUST|7DMG|8AAC|aRCR
9	41311 45232	   	284.80	DCR|3MLV|2VULN|1TLV|2DUR	1aVULN|24aMLV|3TLV|57FEWX|6AART|8RCR|9aDUR|aBPWR
10	41125 14274	 * 	284.12	DCR|DCR|2VULN|1MLV|1CDMG	1aVULN|2MLV|3FRZICY|4MDPS|5CDMG|6MBVNT|7ERES|89RCR
11	42311 26611	   	283.63	DCR|4VULN|1TLV|1MLV|1AAC	169aVULN|2AAC|3TLV|4MLV|5DUR|7AME|8RCR
12	42311 52311	   	283.63	DCR|4VULN|1TLV|1MLV|1AAC	189aVULN|2AAC|3TLV|4MLV|5DUR|6CGEN|7RCR
13	41133 63112	 * 	281.50	DCR|3MLV|2VULN|1TLV|1DMG	15VULN|28aMLV|3FRZICY|4TBNT|6TLV|7DMG|9RCR
14	41321 13112	   	281.40	DCR|3MLV|2VULN|1TLV|1DMG	16VULN|28aMLV|3TLV|4BBNT|5CANSTR|7DMG|9RCR
15	41361 23631	 * 	280.83	DCR|3VULN|2TLV|1MLV|1DMG	16aVULN|2MLV|39TLV|4RMIN|5DUR|7DMG|8RCR
16	45311 23631	   	280.83	DCR|3VULN|2TLV|1MLV|1DMG	16aVULN|2AME|39TLV|4MLV|5DUR|7DMG|8RCR
17	41331 23661	   	280.73	DCR|3VULN|2TLV|1MLV|1DMG	16aVULN|2MLV|39TLV|4ERES|5DUR|7DMG|8RCR
18	51311 23661	   	280.73	DCR|3VULN|2TLV|1MLV|1DMG	1ERES|26aVULN|39TLV|4MLV|5DUR|7DMG|8RCR
19	41125 12273	 * 	280.32	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2aMLV|3FRZICY|4MDPS|5CDMG|6MBVNT|7RMIN|89RCR
20	41125 14273	   	280.22	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2aMLV|3FRZICY|4MDPS|5CDMG|6MBVNT|7ERES|89RCR
21	41331 23615	   	280.21	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	169VULN|2MLV|3TLV|4ERES|5DUR|7DMG|8RCR|aCDMG
22	51311 23615	   	280.21	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1ERES|269VULN|3TLV|4MLV|5DUR|7DMG|8RCR|aCDMG
23	41311 36611	   	279.36	DCR|3VULN|2MLV|1TLV|1AAC	19aVULN|24MLV|3TLV|5FEWX|6AAC|7AME|8RCR
24	41312 61632	 * 	279.13	ACR|3VULN|3MLV|2TLV|1AAC	169VULN|248MLV|39TLV|5RCR|79ZMB|9BPWR|aAAC
25	42513 34812	 * 	278.82	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1VULN|2AAC|3MBVNT|4TLV|5AEFRZ|6aRCR|7FEWX|8CDMG|9MDPS
26	41216 23611	   	278.50	DCR|4VULN|1TLV|1MLV|1DMG	169aVULN|2MLV|3LWND|4TLV|5RMIN|7DMG|8RCR
27	41215 23611	   	278.40	DCR|4VULN|1TLV|1MLV|1DMG	169aVULN|2MLV|3LWND|4TLV|5ERES|7DMG|8RCR
28	41335 23611	   	278.30	DCR|4VULN|1TLV|1MLV|1DMG	169aVULN|2MLV|3TLV|4ERES|5DUST|7DMG|8RCR
29	51315 23611	   	278.30	DCR|4VULN|1TLV|1MLV|1DMG	1ERES|269aVULN|3TLV|4MLV|5DUST|7DMG|8RCR
30	42311 26631	   	277.66	DCR|3VULN|2TLV|1MLV|1AAC	16aVULN|2AAC|39TLV|4MLV|5DUR|7AME|8RCR
31	42311 52361	   	277.66	DCR|3VULN|2TLV|1MLV|1AAC	18aVULN|2AAC|39TLV|4MLV|5DUR|6CGEN|7RCR
32	41324 13112	   	277.59	DCR|3MLV|2VULN|1TLV|1ASPD	16VULN|28aMLV|3TLV|4BBNT|5ASPD|7VENFST|9RCR
33	41324 12231	   	277.22	DCR|2VULN|2MLV|1TLV|1ASPD|1CDMG	16VULN|29MLV|3TLV|4BBNT|5ASPD|7CDMG|8AART|aRCR
34	42311 52315	   	277.14	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	189VULN|2AAC|3TLV|4MLV|5DUR|6CGEN|7RCR|aCDMG
35	41133 61512	 * 	276.85	DCR|3VULN|2MLV|2TLV	157VULN|2aMLV|37FRZICY|4TBNT|67TLV|7BPWR|8CGEN|9RCR
36	41221 63315	   	276.75	DCR|3VULN|2MLV|2TLV	16aVULN|25MLV|3aLWND|46SNIFST|6aBPWR|7CGEN|8aTLV|9RCR
37	41321 11512	   	276.65	DCR|3VULN|2MLV|2TLV	167VULN|2aMLV|37TLV|4BBNT|57CANSTR|7BPWR|8CGEN|9RCR
38	41311 15611	   	276.55	DCR|3VULN|2MLV|2TLV	19aVULN|24MLV|36TLV|5FEWX|7BEXP|8RCR
