0	Index      	 *	Score 	Summary	Detail	
1	44231 22341	 * 	207.38	ACR|2AART|2VULN|2DMG|3CDMG	149CDMG|2RCR|35AART|6DUST|79DMG|89VULN|9BPWR|aBEXP
2	44231 22343	   	207.38	ACR|2AART|2DMG|2VULN|3CDMG	149CDMG|2RCR|35AART|6DUST|79DMG|89VULN|9BPWR|aLWND
3	15321 13443	   	207.13	ACR|2VULN|2DMG|3CDMG|1AART|1ZMB|1DUR|1SELL	19DMG|2SELL|3DUR|4RCR|59VULN|6AART|789CDMG|9BPWR|aZMB
4	15321 13341	 * 	205.74	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	189DMG|2SELL|3DUR|4RCR|59VULN|6AART|79CDMG|9BPWR|aBEXP
5	15321 13343	 * 	205.74	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	189DMG|2SELL|3DUR|4RCR|59VULN|6AART|79CDMG|9BPWR|aLWND
6	15321 13344	 * 	205.74	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	189DMG|2SELL|3DUR|4RCR|59VULN|6AART|79CDMG|9BPWR|aMLV
7	15321 13346	 * 	205.74	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	189DMG|2SELL|3DUR|4RCR|59VULN|6AART|79CDMG|9BPWR|aLHND
8	15321 13345	 * 	205.64	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	189DMG|2SELL|3DUR|4RCR|59VULN|6AART|79CDMG|9BPWR|aTLV
9	44232 23161	   	202.87	ACR|2VULN|2DMG|1AART|3CDMG|1DUR	14aCDMG|2RCR|3AART|5ERES|6aDMG|7CGEN|8DUR|9aVULN|aBPWR
10	15522 43473	 * 	199.36	DCR|3VULN|3DMG|3ZMB|1SELL	19aDMG|2SELL|3MBVNT|4RMIN|5CGEN|6RCR|79aZMB|89aVULN|9aBPWR
11	44232 22314	 * 	198.77	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	14CDMG|2RCR|3AART|5ERES|679DMG|8VULN|aZMB
12	15321 16233	   	197.33	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD|1DUR|1SELL	1aDMG|2SELL|3DUR|4RCR|5aVULN|6AART|7LWND|8CDMG|9aASPD|aBPWR
13	44231 31352	   	196.63	ACR|2AART|2DMG|3CDMG|1VULN|1DUR	146CDMG|2RCR|35AART|6BPWR|79DMG|8DUR|aVULN
14	15321 13441	   	196.13	ACR|2VULN|2DMG|3CDMG|1AART|1DUR|1SELL	19DMG|2SELL|3DUR|4RCR|59VULN|6AART|789CDMG|9BPWR|aCGEN
15	15321 13442	   	196.03	ACR|2VULN|2DMG|3CDMG|1AART|1DUR|1SELL	19DMG|2SELL|3DUR|4RCR|59VULN|6AART|789CDMG|9BPWR|aDUST
16	44232 22162	   	194.70	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	14CDMG|2RCR|3AART|5ERES|67aDMG|8DUR|9VULN
17	44232 22362	   	194.70	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	14CDMG|2RCR|3AART|5ERES|67aDMG|8VULN|9DUR
18	44232 22311	   	194.70	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	14CDMG|2RCR|3AART|5ERES|679DMG|8VULN|aDUR
19	44232 22316	   	194.70	ACR|3DMG|1AART|1VULN|2CDMG|1ASPD	14CDMG|2RCR|3AART|5ERES|679DMG|8VULN|aASPD
20	44232 22315	 * 	193.80	ACR|3DMG|1AART|3CDMG|1VULN	14aCDMG|2RCR|3AART|5ERES|679DMG|8VULN
21	15623 13341	   	193.45	ACR|3DMG|1AART|1VULN|2CDMG|2DUR|1SELL	189DMG|2SELL|3VULN|4RCR|59DUR|6AART|79CDMG|9BPWR|aBEXP
22	15623 13343	   	193.45	ACR|3DMG|1AART|1VULN|2CDMG|2DUR|1SELL	189DMG|2SELL|3VULN|4RCR|59DUR|6AART|79CDMG|9BPWR|aLWND
23	26531 52332	 * 	192.35	DCR|3DMG|2VULN|1CDMG|2DUR|1ZMB	1LIT|2aDUR|3LHND|4CDMG|59aDMG|6RCR|7ZMB|8aVULN|aBPWR
24	15321 14234	 * 	190.87	ACR|3DMG|2VULN|1AART|2DUR|1SELL	178DMG|2SELL|3aDUR|4RCR|5aVULN|6AART|9aERES|aBPWR
25	13333 13641	 * 	190.77	DCR|4VULN|2DMG|1AART	19DMG|2RCVC|39DUST|469aVULN|5AART|7RMIN|8RCR|9BPWR
26	44231 41412	   	190.49	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	14CDMG|2RCR|35AART|6MBVNT|78VULN|9DMG|aDUR
27	44232 21114	   	189.70	ACR|2VULN|2DMG|1AART|2CDMG	14CDMG|2RCR|3AART|5ERES|69DMG|7aVULN|8RCVC
