0	Index      	 *	Score 	Summary	Detail	
1	41243 13326	 * 	205.49	ACR|4VULN|3ZMB|1AART|1DMG	189BEXP|289ZMB|3789VULN|4AART|5RCR|6RCVC|89BPWR|aDMG
2	21243 22513	 * 	202.99	ACR|4VULN|2DMG|1AART|1ZMB	18LWND|2ZMB|389aVULN|4AART|5RCR|6RMIN|78DMG|8BPWR
3	12431 54331	 * 	201.18	DCR|3VULN|1AART|3ASPD|1DMG|1ZMB|1DUR	145ASPD|2AART|35aVULN|5BPWR|6DUR|7RCR|8DMG|9ZMB
4	13241 52513	 * 	197.02	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	18ASPD|2LEGI|389VULN|4AART|5ZMB|6DUST|78DMG|8BPWR|aRCR
5	21243 22516	   	195.83	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	18LWND|2ZMB|389VULN|4AART|5RCR|6RMIN|78DMG|8BPWR|aDUR
6	12431 24331	   	194.25	DCR|3VULN|1AART|3ASPD|1DMG|1ZMB	145ASPD|2AART|35aVULN|5BPWR|6LHND|7RCR|8DMG|9ZMB
7	21243 22533	 * 	192.74	ACR|3VULN|2DMG|1AART|2ZMB	18LWND|29ZMB|38aVULN|4AART|5RCR|6RMIN|78DMG|8BPWR
8	41243 13322	   	192.37	ACR|4VULN|3ZMB|1AART|1DUR	189BEXP|289ZMB|3789VULN|4AART|5RCR|6RCVC|89BPWR|aDUR
9	21243 62511	   	191.22	ACR|4VULN|1AART|1CDMG|2DUR|1ZMB	18LWND|2ZMB|3689VULN|4AART|5RCR|78DUR|8BPWR|aCDMG
10	21243 22553	   	190.49	ACR|3VULN|2DMG|1AART|1ZMB	18LWND|2ZMB|38aVULN|4AART|5RCR|6RMIN|78DMG|8BPWR|9RCVC
11	12431 54311	   	190.18	DCR|3VULN|1AART|3ASPD|1DMG|1DUR	145ASPD|2AART|35aVULN|5BPWR|6DUR|7RCR|8DMG|9DMSP
12	12431 54321	   	190.08	DCR|3VULN|1AART|3ASPD|1DMG|1DUR	145ASPD|2AART|35aVULN|5BPWR|6DUR|7RCR|8DMG|9TLV
13	34311 43511	 * 	189.74	DCR|4VULN|1AART|3ASPD|3DUR	1RCVC|2578VULN|3AART|457ASPD|578BPWR|678DUR|9CANHEL|aRCR
14	21243 22514	   	188.89	ACR|3VULN|2DMG|1AART|1ZMB	18LWND|2ZMB|389VULN|4AART|5RCR|6RMIN|78DMG|8BPWR|aCGEN
15	21243 22515	   	188.89	ACR|3VULN|2DMG|1AART|1ZMB	18aLWND|2ZMB|389VULN|4AART|5RCR|6RMIN|78DMG|8BPWR
16	21243 22511	   	188.79	ACR|3VULN|2DMG|1AART|1ZMB	18LWND|2ZMB|389VULN|4AART|5RCR|6RMIN|78DMG|8BPWR|aMBVNT
17	21243 22512	   	188.79	ACR|3VULN|2DMG|1AART|1ZMB	18LWND|2ZMB|389VULN|4AART|5RCR|6RMIN|78DMG|8BPWR|aDUST
18	21243 63422	   	188.69	ACR|3VULN|2DMG|1AART|1ZMB	1aLWND|2ZMB|367VULN|4AART|5RCR|89DMG
19	21243 63423	   	188.69	ACR|3VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|367VULN|4AART|5RCR|89DMG|aLIT
20	13245 35321	   	188.52	DCR|3VULN|2DMG|1AART|2ASPD	18ASPD|2LEGI|38aVULN|4AART|5BEXP|6FEWX|78DMG|8BPWR|9RCR
21	13246 35321	   	188.52	DCR|3VULN|2DMG|1AART|2ASPD	18ASPD|2LEGI|38aVULN|4AART|5LWND|6FEWX|78DMG|8BPWR|9RCR
22	34311 43251	   	188.32	DCR|4VULN|1AART|3ASPD|2DUR	1RCVC|257aVULN|3AART|457ASPD|57BPWR|67DUR|8CGEN|9RCR
23	12451 32332	 * 	187.83	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4aCDMG|6RCR|7DMG|8ZMB|9BASHEA
24	12431 12534	   	186.87	DCR|3VULN|1AART|3ASPD|1FLTHEA|2DUR	145ASPD|2AART|358VULN|58BPWR|6RCVC|78DUR|9RCR|aFLTHEA
25	12421 43511	   	186.33	DCR|4VULN|1AART|3ASPD|3DUR	157ASPD|2AART|3578VULN|4DMSP|578BPWR|678DUR|9CANHEL|aRCR
26	12524 35321	   	186.30	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	18ASPD|2AART|38DUR|4LEGI|5aVULN|6FEWX|78DMG|8BPWR|9RCR
27	12451 32151	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DMG|8BEXP|aLIT
28	12451 32152	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DMG|8BEXP|aRMIN
29	12451 32153	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DMG|8BEXP|aCGEN
30	12451 32261	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DMG|8CGEN|aRMIN
31	12451 32262	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DMG|8CGEN|aLWND
32	12451 32263	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DMG|8CGEN|aLIT
33	12451 34123	   	186.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|35aVULN|4CDMG|6RCR|7LIT|8DMG|9LHND
34	34323 32354	   	185.83	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1RCVC|2aVULN|3AART|4aCDMG|5CGEN|6RCR|7DMG|8RPLT|9aDUR|aBPWR
35	21243 63311	   	185.73	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1LWND|2ZMB|3679VULN|4AART|5RCR|8DUR|aCDMG
36	12431 54332	   	185.53	DCR|2VULN|1AART|3ASPD|1DMG|1ZMB|1DUR	145ASPD|2AART|35VULN|5BPWR|6DUR|7RCR|8DMG|9ZMB|aBEXP
37	12431 54333	   	185.53	DCR|2VULN|1AART|3ASPD|1DMG|1ZMB|1DUR	145ASPD|2AART|35VULN|5BPWR|6DUR|7RCR|8DMG|9ZMB|aLHND
38	41243 13324	   	185.43	ACR|4VULN|3ZMB|1AART	189BEXP|289ZMB|3789VULN|4AART|5RCR|6RCVC|89BPWR|aCGEN
39	41243 13321	   	185.33	ACR|4VULN|3ZMB|1AART	189BEXP|289ZMB|3789VULN|4AART|5RCR|6RCVC|89BPWR|aDUST
40	41243 13325	   	185.33	ACR|4VULN|3ZMB|1AART	189BEXP|289ZMB|3789VULN|4AART|5RCR|6RCVC|89BPWR|aERES
41	41243 13363	   	185.23	ACR|4VULN|3ZMB|1AART	18BEXP|289ZMB|378aVULN|4AART|5RCR|6RCVC|8BPWR
42	13241 52533	 * 	185.22	DCR|2VULN|2DMG|1AART|2ZMB|2ASPD	18ASPD|2LEGI|38VULN|4AART|59ZMB|6DUST|78DMG|8BPWR|aRCR
43	21243 63412	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	1aLWND|2ZMB|3679VULN|4AART|5RCR|8DMG
44	21243 63413	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	1LWND|2ZMB|3679VULN|4AART|5RCR|8DMG|aLIT
45	21243 63523	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	1LWND|2ZMB|367aVULN|4AART|5RCR|8MLV|9DMG
46	12421 43251	   	184.91	DCR|4VULN|1AART|3ASPD|2DUR	157ASPD|2AART|357aVULN|4DMSP|57BPWR|67DUR|8CGEN|9RCR
47	34613 43113	 * 	184.72	DCR|4VULN|1AART|1DMG|1DUR	1RCVC|259aVULN|3BEXP|4DUR|6DMG|7RCR|8AART
48	21243 62512	   	184.51	ACR|4VULN|1AART|2DUR|1ZMB|1ASPD	18LWND|2ZMB|3689VULN|4AART|5RCR|78DUR|8BPWR|aASPD
49	12451 33151	   	184.15	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DUR|8ZMB|aLIT
50	12451 33152	   	184.15	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2AART|359VULN|4CDMG|6RCR|7DUR|8ZMB|aRMIN
51	12451 33153	   	184.15	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2AART|359VULN|4CDMG|6RCR|7DUR|8ZMB|aCGEN
52	21243 22536	   	184.03	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18LWND|29ZMB|38VULN|4AART|5RCR|6RMIN|78DMG|8BPWR|aDUR
53	12431 24311	   	183.24	DCR|3VULN|1AART|3ASPD|1DMG	145ASPD|2AART|35aVULN|5BPWR|6LHND|7RCR|8DMG|9DMSP
54	12431 24351	   	183.24	DCR|3VULN|1AART|3ASPD|1DMG	145ASPD|2AART|35aVULN|5BPWR|6LHND|7RCR|8DMG|9RMIN
55	12431 24361	   	183.24	DCR|3VULN|1AART|3ASPD|1DMG	145ASPD|2AART|35aVULN|5BPWR|6LHND|7RCR|8DMG|9CGEN
56	12431 24321	   	183.14	DCR|3VULN|1AART|3ASPD|1DMG	145ASPD|2AART|35aVULN|5BPWR|6LHND|7RCR|8DMG|9TLV
57	12431 64132	   	183.14	DCR|3VULN|1AART|3ASPD|1DMG	145ASPD|2AART|359VULN|5BPWR|6DUST|7RCR|8BELT|aDMG
58	12451 32313	   	182.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9BEXP|aRCVC
59	12451 32353	   	182.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9FEWX|aRCVC
60	12451 32411	   	182.85	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8aDUR|9LWND
61	12451 32421	   	182.75	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8aDUR|9DUST
62	34323 32313	   	182.73	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|29aVULN|3AART|4CDMG|5CGEN|6RCR|7DMG|8RPLT
63	34323 32265	   	182.63	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|29aVULN|3AART|4CDMG|5CGEN|6RCR|7DMG|8ERES
64	21222 35312	 * 	182.26	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	17LWND|2ZMB|37VULN|4CDMG|5LHND|67aDMG|7BPWR|8RCR|9DUR
65	21222 35366	   	182.26	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	17LWND|2ZMB|37aVULN|4CDMG|5LHND|67DMG|7BPWR|8RCR|9ASPD
66	34331 53124	 * 	182.11	DCR|4VULN|3ZMB|1AART	1RCVC|2579VULN|3AART|459ZMB|59BPWR|69LWND|8MBVNT|aRCR
67	12451 32311	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9BEXP|aLIT
68	12451 32314	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9BEXP|aLHND
69	12451 32315	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9BEXP|aCGEN
70	12451 32341	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9CGEN|aLIT
71	12451 32343	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9CGEN|aRPLT
72	12451 32351	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9FEWX|aLIT
73	34213 43113	   	181.53	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|259VULN|3DUST|4DUR|6DMG|7RCR|8AART|aZMB
74	12451 32316	   	181.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9BEXP|aLEGI
75	12451 32331	   	181.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|4CDMG|6RCR|7DMG|8ZMB|9BASHEA|aLIT
