0	Index      	 *	Score 	Summary	Detail	
1	13122 14513	 * 	193.27	DCR|4VULN|2DMG|1AART	13aCGEN|2368VULN|3aBPWR|4aTLV|5AART|7RCR|9aDMG
2	36132 22561	 * 	190.97	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	1FEWX|29VULN|3DUR|4CGEN|59CDMG|6ZMB|7RCR|89aDMG|9BPWR
3	12264 14323	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19CGEN|25DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aZMB
4	25263 14323	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19DUR|25CGEN|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aZMB
5	13122 14512	 * 	189.23	DCR|4VULN|1AART|1DMG|1CDMG	13CGEN|2368VULN|3BPWR|4TLV|5AART|7RCR|9DMG|aCDMG
6	13122 14514	 * 	188.41	DCR|5VULN|1AART|1DMG	13CGEN|2368aVULN|3BPWR|4TLV|5AART|7RCR|9DMG
7	36113 61112	 * 	187.76	DCR|3VULN|2DMG|2CDMG|2DUR	178FEWX|24aVULN|34DUR|4aBPWR|5aCDMG|6RCR|9aDMG
8	12363 14323	   	187.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	159CGEN|23DUR|4AART|69DMG|7RCR|89VULN|9BPWR|aZMB
9	16161 32512	 * 	186.96	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2ZMB|3RCVC|478VULN|5RCR|6AART|9DMG|aCDMG
10	21131 21454	   	186.76	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	1DUR|278DMG|3CANHEL|4aVULN|5CDMG|6RCR|9ZMB
11	12263 14323	   	185.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	159CGEN|2DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aZMB
12	31134 32233	 * 	183.98	DCR|2VULN|2DMG|1AART|2CDMG	1FEWX|2aDMG|3CANHEL|4ERES|5aCDMG|6RCR|7BEXP|8AART|9aVULN|aBPWR
13	22131 23443	 * 	183.52	DCR|3VULN|1DMG|2CDMG|2ASPD|2DUR	17DUR|27ASPD|3CANHEL|49aVULN|57CDMG|6RCR|7BPWR|8DMG
14	21623 62261	   	182.79	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1DUR|29aDMG|3CDMG|4LWND|59ERES|6RCR|7ASPD|89VULN|9BPWR
15	25363 14323	 * 	181.57	DCR|2VULN|2DMG|1AART|3DUR	139DUR|25CGEN|4AART|69DMG|7RCR|89VULN|9BPWR|aRCVC
16	21136 52633	 * 	180.62	DCR|4VULN|2DMG|3DUR	157DUR|29DMG|37CANHEL|467aVULN|7BPWR|8RCR
17	25363 14322	   	180.26	DCR|2VULN|2DMG|1AART|3DUR	139DUR|25CGEN|4AART|69DMG|7RCR|89VULN|9BPWR|aRMIN
18	16161 32236	   	180.25	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2ZMB|3RCVC|47aVULN|5RCR|6AART|8DUR|9DMG
19	13122 14652	   	180.17	DCR|4VULN|1AART|1CDMG|1ZMB	13CGEN|2369VULN|3BPWR|4TLV|5AART|7RCR|8ZMB|aCDMG
20	25363 14321	   	180.16	DCR|2VULN|2DMG|1AART|3DUR	139DUR|25CGEN|4AART|69DMG|7RCR|89VULN|9BPWR|aTLV
21	22131 23434	 * 	180.12	DCR|3CDMG|1AART|1VULN|1DMG|2ASPD|2DUR	17DUR|27ASPD|3CANHEL|4VULN|57aCDMG|6RCR|7BPWR|8DMG|9AART
22	12264 14321	   	179.85	DCR|2VULN|2DMG|1AART|2DUR	19CGEN|25DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aFEWX
23	25263 14321	   	179.85	DCR|2VULN|2DMG|1AART|2DUR	19DUR|25CGEN|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aFEWX
24	12264 14322	   	179.75	DCR|2VULN|2DMG|1AART|2DUR	19CGEN|25DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aDLOT
25	25263 14322	   	179.75	DCR|2VULN|2DMG|1AART|2DUR	19DUR|25CGEN|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aDLOT
26	16661 32223	 * 	179.66	ACR|3VULN|3ZMB|1AART|2DUR	19CGEN|23aZMB|479VULN|5RCR|6AART|89DUR|9BPWR
27	13326 21561	 * 	179.59	ACR|3DMG|2VULN|2ZMB|1CDMG	1CGEN|29VULN|3CDMG|4LHND|5RCR|69ZMB|7FEWX|89aDMG|9BPWR
28	13112 14313	   	179.17	DCR|3VULN|2DMG|1AART	13aCGEN|236VULN|3aBPWR|4aERES|5AART|7RCR|8DMSP|9aDMG
29	13122 14313	   	179.17	DCR|3VULN|2DMG|1AART	13aCGEN|236VULN|3aBPWR|4aTLV|5AART|7RCR|8DMSP|9aDMG
30	13122 44513	   	179.07	DCR|3VULN|2DMG|1AART	13aCGEN|238VULN|3aBPWR|46aTLV|5AART|7RCR|9aDMG
31	13122 14631	   	178.95	DCR|4VULN|1AART|2DUR|1ZMB	13aCGEN|236aVULN|3aBPWR|4TLV|5AART|7RCR|8ZMB|9aDUR
32	21636 25313	   	178.95	DCR|3DMG|2VULN|1CDMG|2DUR	18DUR|248DMG|3CDMG|5LIT|68LWND|7RCR|8BPWR|9aVULN
33	36113 12431	   	178.85	DCR|3VULN|2DMG|1CDMG|2DUR	18FEWX|248VULN|34DUR|48BPWR|5CDMG|68DUST|7RCR|9aDMG
34	21234 52334	 * 	178.62	DCR|3DMG|2VULN|3DUR|1ZMB	145DUR|25aDMG|3RCVC|5aBPWR|6ZMB|7aTLV|8aVULN|9RCR
35	36422 21112	 * 	178.43	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	178FEWX|2aVULN|3RCR|4aASPD|5CDMG|6ZMB|9aDMG|aBPWR
36	22131 23431	 * 	177.90	DCR|1AART|1VULN|1DMG|2CDMG|3DUR|2ASPD	17aDUR|27ASPD|3CANHEL|4VULN|57CDMG|6RCR|7BPWR|8DMG|9AART
37	21136 32636	   	177.52	DCR|3DMG|2VULN|3DUR|1ZMB	157DUR|269DMG|37CANHEL|47VULN|7BPWR|8RCR|aZMB
38	21264 63322	   	176.47	DCR|2VULN|2DMG|1AART|3DUR	159DUR|29DMG|3RCVC|4AART|6MLV|7FEWX|89VULN|9BPWR|aRCR
39	12363 14321	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	159CGEN|23DUR|4AART|69DMG|7RCR|89VULN|9BPWR|aFEWX
40	12363 14324	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	159CGEN|23DUR|4AART|69DMG|7RCR|89VULN|9BPWR|aRMIN
41	12363 14326	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	159CGEN|23DUR|4AART|69DMG|7RCR|89VULN|9BPWR|aLWND
42	11214 33253	 * 	176.43	DCR|3DMG|1AART|1VULN|1CDMG	1aCGEN|2BASHEA|39aDMG|4VULN|5CDMG|6RCR|7AART|8aLHND|aBPWR
43	21264 51322	   	176.37	DCR|2VULN|2DMG|1AART|3DUR	159DUR|29DMG|3RCVC|4AART|6FEWX|7ERES|89VULN|9BPWR|aRCR
